"Rank, Columns",importances
AmountinUSD,0.16605612006479845
Complexity,0.0207136096666754
CountryProcessed_asia,0.0029478992279793684
CountryProcessed_australia,0.00010960208782200356
CountryProcessed_europe,0.0010553703924229974
CountryProcessed_northamerica,0.004804288649763033
CountryProcessed_other,2.4829774639768393e-06
CountryProcessed_southamerica,0.0015610948318954619
CountrySource_asia,0.003818776590009068
CountrySource_australia,0.0027399189179349547
CountrySource_europe,0.003249725584863352
CountrySource_northamerica,0.004627697926362766
CountrySource_other,9.501458072520954e-06
CountrySource_southamerica,0.0024746296677572396
HoldDuration,0.4468398118700027
IsGovernment,0.016245835224908904
IsMagnumCase,0.0030396272693095304
IsSOXCase,0.0023763317145246345
IsSignature,0.010895418554244862
Numberofreactivations,0.020812536069451517
Priority,0.008762930326414864
Queue_AOC,0.019763577911971468
Queue_APOC,0.0045428947378840755
Queue_EOC,0.0013408904967779542
Queue_LOC,0.0015829315079309246
Queue_NAOC,0.004521827680775133
ROCName_APOC,0.0049765168552430876
ROCName_EOC,0.007401791698354271
Revenutype_Credit / Rebill,0.003295554606621103
Revenutype_Current Revenue,0.009286110584164616
Revenutype_Disputed Revenue,0.0
Revenutype_Future Billing,0.011319982436264866
Revenutype_Future OTRRR with OLS,2.5074935670113574e-05
Revenutype_Future OTRRR without OLS,0.002542100609822041
Revenutype_New Work Sold,0.0
Revenutype_Non-revenue,0.007306040882054554
Revenutype_Revenue Impacting Case / Pending Revenue,6.0318117089231486e-05
Revenutype_Revenue Unknown,0.0037419286122905614
SalesLocation_asia,0.005993162866676915
SalesLocation_australia,0.0014291995018422252
SalesLocation_europe,0.0011387651686729414
SalesLocation_northamerica,0.0032945764494996593
SalesLocation_southamerica,0.0017687669912842155
Source_Fax,0.0
Source_Hard Copy,0.0022442744177902543
Source_Manual,0.0011219659828551394
Source_Soft Copy,0.004587842177862593
Source_Web,0.004786639122398415
Source_eAgreement (Ele),1.551422388038724e-08
Source_eAgreement (Phy),0.00312324525150684
StageName,0.02814929555100979
StatusReason_Information Provided,0.0
StatusReason_Problem Solved,0.013570890130240288
SubReason_Basic Enterprise Commitment,0.07402856610848338
SubReason_Electronic Order Pend / Reject,0.0005202284977253957
SubReason_Future Pricing Only CPS,0.02137522398618451
SubReason_Manual Order Entry,0.0020129303273599174
SubReason_Meteaop,0.009198939362704533
SubReason_P&H Electronic Order,0.0020184771283255918
SubReason_Tax Exemption Order,0.0003723894338582222
SubReason_True Up,0.0028303101861970256
SubReason_Zero Usage Order,0.003911342141960471
sourcesystem_Aplquest,8.372628238084531e-07
sourcesystem_CLT,0.001884638275832633
sourcesystem_Current Revenue,0.0
sourcesystem_Moritz Jürgensen,0.0
sourcesystem_NEMEC,0.0
sourcesystem_NMEC,0.000237020979110764
sourcesystem_Web,5.732635344697567e-05
sourcesystem_clt,0.005492380084531892
sourcesystem_web,0.0
