Columns,importances
AmountinUSD,0.01972162607583106
Complexity,0.0026556878729744136
CountryProcessed_asia,0.0
CountryProcessed_europe,0.1647159491449143
CountryProcessed_northamerica,0.001301270772252586
CountrySource_asia,6.991644822949561e-06
CountrySource_northamerica,0.0009335111588759691
IsGovernment,0.039011768395512895
IsMagnumCase,0.24455178484951737
IsSignature,3.752432868379979e-05
Numberofreactivations,0.0
Priority,0.0
Queue_AOC,0.0
Queue_LOC,0.0
Queue_NAOC,0.001109667631882575
Revenutype_Credit / Rebill,0.03747763781665071
Revenutype_Current Revenue,0.006850835569549579
Revenutype_Future Billing,0.0011634521587513358
Revenutype_Revenue Unknown,1.562047375598463e-05
SalesLocation_asia,0.0
SalesLocation_northamerica,0.0010845266178960173
Source_Soft Copy,0.011129869839528241
Source_Web,0.009046640805193467
StageName,0.25860597710718153
StatusReason_Problem Solved,0.003396943386816832
SubReason_Basic Enterprise Commitment,0.001290640844778221
SubReason_Manual Order Entry,0.03778964830085603
SubReason_Meteaop,0.005658433337351873
SubReason_True Up,0.0
SubReason_Zero Usage Order,0.15244399186642243
