RandomForestRegressor 20170713-182524

RandomForestRegressor Cross Validation: 5
RandomForestRegressor Train RMSE -> Max: 197080.93, Min: 189963.79, Avg: 193774.0
RandomForestRegressor Test RMSE -> Max: 384803.59, Min: 370479.32, Avg: 378411.56
RandomForestRegressor Train R^2 score -> Max: 0.83, Min: 0.82, Avg: 0.83
RandomForestRegressor Test R^2 score -> Max: 0.34, Min: 0.33, Avg: 0.34
RandomForestRegressor number test predictions within 1 hour -> Max: 94/5012, Min: 75/5012, Avg: 85.4/5012
RandomForestRegressor % test predictions within 1 hour: -> Max: 1.88%, Min: 1.5%, Avg: 1.7%
RandomForestRegressor number test predictions within 24 hours -> Max: 1794/5012, Min: 1710/5012, Avg: 1767.4/5012
RandomForestRegressor % test predictions within 24 hours -> Max: 35.79%, Min: 34.12%, Avg: 35.26%


Feature Importances:
0. "AmountinUSD" (0.219080)
1. "AssignedToGroup_Submitter (Contact)" (0.110308)
2. "SubReason_Basic Enterprise Commitment" (0.107350)
3. "Queue_AOC" (0.035779)
4. "Numberofreactivations" (0.023800)
5. "SubReason_Future Pricing Only CPS" (0.019352)
6. "StatusReason_Problem Solved" (0.019258)
7. "IsGovernment" (0.016009)
8. "CountryProcessed_northamerica" (0.014151)
9. "IsSignature" (0.014104)
10. "Revenutype_Current Revenue" (0.013253)
11. "OLSRevenue" (0.011998)
12. "Revenutype_Future Billing" (0.011630)
13. "OldValueName_Triage And Validation" (0.011259)
14. "Reason_Clarification Needed" (0.010235)
15. "StageName_Ops Out" (0.009939)
16. "Queue_NAOC" (0.009103)
17. "Reason_Compliance Issue" (0.008896)
18. "StageName_Submission" (0.008652)
19. "Source_Web" (0.008492)
20. "SubReason_Meteaop" (0.008399)
21. "OldValueName_Submission" (0.008016)
22. "NewValueName_Triage And Validation" (0.007979)
23. "Reason_Incorrect Document Version" (0.007051)
24. "Revenutype_Non-revenue" (0.006992)
25. "Complexity" (0.006835)
26. "SubReason_Zero Usage Order" (0.006697)
27. "ROCName_EOC" (0.006428)
28. "Priority" (0.006179)
29. "Source_Soft Copy" (0.006139)
30. "NewValueName_Ops Out" (0.006025)
31. "SubReason_True Up" (0.005779)
32. "CountrySource_asia" (0.005729)
33. "Reason_Systems - eMSL Issue" (0.005244)
34. "StageName_Ops In" (0.005151)
35. "Reason_Systems - System Issue" (0.005132)
36. "Reason_Usage Date Error" (0.005127)
37. "SalesLocation_asia" (0.005086)
38. "Reason_Price Error" (0.004943)
39. "Revenutype_Credit / Rebill" (0.004517)
40. "Reason_Audience Manager  - Policy clarification/Complex Query" (0.004487)
41. "AssignedToGroup_Internal" (0.004463)
42. "Reason_3PP - Other" (0.004404)
43. "Reason_Other - Other" (0.004384)
44. "Reason_Need Document - Other" (0.004227)
45. "Revenutype_Revenue Unknown" (0.004034)
46. "Source_eAgreement (Phy)" (0.004026)
47. "SubReason_Manual Order Entry" (0.003561)
