Columns,importances
EntryType_Agreement,0.006720360595868517
EntryType_Amendment,0.0
EntryType_Order,0.00022739868926619766
EntryLevel_102-Master,0.0044204213134284845
EntryLevel_110 All Agreements,3.104065830016987e-05
EntryLevel_110-All Agreements,4.896527955938288e-05
EntryLevel_201-All Amendments,0.0
EntryLevel_301 All Adjustments,0.0
EntryLevel_301-All Adjustments,0.0002919186566986761
EntryLevel_401 All Orders,0.0
EntryLevel_401-All Orders,0.00021184884745682295
EntryLevel_402-Manual Order Form,0.0019008461726897526
EntryLevel_410-All Orders,0.0
EntryProcess_Adjustment,0.0
EntryProcess_Adjustment with Rebill,0.0
EntryProcess_Adjustment-Recon,0.0
EntryProcess_Adjustment-Revised CPS,0.0
EntryProcess_Anniversary Order,0.0
EntryProcess_Annual Order,8.019535543008998e-05
EntryProcess_Annual Order CPS,0.0
EntryProcess_Azure Overage,0.00011540335804614775
EntryProcess_Buyout CPS,0.0
EntryProcess_CPS with Credit,0.0
EntryProcess_CTM,0.0
EntryProcess_EARLY,0.0
EntryProcess_Field CPS,8.09331309229622e-05
EntryProcess_Full Reduction,0.00012031984096265024
EntryProcess_Future Pricing CPS,4.502363727762659e-05
EntryProcess_Indirect Enrollment,0.0
EntryProcess_Indirect Enrollment (VLCM Phy),0.0
EntryProcess_License Reservation Credit & Rebill,0.0
EntryProcess_M17,0.0
EntryProcess_M18,0.0
EntryProcess_M221,0.0
EntryProcess_M226,0.0
EntryProcess_M237,0.0
EntryProcess_M248,0.0
EntryProcess_M41,0.0
EntryProcess_M67,0.0
EntryProcess_M71,0.0
EntryProcess_M86,0.0
EntryProcess_M97,0.0
EntryProcess_Manual Adjustment,0.0
EntryProcess_Manual Adjustment with Rebill,0.0
EntryProcess_Manual Adjustment-Recon,0.0002485122284777255
EntryProcess_Manual BuyOut Order,0.0
EntryProcess_Manual New Order,0.0001794230857242125
EntryProcess_Manual Order,0.0
EntryProcess_Manual Order-PostAudit,0.0
EntryProcess_Manual TrueUp,0.0006419756848038289
EntryProcess_Master Agreement,0.0
EntryProcess_Multi Tenant Revised CPS,0.0
EntryProcess_Multi Tenant Revised CPS with Credit,0.0
EntryProcess_Multi-Tenant M130,0.0
EntryProcess_Multi-Tenant M130 Lead Enrollment Direct,0.0
EntryProcess_Multi-Tenant M131,0.0
EntryProcess_Multi-Tenant M131 Lead with Order,0.0
EntryProcess_Multi-Tenant Supplemental CPS,0.0
EntryProcess_New Order,0.0
EntryProcess_OLSTC / OLST&C,0.0
EntryProcess_Online Services Reservation,0.0
EntryProcess_Other Agreements witih Magnum,0.0
EntryProcess_Other Amendments with Magnum,0.0
EntryProcess_Other Orders with Magnum,0.0
EntryProcess_Partial Reduction,0.00010149241578438833
EntryProcess_Pending & Hold,0.0
EntryProcess_Pending & Hold Rejection,0.0
EntryProcess_Promo Order,0.0
EntryProcess_RENEW,0.0
EntryProcess_Revised CPS,0.0
EntryProcess_Revised CPS with Rebill,0.0
EntryProcess_Revised Future Pricing CPS,0.0
EntryProcess_SCE10,0.0
EntryProcess_SOX Deal,0.006625138936563638
EntryProcess_Services Enrollment,0.0
EntryProcess_Settlement Additional Order,0.0
EntryProcess_W29,0.0
EntryProcess_Zero Usage,0.004799202984310392
AmountinUSD,0.4897116285735999
Complexity,0.014462698021377115
CountryProcessed_asia,0.003764094649748165
CountryProcessed_australia,0.00039372269812093763
CountryProcessed_europe,0.0037487235174849445
CountryProcessed_northamerica,0.005513521358930539
CountryProcessed_other,6.606055241569686e-05
CountryProcessed_southamerica,0.005854933400257036
CountrySource_asia,0.0056132032679170945
CountrySource_australia,0.0013710191510881997
CountrySource_europe,0.002579238314475325
CountrySource_northamerica,0.004164550525366918
CountrySource_other,3.582312437555314e-05
CountrySource_southamerica,0.0026102171464792803
IsGovernment,0.028924228279019335
IsMagnumCase,0.0005202771798604499
IsSOXCase,0.0030042813859503968
IsSignature,0.02119565126558952
Numberofreactivations,0.02021491092545165
OLSRevenue,0.015289650536460034
Priority,0.011985654706389983
Queue_AOC,0.050855093473733605
Queue_APOC,0.00401792613290309
Queue_EOC,0.0030460713471656816
Queue_LOC,0.0020390510747231158
Queue_NAOC,0.006209859803696338
ROCName_APOC,0.0041657331618780635
ROCName_EOC,0.0025787609591192474
Revenutype_Credit / Rebill,0.0076739113311763444
Revenutype_Current Revenue,0.016669939182292506
Revenutype_Disputed Revenue,0.00023051510479419062
Revenutype_Future Billing,0.012132281192636696
Revenutype_Future OTRRR with OLS,0.0002651114464440623
