Columns,importances
AmountinUSD,0.19473690912761332
Complexity,0.02412495148541402
CountryProcessed_northamerica,0.00557842287623507
CountrySource_asia,0.012878576471125534
CountrySource_northamerica,0.00906369664858867
HoldDuration,0.4238191005321477
IsGovernment,0.01675477801645425
IsMagnumCase,0.00315453740611365
IsSOXCase,0.00377634304752684
IsSignature,0.01569232120492652
Numberofreactivations,0.02101876928756048
Priority,0.0069345559254920435
Queue_AOC,0.032252304715194365
Queue_NAOC,0.006024924800451933
ROCName_EOC,0.009024619843316489
Revenutype_Current Revenue,0.012049902238036005
Revenutype_Future Billing,0.00857882959157287
Revenutype_Non-revenue,0.007857595797152913
Revenutype_Revenue Unknown,0.004161564732960342
Source_Soft Copy,0.006333738831717405
Source_Web,0.006252971093329397
Source_eAgreement (Phy),0.0034312070053051013
StageName,0.025101036209579507
StatusReason_Problem Solved,0.013916079475854364
SubReason_Basic Enterprise Commitment,0.0930464137013434
SubReason_Future Pricing Only CPS,0.018050701862312515
SubReason_Meteaop,0.007543870044006225
SubReason_True Up,0.003638975453256844
SubReason_Zero Usage Order,0.005202302575412174
