RandomForestRegressor 20170713-174528

RandomForestRegressor Cross Validation: 5
RandomForestRegressor Train RMSE -> Max: 199561.53, Min: 195587.48, Avg: 196846.29
RandomForestRegressor Test RMSE -> Max: 489878.44, Min: 476485.19, Avg: 484159.06
RandomForestRegressor Train R^2 score -> Max: 0.87, Min: 0.86, Avg: 0.87
RandomForestRegressor Test R^2 score -> Max: 0.24, Min: 0.18, Avg: 0.21
RandomForestRegressor number test predictions within 1 hour -> Max: 19/1498, Min: 14/1498, Avg: 16.4/1498
RandomForestRegressor % test predictions within 1 hour: -> Max: 1.27%, Min: 0.93%, Avg: 1.09%
RandomForestRegressor number test predictions within 24 hours -> Max: 314/1498, Min: 300/1498, Avg: 307.4/1498
RandomForestRegressor % test predictions within 24 hours -> Max: 20.96%, Min: 20.03%, Avg: 20.52%


Feature Importances:
0. "AmountinUSD" (0.159858)
1. "SubReason_Basic Enterprise Commitment" (0.052136)
2. "Queue_AOC" (0.036323)
3. "Reason_Clarification Needed" (0.020357)
4. "StatusReason_Problem Solved" (0.020354)
5. "Reason_Compliance Issue" (0.019865)
6. "Queue_NAOC" (0.019144)
7. "CountryProcessed_northamerica" (0.018417)
8. "Numberofreactivations" (0.017636)
9. "Reason_Incorrect Document Version" (0.016349)
10. "Revenutype_Current Revenue" (0.014862)
11. "StageName_Submission" (0.014600)
12. "IsGovernment" (0.014027)
13. "Reason_Need Document - Other" (0.013928)
14. "StageName_Ops Out" (0.013452)
15. "OLSRevenue" (0.012931)
16. "Reason_Price Error" (0.012829)
17. "Reason_Usage Date Error" (0.012306)
18. "Priority" (0.011942)
19. "Reason_Systems - eMSL Issue" (0.011793)
20. "IsSignature" (0.011157)
21. "Reason_Systems - System Issue" (0.011127)
22. "Reason_Audience Manager  - Policy clarification/Complex Query" (0.010914)
23. "Reason_PO Number Error" (0.010858)
24. "SubReason_Meteaop" (0.010830)
25. "Complexity" (0.010813)
26. "Reason_Other - Other" (0.010746)
27. "Source_Soft Copy" (0.009996)
28. "Revenutype_Future Billing" (0.009937)
29. "Source_Web" (0.009401)
30. "Reason_Need Info/Clarification/Correction - Other" (0.009128)
31. "Reason_Missing or Incorrect Documents" (0.009037)
32. "SubReason_True Up" (0.008724)
33. "Reason_Incomplete/ Inaccurate Information" (0.008667)
34. "Reason_3PP - Other" (0.008640)
35. "AssignedToGroup_Internal" (0.007916)
36. "SubReason_Zero Usage Order" (0.007778)
37. "Reason_Part Number/Description Error" (0.007713)
38. "Reason_Other Manual PO completion Error" (0.007581)
39. "Reason_Offering Error" (0.007128)
40. "CountrySource_northamerica" (0.006206)
41. "Reason_Workbench" (0.005802)
42. "Reason_Other Completion error" (0.005778)
43. "Revenutype_Non-revenue" (0.005758)
44. "Revenutype_Revenue Unknown" (0.005702)
45. "Reason_Tier 2 - Tier 2 - Waiting for MSL backend correction" (0.005698)
46. "Reason_Field - Waiting for Clarification" (0.005644)
47. "Reason_Magnum" (0.005223)
48. "SubReason_Future Pricing Only CPS" (0.005075)
49. "CountryProcessed_southamerica" (0.005020)
50. "AssignedToGroup_Submitter (Contact)" (0.005016)
51. "IsMagnumCase" (0.005006)
52. "StageName_Ops In" (0.004854)
53. "Reason_Standard Policy Error w/o Empowerment" (0.004834)
54. "Reason_Credit Services - Credit Approval" (0.004773)
55. "Revenutype_Credit / Rebill" (0.004441)
56. "Reason_Product/Price Level Determination Error" (0.004396)
57. "Reason_Credit Services - Invoice Issue" (0.004375)
58. "IsSOXCase" (0.004359)
59. "Reason_Order - Other" (0.004287)
60. "Reason_End of Term Date Error" (0.004282)
61. "SalesLocation_asia" (0.004081)
62. "CountrySource_australia" (0.004000)
63. "SubReason_Manual Order Entry" (0.003865)
64. "CountrySource_asia" (0.003752)
65. "SalesLocation_southamerica" (0.003250)
66. "Reason_Trade - Trade Status Hold" (0.003242)
67. "Reason_Field-CPS-Clarification Needed - CPS Clarification Needed" (0.003210)
68. "SubReason_Electronic Order Pend / Reject" (0.002969)
69. "Reason_Tax - Tax Adjustment" (0.002962)
70. "Reason_Pricing" (0.002929)
71. "Reason_Missing/Incomplete Document" (0.002818)
72. "Reason_Tax - Clarification Needed" (0.002784)
