Columns,importances
Reason_3PP - Identify Payment,2.0256192511959884e-06
Reason_3PP - Other,0.008639775528087385
Reason_3PP - Payment Status,0.000574705022041891
Reason_3PP - Pending Payment,0.0
Reason_3rd Party Hold,0.0
Reason_A - Missing information from customer - Confirmation,8.62689837155191e-05
Reason_A - Missing information from customer - Missing information,0.00015108359943669634
Reason_APOC - Waiting for document review,0.0008039134602563682
Reason_Affiliates Section Error,6.951682631217785e-06
Reason_Agreement  Number Error,0.0022551810801438206
Reason_Agreement - Bill To/Ship To Participant,9.258186506202909e-06
Reason_Agreement - Compliance,0.0
Reason_Agreement - Paperwork Validation,0.0
Reason_Agreement /Enrollment Number Error,0.00012118332976363242
Reason_Agreement/Enrollment Number Error,5.14879798513327e-05
Reason_Agreement/Enrollment Number Issue,0.0006771616090221343
Reason_Agreement/Enrollment Number/Date Issue,1.997017457877066e-05
Reason_Agreement/Enrollment Number/Name  Issue,0.0
Reason_Amendment - Amendment Description,6.194546540424668e-05
Reason_Amendment - Other,0.0016064276165752617
Reason_Amendment Completion Error,0.0013344475121745195
Reason_Approval - Business - Delegation,0.0
Reason_Approval - ROC - Exception,0.0
Reason_Audience Manager  - Approval required for credit & rebill request,0.0014798512290489995
Reason_Audience Manager  - Policy clarification/Complex Query,0.01091442583042492
Reason_Audience Manager  - Product related,2.2022602742565067e-05
Reason_Audience Manager  - Query held open on PM Request,5.285758865415214e-05
Reason_Audience Manager  - Standard Approval,0.0007388240266155996
Reason_Audience Manager  - System & Tools related,0.0
Reason_Azure OLS - Approval required for credit & rebill request,2.8626297412440836e-05
Reason_Azure OLS - Approval required for final fee,0.0005640363513529055
Reason_Billing Option Error,0.0018879076849143347
Reason_CP Requested - N/A,2.504384093076097e-05
Reason_Cancel Order - Duplication,0.0
Reason_Cancel Order - N/A,0.0
Reason_Clarification,1.2960234510070367e-05
Reason_Clarification Needed,0.020357207468975187
Reason_Clarification on Price,0.000903191622838455
Reason_Collections - Waiting for Amendment Approval,0.0
Reason_Collections - Waiting for Credit Approval,1.7157253800172324e-05
Reason_Compliance - Clarification Needed,0.0007162041083137988
Reason_Compliance Error,0.0008411611695264832
Reason_Compliance Issue,0.019865057586537938
Reason_Contact Details Error,0.00030565185599027106
Reason_Credit & Collections Issues - Channel Partner on Credit Hold,0.001957158514385216
Reason_Credit Check Error,0.0023135699661279516
Reason_Credit Services,0.0
Reason_Credit Services - Clarification Needed,0.00039424440875466524
Reason_Credit Services - Credit Approval,0.004772552289724515
Reason_Credit Services - Invoice Issue,0.00437513531972568
Reason_Credit Services - Partner on hold,0.0025379702196543412
Reason_Credit Services - SAP,0.001190069817661481
Reason_Customer/Partner Credit Hold,0.0014606956210691838
Reason_DD-Waiting on Customer Signature,0.0
Reason_Document Code Error,0.0005690228679016731
Reason_Document Description Error,0.0009338643778077405
Reason_Duplicate Case - Duplicate case,0.0
Reason_Duplicate Order,0.0011632138950471113
Reason_E-Agreement Tool - Other,4.995279420763725e-05
Reason_EOC - Waiting for document review,3.1308454810005215e-05
Reason_Electronic Order - Simple,0.0002750218968563104
Reason_End Customer Contact Details Error,0.00037653505049336415
Reason_End Customer Signature Block Issue,5.9769582808410436e-05
Reason_End Customer/Partner Signature Block Issue,8.464284827502227e-06
Reason_End of Term Date Error,0.004282400707569817
Reason_Enrollment # Error,0.0027297746198379534
Reason_Field - Clarification Needed,0.00014245949520031378
Reason_Field - DD-Awaiting information from Field,0.0006194514857559186
Reason_Field - DD-Clarification Needed,0.0015722692798059471
Reason_Field - DD-Waiting for Paperwork,0.0
Reason_Field - Waiting for Clarification,0.005644191595635219
Reason_Field Invalid-AMENDMENT (STD/CTM)-Required and Missing - Field,0.00028567108534071115
Reason_Field Invalid-AMENDMENT(STD/CTM)-Completion Error - Field,0.0027340286238702206
