Columns,importances
Reason_3PP - Identify Payment,0.0
Reason_3PP - Other,0.004404252704622485
Reason_3PP - Payment Status,0.0
Reason_3PP - Pending Payment,0.0
Reason_3rd Party Hold,0.0
Reason_A - Missing information from customer - Confirmation,2.9803659578134774e-05
Reason_A - Missing information from customer - Missing information,5.161268190692083e-05
Reason_APOC - Waiting for document review,1.5083888267410999e-05
Reason_Affiliates Section Error,0.0
Reason_Agreement  Number Error,0.0009940320759268424
Reason_Agreement - Bill To/Ship To Participant,4.891369003388463e-06
Reason_Agreement - Compliance,5.047526494132497e-07
Reason_Agreement - Paperwork Validation,0.0
Reason_Agreement /Enrollment Number Error,0.0001125260254068314
Reason_Agreement/Enrollment Number Error,2.478289493697296e-05
Reason_Agreement/Enrollment Number Issue,0.0009967971139911434
Reason_Agreement/Enrollment Number/Date Issue,4.661092105163074e-06
Reason_Agreement/Enrollment Number/Name  Issue,1.6646473327431258e-06
Reason_Amendment - Amendment Description,2.7615256818529983e-05
Reason_Amendment - Other,0.0007687671632592881
Reason_Amendment Completion Error,0.00015656256306230193
Reason_Approval - Business - Delegation,0.0
Reason_Approval - ROC - Exception,0.0
Reason_Audience Manager  - Approval required for credit & rebill request,0.000550075240107487
Reason_Audience Manager  - Policy clarification/Complex Query,0.004487271218140484
Reason_Audience Manager  - Product related,4.643259926236105e-06
Reason_Audience Manager  - Query held open on PM Request,6.309162858778508e-06
Reason_Audience Manager  - Standard Approval,0.00039399298334267244
Reason_Audience Manager  - System & Tools related,3.892832966847023e-05
Reason_Azure OLS - Approval required for credit & rebill request,0.00043028427197333016
Reason_Azure OLS - Approval required for final fee,0.00014758321011278756
Reason_Billing Option Error,0.0007724607431863712
Reason_CP Requested - N/A,1.2914433299817474e-05
Reason_Cancel Order - Duplication,0.0
Reason_Cancel Order - N/A,0.0
Reason_Clarification,1.9563664413874408e-05
Reason_Clarification Needed,0.010235038467173725
Reason_Clarification on Price,0.0003503381784457738
Reason_Collections - Waiting for Amendment Approval,7.553477116615653e-06
Reason_Collections - Waiting for Credit Approval,1.727187046130467e-05
Reason_Compliance - Clarification Needed,0.00035778084844887944
Reason_Compliance Error,0.0004223259397023476
Reason_Compliance Issue,0.008895896375526381
Reason_Contact Details Error,0.00011683855421033069
Reason_Credit & Collections Issues - Channel Partner on Credit Hold,0.0008621879092211227
Reason_Credit Check Error,0.0010831942197972073
Reason_Credit Services,0.0
Reason_Credit Services - Clarification Needed,0.0002312072912771334
Reason_Credit Services - Credit Approval,0.002609161897441148
Reason_Credit Services - Invoice Issue,0.0018865509291182355
Reason_Credit Services - Partner on hold,0.0011225696327958855
Reason_Credit Services - SAP,0.0004196647340255076
Reason_Customer/Partner Credit Hold,0.0007851991839613067
Reason_DD-Waiting on Customer Signature,0.0
Reason_Document Code Error,0.00013522210606526256
Reason_Document Description Error,0.00011146968798550953
Reason_Duplicate Case - Duplicate case,0.0
Reason_Duplicate Order,0.0006105958746029348
Reason_E-Agreement Tool - Other,1.483701833294279e-05
Reason_EOC - Waiting for document review,0.0
Reason_Electronic Order - Simple,0.0001328744108473082
Reason_End Customer Contact Details Error,1.0681852231734464e-05
Reason_End Customer Signature Block Issue,7.4619625277393895e-06
Reason_End Customer/Partner Signature Block Issue,1.613934044125439e-05
Reason_End of Term Date Error,0.002007282923381166
Reason_Enrollment # Error,0.0009654430652252076
Reason_Field - Clarification Needed,0.00014140190368235617
Reason_Field - DD-Awaiting information from Field,0.00029506732570798666
Reason_Field - DD-Clarification Needed,0.0006056137364304063
Reason_Field - DD-Waiting for Paperwork,5.52746257171227e-05
Reason_Field - Waiting for Clarification,0.00258049832375972
Reason_Field Invalid-AMENDMENT (STD/CTM)-Required and Missing - Field,0.00015569604065961707
Reason_Field Invalid-AMENDMENT(STD/CTM)-Completion Error - Field,0.0013614608558360887
"Reason_Field Invalid-CPS-Pricing, Quantity or Amount Error - Field",1.6672123763355845e-05
Reason_Field Invalid-CPS-SKU Description Error - Field,0.00014192016107307818
Reason_Field Invalid-Standard Policy Error w/o Empowerment - Field,0.0012635933736261816
Reason_Field-AMENDMENT(STD/CTM)-Completion Error - Field,0.00028240770842745405
Reason_Field-Amendment-Clarification Needed - Amendment Clarification Needed,0.0004906452117100249
Reason_Field-CPS-Clarification Needed - CPS Clarification Needed,0.0016405333086340953
Reason_Field-CPS-Header Error - Field,0.00034503300604668514
Reason_Field-CPS-Notes Error - Field,0.00021559561433284847
Reason_Field-CPS-Other Error - Field,0.0004829334793344056
Reason_Field-MOPETApprovals-Approval Error - Field,0.0003730859301597488
Reason_Field-MOPETApprovals-Hard/Soft Copy Error - Field,0.0008468918844153323
Reason_Field-MOPETApprovals-Not Posted - Field,0.00011395305083710427
Reason_Field-Other Custom Document Error - Field,0.00013250249660525556
Reason_Field-Pricing Transparency Form - Missing/Incomplete Document,1.2966430665435044e-05
Reason_Form not submitted pre-submission,5.92209473621661e-06
Reason_Forms,0.0
Reason_Global Program Manager - Policy clarification/Complex Query,0.0
Reason_Incomplete/ Inaccurate Information,0.0034676361604478
Reason_Incorrect Document Version,0.007050575289790569
Reason_Internal Hold - MOET & Msops Approvers,7.65255742190901e-07
Reason_Internal Hold - Ops PM,2.626089745158695e-06
Reason_Internal Hold - SME,0.0004782739150362185
Reason_Internal Hold - Team Lead,0.0
Reason_Internal Hold - Translations,0.0
Reason_Internal Hold - VL Processing Team,4.907758957023558e-05
Reason_MOPET - Other,0.00044919795220615564
Reason_MSL/EMSL - Incorrect Billing Multiplier,5.085889059172187e-05
Reason_MSL/EMSL - Incorrect Coverage,5.705865403094158e-05
Reason_MSL/EMSL - Other,0.0009218290674035982
Reason_MSL/EMSL - Split Invoices,8.772411831036959e-05
Reason_Magnum,0.0013592705505342348
Reason_Missing Documents,5.011188228157856e-05
Reason_Missing Final TUP/Update Statement,2.9219093875579804e-05
Reason_Missing or Incorrect Documents,0.0031565500559283238
Reason_Missing signatures,0.000996954805190775
Reason_Missing/Incomplete Document,0.001321217856557456
Reason_Need Approval - Other,0.00020348233924761793
Reason_Need Approval - PO Number,0.0010510908563577726
Reason_Need Approval - Signature Form,5.78933340909358e-05
Reason_Need Document - Agreement,0.0002525906778422524
Reason_Need Document - Credit Request Form,0.0
Reason_Need Document - Customer Letter,0.0
Reason_Need Document - Missing Physical Invoice,0.0
Reason_Need Document - Other,0.0042268117839749115
Reason_Need Document - PO,0.0005165047263031125
Reason_Need Document - Signature Form,0.00038257043517501223
Reason_Need Info/Clarification/Correction,0.0
Reason_Need Info/Clarification/Correction - 2nd Strike,0.000397584182348721
Reason_Need Info/Clarification/Correction - 3rd Strike,6.600061352665993e-06
Reason_Need Info/Clarification/Correction - Adjustment reason,0.0007206591459523949
Reason_Need Info/Clarification/Correction - Agreement,0.0001926838162163369
Reason_Need Info/Clarification/Correction - Closed - CH Unresolved,5.608917522072273e-07
Reason_Need Info/Clarification/Correction - Customer request unclear,0.00014263174106423742
Reason_Need Info/Clarification/Correction - Escalation/Other,0.0
Reason_Need Info/Clarification/Correction - Forms are altered,0.00019725638187776035
Reason_Need Info/Clarification/Correction - Forms are not visible,0.0
Reason_Need Info/Clarification/Correction - Incomplete Documents,2.6338729311804817e-05
Reason_Need Info/Clarification/Correction - Invoice number,6.785679047158018e-06
Reason_Need Info/Clarification/Correction - Missing Enrollment Number,1.499592616159415e-05
Reason_Need Info/Clarification/Correction - Needs Definition,0.0
Reason_Need Info/Clarification/Correction - Other,0.002466246373562451
Reason_Need Info/Clarification/Correction - PCN,6.861753844169932e-06
Reason_Need Info/Clarification/Correction - PO Number,1.663015914587426e-05
Reason_Need Info/Clarification/Correction - Resolution Confirmation,0.0002256009731309627
Reason_Need Info/Clarification/Correction - Screenshots,0.0
Reason_Need Info/Clarification/Correction - Signature Form,0.0001174601724127933
Reason_Need Info/Clarification/Correction - System Error,0.0
Reason_OAM - Approval request  (Mainly GRT/RMA),0.00016137527260109632
Reason_OAM - Information Request,2.9111196006320703e-06
Reason_OAM - Order related,0.0002104113844406155
Reason_OAM - Routed for Credit Approval,3.418930743981801e-05
Reason_OLS Hub - Unknown Query Response,2.8860410534919224e-07
Reason_Offering Error,0.002936534912542618
Reason_OpsPM - Policy/Program clarification,0.0
Reason_OpsPM - Process clarification,0.0
Reason_Order - Billing Date,2.3918601818561752e-05
Reason_Order - Billing Option,4.860958423141091e-05
Reason_Order - Billing Type,0.00028514915809150175
Reason_Order - Compliance not flipped,1.185234650538526e-05
Reason_Order - Coverage - Incorrect Usage Date,9.533680421891287e-05
Reason_Order - Coverage - Tier 2,1.1566915063182136e-05
Reason_Order - Coverage Period,0.001063243404634508
Reason_Order - Credit Hold,0.00015870511204185592
Reason_Order - Duplicate,0.0
Reason_Order - Incorrect Agreement,0.0
Reason_Order - License Reduction not processed,6.399894088652145e-05
Reason_Order - License Reduction processed incorrectly,1.969387206068538e-05
Reason_Order - Other,0.0015196821549388034
Reason_Order - PO Number,0.0004186707206994248
Reason_Order - PO Type,8.411706215375242e-05
Reason_Order - Paperwork Validation,0.0
Reason_Order - Pre-requisites Missing,0.0
Reason_Order - Price,0.000683986785872124
Reason_Order - Price - Anniversary order,0.0
Reason_Order - Price - CPS,0.0
Reason_Order - Price - Price List,2.197901693203723e-05
Reason_Order - Price - Proration,0.0
Reason_Order - Price/Currency,0.0
Reason_Order - Quanity,0.0001837163184904664
Reason_Order - SKU,0.0012791180972038412
Reason_Order - Usage Country,0.0
Reason_Order - Usage Date,0.00012437273415237456
Reason_Order - Usage Date/Coverage,5.35455570609646e-06
Reason_Order - Wrong Program offering,0.0
Reason_Order ? Bridge SKU Coverage processed incorrectly,0.0
Reason_Order ? License Reservation(s) not reconciled,0.0006323584795550635
Reason_Other,5.682268948263255e-05
Reason_Other - Agreement,0.00022898962615962843
Reason_Other - Other,0.004383534386089155
Reason_Other - Signature Form,0.000798791867420893
Reason_Other CPS Completion Error,0.00025300667783223864
Reason_Other Completion error,0.002042398454795239
Reason_Other Enrollment Completion Error,2.8903124277569112e-05
Reason_Other Manual PO completion Error,0.0024272924210400676
Reason_Other PLT Completion Error,0.0
Reason_Other PSF Completion Error,9.31387388523114e-05
Reason_Other Signature Form Error,0.0001670619608589348
Reason_PO Number Error,0.0029262488866684286
Reason_PO Type Error,0.00047540481002878094
Reason_Package Triage form - Unable to Close Form,0.0
Reason_Part Number/Description Error,0.00251813028294813
Reason_Partner,5.8123798243809234e-05
Reason_Partner Business Desk - Approval required for credit & rebill request,1.4688573201245365e-05
Reason_Partner Business Desk - Override Approval Review/Confirmation,0.0
Reason_Partner Business Desk - Program/Policy Clarification,0.0
Reason_Partner Risk - Account Query - General,0.0
Reason_Previous Enrollment Detail Error,5.638603681580075e-05
Reason_Price Error,0.004942953142581841
Reason_Price Level or Customer Commitment Error,0.00035009512912837447
Reason_Pricing,0.00046905940344955927
Reason_Pricing Team - Clarification Needed,0.0005702424078605565
Reason_Pricing Team - Price verification,2.1424287268242993e-05
Reason_Pricing Team - Replacement sku verification,0.0
Reason_Product/Price Level Determination Error,0.0020882910892647227
Reason_Proposal ID error,0.0005488717346028762
Reason_Purchase Order Type Error,0.0003133699657078196
Reason_Quantity Error,0.0009622997182596743
Reason_Quantity Error v CPS,0.0
Reason_RO Tool - Billing option,0.0
Reason_Reason for Manual Order Error,0.0009003795303195661
Reason_Regional Program Manager - Adjustment Approval,0.001150643700290484
Reason_Regional Program Manager - Exception Approval,0.0001333952301505186
Reason_Regional Program Manager - Exception Request,0.00010309110918432085
Reason_Regional Program Manager - Manual Order Approval,0.0001964903766954434
Reason_Regional Program Manager - Order related,4.020903865413803e-06
Reason_Rework - Other,1.7493690856720265e-06
Reason_Rework - Rebill / Rework Incorrect,0.0
Reason_SAP - Account Holds,0.0
Reason_SAP - Other,0.0
Reason_SKU Description Error,7.744538002468604e-05
Reason_SUB - Approval,3.5636940158940203e-05
Reason_SUB - Clarification Needed,0.0009078305206641894
Reason_SUB - Other,0.0003765736584646821
Reason_Signature,1.067989854055828e-06
Reason_Signature Block Error,0.000637760524568296
Reason_Standard Policy Error w/o Empowerment,0.0011311649949673334
Reason_Subscription Term Error,0.0007005915027343998
Reason_Subsidiary Invalid - Standard Policy Error w/o Empowerment,1.830041022384249e-05
Reason_System Issue,0.0
Reason_Systems - BART issue,3.7898993496300075e-05
Reason_Systems - Chip Help - Other,3.3458377837397966e-06
Reason_Systems - Docusign - System issues,3.2617523616976055e-05
Reason_Systems - EDI/XML issue,0.0
Reason_Systems - EOLAS Issue,9.419352797749847e-05
Reason_Systems - Explore ms - System issues,5.966871095003513e-05
Reason_Systems - Global Sales Support - System issue,0.0
Reason_Systems - LIR - Awaiting data insertion into LIR,0.0
Reason_Systems - MIMOS - System issue,0.00013423924732049874
Reason_Systems - MOET Issue,0.0
Reason_Systems - MSL - Backend Correction,0.00016481907270627595
Reason_Systems - MSL - Contract cannot be activated,0.0004956480282612271
Reason_Systems - No Access to Tool,0.0
