Columns,importances
EntryType_Agreement,0.014533228415855136
EntryType_Amendment,0.0
EntryType_Order,0.00048288432954441665
EntryLevel_102-Master,0.008071483981456686
EntryLevel_110 All Agreements,0.0
EntryLevel_110-All Agreements,0.0
EntryLevel_201-All Amendments,0.0
EntryLevel_301 All Adjustments,0.0
EntryLevel_301-All Adjustments,0.00024686253351846837
EntryLevel_401 All Orders,0.0
EntryLevel_401-All Orders,0.00010640395337660511
EntryLevel_402-Manual Order Form,8.630420684614081e-05
EntryLevel_410-All Orders,0.0
EntryProcess_Adjustment,0.0
EntryProcess_Adjustment with Rebill,0.0
EntryProcess_Adjustment-Recon,0.0
EntryProcess_Adjustment-Revised CPS,0.0
EntryProcess_Anniversary Order,0.0
EntryProcess_Annual Order,4.381104721809819e-05
EntryProcess_Annual Order CPS,0.0
EntryProcess_Azure Overage,0.0
EntryProcess_Buyout CPS,0.0
EntryProcess_CPS with Credit,0.0
EntryProcess_CTM,0.0
EntryProcess_EARLY,0.0
EntryProcess_Field CPS,1.1785654282281879e-05
EntryProcess_Full Reduction,0.0
EntryProcess_Future Pricing CPS,0.0
EntryProcess_Indirect Enrollment,0.0
EntryProcess_Indirect Enrollment (VLCM Phy),0.0
EntryProcess_License Reservation Credit & Rebill,0.0
EntryProcess_M17,0.0
EntryProcess_M18,0.0
EntryProcess_M221,0.0
EntryProcess_M226,0.0
EntryProcess_M237,0.0
EntryProcess_M248,0.0
EntryProcess_M41,0.0
EntryProcess_M67,0.0
EntryProcess_M71,0.0
EntryProcess_M86,0.0
EntryProcess_M97,0.0
EntryProcess_Manual Adjustment,0.0
EntryProcess_Manual Adjustment with Rebill,0.0
EntryProcess_Manual Adjustment-Recon,1.7860703539440551e-06
EntryProcess_Manual BuyOut Order,0.0
EntryProcess_Manual New Order,0.00023829073241873693
EntryProcess_Manual Order,0.0
EntryProcess_Manual Order-PostAudit,0.0
EntryProcess_Manual TrueUp,4.2197474575826915e-05
EntryProcess_Master Agreement,0.0
EntryProcess_Multi Tenant Revised CPS,0.0
EntryProcess_Multi Tenant Revised CPS with Credit,0.0
EntryProcess_Multi-Tenant M130,0.0
