Columns,importances
AmountinUSD,0.0591498582224667
Complexity,0.008678026987651138
CountryProcessed_asia,0.0028667418925028814
CountryProcessed_europe,0.001437094194904263
CountryProcessed_northamerica,0.00965516820739738
CountryProcessed_southamerica,0.0020040435458696633
CountrySource_asia,0.004110888899028973
CountrySource_australia,0.001282701539811393
CountrySource_europe,0.001596015513443313
CountrySource_northamerica,0.0018286791524894323
CountrySource_southamerica,0.0014184591910782664
Days_left_Month,0.09675640721134647
Days_left_QTR,0.16852812900710795
HoldDuration,0.3557994762199931
IsGovernment,0.005597808910725845
IsMagnumCase,0.0033447568473532726
IsSOXCase,0.002563227927973506
IsSignature,0.006784312576933909
Numberofreactivations,0.015142239507731005
OLSRevenue,0.00367686903026101
Priority,0.0030150194961988336
Queue_<VL Broken Communications>,0.010052305963753047
Queue_AOC,0.022488105568122637
Queue_APOC,0.005638650817055181
Queue_EOC,0.004838940645860306
Queue_NAOC,0.003067837007558781
ROCName_APOC,0.007325541302202342
ROCName_EOC,0.00363968238112004
Revenutype_Credit / Rebill,0.0023826914826614973
Revenutype_Current Revenue,0.005993269962431187
Revenutype_Future Billing,0.006001907964894662
Revenutype_Non-revenue,0.005188510554200835
Revenutype_Revenue Unknown,0.0015952704703783808
SalesLocation_asia,0.0034888491887516194
SalesLocation_australia,0.0011509214770171851
SalesLocation_europe,0.0013405951567551653
SalesLocation_northamerica,0.0027258813647106496
SalesLocation_southamerica,0.0014141750765495561
Source_Soft Copy,0.0042939793964403535
Source_Web,0.008584486476837213
Source_eAgreement (Phy),0.004592894527342875
StageName,0.017442769268437363
StatusReason_Problem Solved,0.014254590864673188
SubReason_Basic Enterprise Commitment,0.07317616175178786
SubReason_Future Pricing Only CPS,0.01653488698486739
SubReason_Manual Order Entry,0.004775613616346846
SubReason_Meteaop,0.004717518498412484
SubReason_True Up,0.0029519651760327352
SubReason_Zero Usage Order,0.00510607297253029
