Columns,importances
HoldDuration,0.34465773980288
AuditDuration,0.14801974444196514
SubReason_Basic Enterprise Commitment,0.1360713745932474
Days_left_QTR,0.0876987886938894
Queue_Broken,0.045664402962037325
AmountinUSD,0.03948253209675377
CountryProcessed_northamerica,0.027733542088265797
Days_left_Month,0.020500582456661882
SubReason_Future Pricing Only CPS,0.016426448405692753
StatusReason_Problem Solved,0.01223452620258023
Numberofreactivations,0.012182507105957837
Queue_NAOC,0.011072263220288162
StageName,0.010033305937269237
IsSignature,0.009721891933872856
Complexity,0.006241439999886489
Revenutype_Non-revenue,0.005397513237113373
CountrySource_asia,0.005255500498330611
Source_Web,0.005255397916978897
CountrySource_northamerica,0.005157684786911746
CountryProcessed_southamerica,0.004425574595984767
Queue_EOC,0.0044004836634831184
ROCName_APOC,0.004382492927843593
SalesLocation_northamerica,0.004255357820408765
Source_Soft Copy,0.004173443453638099
IsGovernment,0.003878523660511114
Revenutype_Current Revenue,0.003805984816317974
Revenutype_Future Billing,0.0037198877755332182
Priority,0.003579890869587023
SubReason_Meteaop,0.003397512740043399
Queue_E&E,0.002766564375153201
Queue_LOC,0.0023057002960602843
SalesLocation_southamerica,0.0022094704261996314
OLSRevenue,0.002120445615247812
CountrySource_southamerica,0.0017714805834051575
