Columns,importances
HoldDuration,0.3441477911857608
AuditDuration,0.14593506643191873
SubReason_Basic Enterprise Commitment,0.13715150224601774
Days_left_QTR,0.08698613989665475
Queue_Broken,0.043867047640119415
AmountinUSD,0.03518025677252266
CountryProcessed_northamerica,0.02875960949083959
Days_left_Month,0.01963204284592953
SubReason_Future Pricing Only CPS,0.016050124446406643
Queue_NAOC,0.011453881734413432
StatusReason_Problem Solved,0.011452616600780716
Numberofreactivations,0.010495275263298935
StageName,0.010275462567700112
IsSignature,0.009434504774334735
Complexity,0.005992360313013117
CountryProcessed_southamerica,0.0041574610388508135
Source_Soft Copy,0.003969577007191766
CountrySource_northamerica,0.0037374765612290285
IsGovernment,0.003720351720786973
Revenutype_Non-revenue,0.0035671949457043396
Queue_E&E,0.0034796787628770974
Source_Web,0.0034776973384760216
Revenutype_Current Revenue,0.003325980349193087
Priority,0.003225787669765617
Queue_EOC,0.0030544234547271714
SalesLocation_northamerica,0.00300413183618652
Revenutype_Future Billing,0.0029856018263038075
OLSRevenue,0.002547532423478163
CountrySource_southamerica,0.002474742142003583
CountrySource_asia,0.00239260963311448
SubReason_Meteaop,0.002392513060658558
SalesLocation_southamerica,0.00234358813590938
ROCName_APOC,0.0022855009934061705
Queue_LOC,0.00222377744143905
sourcesystem_NMEC,0.0022230256804468235
CountryProcessed_asia,0.0022103610970408464
SalesLocation_asia,0.002106375892141426
ROCName_EOC,0.0019241038954765962
Queue_APOC,0.0017245213502739944
SubReason_Zero Usage Order,0.0014146836856240325
SubReason_True Up,0.0013314346103503402
CountryProcessed_europe,0.0013270069322378242
IsMagnumCase,0.0011687578274248848
SubReason_Manual Order Entry,0.0010375527624775056
CountrySource_australia,0.0010375415819715728
SubReason_Electronic Order Pend / Reject,0.001024367612092707
IsSOXCase,0.0009663972826045087
Source_Manual,0.0008197331210587578
SalesLocation_europe,0.0007985623658505286
CountrySource_europe,0.0007898020450224527
SalesLocation_australia,0.0007860163819787472
Source_eAgreement (Phy),0.0007089628807386482
Source_Hard Copy,0.0004824490059052218
Revenutype_Revenue Unknown,0.0004364226234471929
Revenutype_Future OTRRR with OLS,0.0002144289953154556
Revenutype_Future OTRRR without OLS,0.00010907219251476733
Source_eAgreement (Ele),9.377476969825611e-05
sourcesystem_Web,2.7007255733731836e-05
SubReason_Tax Exemption Order,2.535895610298851e-05
Revenutype_New Work Sold,1.610071127546948e-05
sourcesystem_web,9.594916766266337e-06
CountryProcessed_australia,5.978622503009748e-06
sourcesystem_NEMEC,9.978498709838064e-07
CountrySource_other,1.306927641538775e-07
Revenutype_Disputed Revenue,6.384772675203723e-08
sourcesystem_Current Revenue,5.5304545731427576e-08
sourcesystem_clt,4.458568017085206e-08
CountryProcessed_other,4.114325115749144e-09
Queue_Other,0.0
