Columns,importances
AuditDuration,0.3694027394355313
HoldDuration,0.16158299647728724
Days_left_QTR,0.130083530320766
Queue_AOC,0.07080554139851007
Days_left_Month,0.054880647340193274
SubReason_Basic Enterprise Commitment,0.0346466905627745
AmountinUSD,0.025719227437928493
StatusReason_Problem Solved,0.018376933566267486
Numberofreactivations,0.016202524464981306
Queue_<VL Broken Communications>,0.013088715940172779
SubReason_Future Pricing Only CPS,0.008483788819427338
StageName,0.007968954229225899
Complexity,0.007307830139230975
Source_eAgreement (Phy),0.005311160573279928
IsSignature,0.004380979685866041
SubReason_Meteaop,0.004009526208456407
SalesLocation_asia,0.003654457882943656
IsGovernment,0.003182501177941374
Revenutype_Non-revenue,0.0031603734886635603
Source_Web,0.0030153089168557887
SubReason_Zero Usage Order,0.0029028909985261914
CountrySource_asia,0.00277074256378383
Queue_NAOC,0.0026742065724846714
Revenutype_Future Billing,0.0026678020772346735
Source_Soft Copy,0.002630352868242082
Revenutype_Current Revenue,0.0025603449554861433
CountryProcessed_northamerica,0.0024542587561715476
ROCName_EOC,0.0018706768379636702
CountryProcessed_southamerica,0.001751278881103253
Queue_EOC,0.001742563413828793
Queue_APOC,0.0017314879913702989
Revenutype_Revenue Unknown,0.0016987836355525057
Priority,0.0016875786230330348
ROCName_APOC,0.0015814433412480562
OLSRevenue,0.0015249200510251888
CountryProcessed_asia,0.0015188236947645988
SubReason_True Up,0.0015071108956064574
SubReason_Manual Order Entry,0.0014377438018843515
CountrySource_northamerica,0.0014001218917829659
Revenutype_Credit / Rebill,0.0013410205707723854
SalesLocation_northamerica,0.0013013796686831237
SalesLocation_australia,0.0011999556870404356
CountrySource_australia,0.0010386458292157166
SalesLocation_europe,0.0009683026557531579
CountryProcessed_europe,0.000958885040943965
SubReason_Electronic Order Pend / Reject,0.0009444299209509132
SalesLocation_southamerica,0.0009396837195660006
CountrySource_europe,0.0009396335608991155
CountrySource_southamerica,0.0008648802720233815
Source_Manual,0.0007848423781472685
SubReason_P&H Electronic Order,0.0007047710387647709
IsMagnumCase,0.0006898533300087541
Queue_LOC,0.0006745591990485674
Source_Hard Copy,0.0006514579589175228
IsSOXCase,0.0005539404265033527
Queue_E&E,0.0005353304597443136
sourcesystem_NMEC,0.0003285735629129663
sourcesystem_CLT,0.0002915503351223143
SubReason_Tax Exemption Order,0.00026532313779100303
sourcesystem_clt,0.0002127565073350145
StatusReason_Information Provided,0.00011640352726249354
Revenutype_Future OTRRR with OLS,8.361434795701551e-05
CountryProcessed_australia,7.884390706027528e-05
Source_eAgreement (Ele),7.141632857307536e-05
sourcesystem_Aplquest,3.324753240814171e-05
Revenutype_Future OTRRR without OLS,1.4306871405326464e-05
CountrySource_other,8.767974170549864e-06
Revenutype_Revenue Impacting Case / Pending Revenue,8.554601945684268e-06
Revenutype_New Work Sold,5.904535192839791e-06
Revenutype_Disputed Revenue,5.526767804556286e-06
CountryProcessed_other,3.896165010133777e-06
sourcesystem_web,1.426432554827425e-06
Source_Fax,6.377147522970577e-07
sourcesystem_NEMEC,1.0595203290393145e-07
sourcesystem_Current Revenue,1.216397343885232e-08
sourcesystem_Moritz Jürgensen,3.56426736597321e-13
Queue_<WWCS - EMEA Admin>,0.0
Queue_<VL OpsPM program support>,0.0
Queue_<VL Broken 1N Communications>,0.0
Queue_<CLT Duplicates>,0.0
sourcesystem_Web,0.0
