Columns,importances
AuditDuration,0.35746989213361
HoldDuration,0.16720301254995174
Days_left_QTR,0.10786403886949397
SubReason_Basic Enterprise Commitment,0.07931950088406647
Days_left_Month,0.04815481440645039
CountryProcessed_northamerica,0.03152196559816728
AmountinUSD,0.02327470737878852
SubReason_Future Pricing Only CPS,0.015015090798355977
Numberofreactivations,0.014848325747328549
StatusReason_Problem Solved,0.014805271021627375
Queue_Broken,0.014725383146616193
HoldCount,0.011371037119081093
Complexity,0.006905233563635235
StageName,0.006585097997240644
AssignedToGroup_Submitter (Contact),0.005948065074984803
IsSignature,0.005237985375515425
Queue_NAOC,0.005169385084986537
Source_eAgreement (Phy),0.004753118051031942
HoldTypeName_Customer,0.004546939917333084
CountrySource_asia,0.004036718044616668
Source_Web,0.003100704216315075
Revenutype_Non-revenue,0.0030701114475908753
CountrySource_northamerica,0.0030257648027246097
SubReason_Zero Usage Order,0.0030132907306839917
ROCName_APOC,0.002987470937443896
HoldTypeName_3rd Party,0.002885323463970167
SalesLocation_northamerica,0.0027821336637286658
Source_Soft Copy,0.002753794764152539
SalesLocation_asia,0.002642542056264337
ROCName_EOC,0.0026186110094594682
IsGovernment,0.002611425180998606
Revenutype_Current Revenue,0.002536081546376814
Revenutype_Future Billing,0.0025177082464906703
CountryProcessed_southamerica,0.0024914685443442283
Queue_APOC,0.002424020592031377
SubReason_Meteaop,0.0022473779722014574
Queue_EOC,0.0020541906285082233
CountryProcessed_asia,0.001996508810436881
OLSRevenue,0.0017715850294423596
Priority,0.0013165200653330086
SalesLocation_southamerica,0.001217383534737448
CountrySource_australia,0.001213149591786588
SubReason_Manual Order Entry,0.001194955230426395
SalesLocation_australia,0.0011773019842669316
Revenutype_Revenue Unknown,0.0011547490692462945
CountrySource_southamerica,0.0010938081489053353
Revenutype_Credit / Rebill,0.0010140410332446735
Queue_LOC,0.0009212512933511821
AssignedToGroup_Internal,0.0009111351776706827
SubReason_True Up,0.0008939784787684034
CountrySource_europe,0.0008396538752365941
CountryProcessed_europe,0.0008341250882860887
SalesLocation_europe,0.0007921650608773095
IsMagnumCase,0.0007048179336329993
Source_Hard Copy,0.000692519377082904
SubReason_Electronic Order Pend / Reject,0.0006870664457046668
Source_Manual,0.0006861533033091023
IsSOXCase,0.0006758740631892012
HoldTypeName_Internal,0.0006618994740502713
SubReason_P&H Electronic Order,0.0006421502280583968
Queue_E&E,0.00045387412667187416
sourcesystem_CLT,0.00042703482525261003
AssignedToGroup_Ops. Program Manager,0.0003087381526415351
sourcesystem_NMEC,0.0002954693925412407
sourcesystem_clt,0.0002068299771806972
AssignedToGroup_Microsoft IT,0.0001689185591339383
SubReason_Tax Exemption Order,0.00013240860205301252
StatusReason_Information Provided,8.803337938369518e-05
Source_eAgreement (Ele),6.737039823155239e-05
Revenutype_Future OTRRR with OLS,6.297335552092926e-05
CountryProcessed_australia,6.0721175049920255e-05
sourcesystem_Aplquest,2.6111953073011484e-05
Revenutype_Future OTRRR without OLS,1.891775166494332e-05
Revenutype_Disputed Revenue,1.4883465815258607e-05
AssignedToGroup_BPO,1.2418643140282943e-05
CountryProcessed_other,1.2287574057444913e-05
Revenutype_Revenue Impacting Case / Pending Revenue,1.228696456560151e-05
CountrySource_other,1.1718566833187511e-05
Revenutype_New Work Sold,6.720263724564691e-06
sourcesystem_web,7.411219791214397e-07
Source_Fax,5.232773036821672e-07
AssignedToGroup_CRMT,3.7094029493206205e-07
sourcesystem_NEMEC,1.672195641183584e-07
sourcesystem_Moritz Jürgensen,7.159065780627819e-08
sourcesystem_Current Revenue,1.3860454483634467e-08
sourcesystem_Web,0.0
Queue_Other,0.0
