Columns,Importances,Absolute_Importances
Queue_Broken,41869188.55896833,41869188.55896833
SubReason_Tax Exemption Order,6553744.404863757,6553744.404863757
Queue_E&E,2565524.06016851,2565524.06016851
Queue_LOC,-1787464.2588697285,1787464.2588697285
CountryProcessed_australia,-1746895.9329473174,1746895.9329473174
SubReason_Future Pricing Only CPS,1428342.454185285,1428342.454185285
StatusReason_Customer Hold,-1389369.9162150437,1389369.9162150437
sourcesystem_NMEC,1060930.4400338747,1060930.4400338747
Source_Manual,1006952.9873459934,1006952.9873459934
SubReason_Electronic Order Pend / Reject,-953571.750687296,953571.750687296
CountryProcessed_southamerica,581213.3982501059,581213.3982501059
Queue_NAOC,-519186.262239311,519186.262239311
SubReason_Basic Enterprise Commitment,469828.9930075806,469828.9930075806
Priority,426559.99488680897,426559.99488680897
SalesLocation_southamerica,371947.7905983666,371947.7905983666
SubReason_True Up,326172.7683584806,326172.7683584806
ROCName_APOC,-324987.7736584991,324987.7736584991
ROCName_EOC,-285848.83062213945,285848.83062213945
Source_Hard Copy,-285454.9574706767,285454.9574706767
Source_Soft Copy,275184.9815051492,275184.9815051492
Revenutype_Credit / Rebill,265396.98767247767,265396.98767247767
SubReason_Zero Usage Order,-250325.30358762215,250325.30358762215
SalesLocation_northamerica,229286.69083969825,229286.69083969825
CountrySource_southamerica,210999.26184042406,210999.26184042406
CountrySource_asia,-199062.05001435906,199062.05001435906
Source_Web,-121533.9378260617,121533.9378260617
StatusReason_Problem Solved,115668.27880371509,115668.27880371509
SubReason_Meteaop,109804.61377589659,109804.61377589659
CountryProcessed_northamerica,103833.97272576398,103833.97272576398
IsSignature,99208.71428888275,99208.71428888275
Revenutype_Revenue Unknown,89424.21357299082,89424.21357299082
CountryProcessed_asia,85671.37580007156,85671.37580007156
SubReason_Manual Order Entry,-66717.63701870479,66717.63701870479
Revenutype_Current Revenue,-55338.61362150489,55338.61362150489
CountryProcessed_europe,-41545.15421122503,41545.15421122503
Source_eAgreement (Phy),-41204.92365699334,41204.92365699334
CountrySource_europe,-27573.025052917983,27573.025052917983
Revenutype_Non-revenue,-21374.96488152729,21374.96488152729
Revenutype_Future Billing,13726.281927757196,13726.281927757196
Queue_APOC,-12677.067472704257,12677.067472704257
IsSOXCase,-11009.59246963959,11009.59246963959
IsGovernment,-7051.669532640746,7051.669532640746
Complexity,2121.834081150286,2121.834081150286
StageName,-1005.4668428644587,1005.4668428644587
sourcesystem_CLT,-19.526377333358738,19.526377333358738
IsMagnumCase,-1.4194934750880948,1.4194934750880948
StatusReason_Completed,-1.12260333161497,1.12260333161497
CountrySource_northamerica,-0.8846904957953976,0.8846904957953976
Queue_EOC,-0.7050268709313953,0.7050268709313953
SalesLocation_europe,-0.6031413142373269,0.6031413142373269
SalesLocation_asia,-0.4681488070112431,0.4681488070112431
CountrySource_australia,-0.20820033884632724,0.20820033884632724
SalesLocation_australia,-0.20799912324116507,0.20799912324116507
AmountinUSD,-0.1237364690228152,0.1237364690228152
CountrySource_other,-0.03283735187098484,0.03283735187098484
Revenutype_Revenue Impacting Case / Pending Revenue,-0.031026588768790667,0.031026588768790667
Source_eAgreement (Ele),-0.028434148633303732,0.028434148633303732
Revenutype_Future OTRRR with OLS,-0.02774835357427124,0.02774835357427124
CountryProcessed_other,-0.027045228973421966,0.027045228973421966
SubReason_P&H Electronic Order,-0.02402846656661064,0.02402846656661064
sourcesystem_Aplquest,-0.021490473101586395,0.021490473101586395
Revenutype_Disputed Revenue,-0.020575165574635006,0.020575165574635006
StatusReason_Information Provided,-0.019617273159027025,0.019617273159027025
Revenutype_Future OTRRR without OLS,-0.017545547321406403,0.017545547321406403
sourcesystem_web,-0.012405620771434032,0.012405620771434032
SalesLocation_other,-0.012405620771434032,0.012405620771434032
sourcesystem_clt,-0.008771761086551278,0.008771761086551278
Source_Fax,-0.008771761086551278,0.008771761086551278
StatusReason_Ready for Audit,-0.008771761086551278,0.008771761086551278
StatusReason_New Mail,-0.008771761086551278,0.008771761086551278
StatusReason_Ready for Archiving,-0.008771761086551278,0.008771761086551278
Revenutype_New Work Sold,-0.008771761086551276,0.008771761086551276
StatusReason_New,-0.006202452438342744,0.006202452438342744
sourcesystem_Current Revenue,-0.006202452438342744,0.006202452438342744
sourcesystem_NEMEC,-0.006202452438342744,0.006202452438342744
StatusReason_Reactivated,-0.006202452438342743,0.006202452438342743
StatusReason_Final Routing,-0.006202452438342742,0.006202452438342742
sourcesystem_Moritz Jürgensen,-0.006202452438342742,0.006202452438342742
sourcesystem_Web,-0.006202452438342742,0.006202452438342742
sourcesystem_`,-0.006202452438342742,0.006202452438342742
HoldTypeName_3rd Party,0.0,0.0
HoldTypeName_Customer,0.0,0.0
HoldDuration,0.0,0.0
AuditDuration,0.0,0.0
AssignedToGroup_CRMT,0.0,0.0
AssignedToGroup_BPO,0.0,0.0
HoldTypeName_Internal,0.0,0.0
