Columns,Importances,Absolute_Importances
AssignedToGroup_CRMT,1923492485491.2913,1923492485491.2913
AssignedToGroup_BPO,-147936679443.70505,147936679443.70505
AuditDuration,-126922377310.28596,126922377310.28596
StatusReason_Ready for Audit,55709559.30029542,55709559.30029542
StatusReason_New Mail,-52452852.76009898,52452852.76009898
sourcesystem_NEMEC,-42505648.79547618,42505648.79547618
Queue_Broken,36602818.524423994,36602818.524423994
StatusReason_New,-30534331.345990177,30534331.345990177
Revenutype_New Work Sold,29132351.277979076,29132351.277979076
sourcesystem_`,19020207.62425329,19020207.62425329
sourcesystem_web,-16733242.364447972,16733242.364447972
SalesLocation_other,-16272457.750968784,16272457.750968784
sourcesystem_Moritz Jürgensen,-14256324.171020586,14256324.171020586
Revenutype_Disputed Revenue,10812757.266989946,10812757.266989946
StatusReason_Reactivated,-10478135.223463718,10478135.223463718
sourcesystem_clt,-8957173.459254678,8957173.459254678
StatusReason_Information Provided,8909092.111744724,8909092.111744724
StatusReason_Final Routing,8845358.587776162,8845358.587776162
sourcesystem_Aplquest,-6746374.707247253,6746374.707247253
sourcesystem_NMEC,-6354418.659649162,6354418.659649162
StatusReason_Ready for Archiving,5848136.213455435,5848136.213455435
StatusReason_Customer Hold,-4707590.82953238,4707590.82953238
Revenutype_Future OTRRR without OLS,4542280.814643108,4542280.814643108
Revenutype_Revenue Impacting Case / Pending Revenue,4493015.836406523,4493015.836406523
Source_Fax,4255376.726787295,4255376.726787295
CountrySource_other,3768021.275844706,3768021.275844706
SubReason_Tax Exemption Order,2896861.8828809015,2896861.8828809015
SubReason_P&H Electronic Order,2455400.956093916,2455400.956093916
CountrySource_australia,2205710.605678043,2205710.605678043
CountryProcessed_australia,-1895594.8608048323,1895594.8608048323
sourcesystem_CLT,-1865068.3261078263,1865068.3261078263
SalesLocation_australia,-1293951.9677506862,1293951.9677506862
CountrySource_southamerica,1076245.6371108247,1076245.6371108247
ROCName_APOC,-888452.6998410807,888452.6998410807
SalesLocation_southamerica,-797479.2712658355,797479.2712658355
Queue_APOC,794823.383548001,794823.383548001
Source_Manual,764772.651237467,764772.651237467
Revenutype_Future OTRRR with OLS,-590144.9863693716,590144.9863693716
Queue_LOC,-581012.4894199097,581012.4894199097
CountrySource_northamerica,519493.8248920698,519493.8248920698
CountrySource_asia,482927.98688077286,482927.98688077286
Revenutype_Revenue Unknown,478441.1338399728,478441.1338399728
SalesLocation_northamerica,-444118.33171931515,444118.33171931515
Revenutype_Credit / Rebill,431605.00580592616,431605.00580592616
StatusReason_Problem Solved,430269.55822243454,430269.55822243454
SubReason_Future Pricing Only CPS,394156.7976561938,394156.7976561938
Queue_E&E,393731.6619044551,393731.6619044551
CountrySource_europe,389092.0903546108,389092.0903546108
StatusReason_Completed,386356.40549315896,386356.40549315896
CountryProcessed_asia,-292837.7068620691,292837.7068620691
CountryProcessed_other,-267064.20261992485,267064.20261992485
CountryProcessed_europe,-208785.45257503464,208785.45257503464
Source_eAgreement (Ele),184577.052655606,184577.052655606
IsMagnumCase,177526.9554722422,177526.9554722422
SubReason_Electronic Order Pend / Reject,-174321.90757699948,174321.90757699948
IsSOXCase,-162749.70696871317,162749.70696871317
SalesLocation_europe,-153612.89973938657,153612.89973938657
Source_Hard Copy,149956.81093935305,149956.81093935305
Queue_NAOC,-147801.64194882184,147801.64194882184
Revenutype_Future Billing,116999.55008922287,116999.55008922287
Source_eAgreement (Phy),106186.9629290722,106186.9629290722
Revenutype_Non-revenue,99866.21839179633,99866.21839179633
SubReason_Manual Order Entry,-98647.41767595381,98647.41767595381
SubReason_True Up,98223.43769049562,98223.43769049562
Revenutype_Current Revenue,91662.87228841816,91662.87228841816
Priority,84900.06553316595,84900.06553316595
SalesLocation_asia,-77065.89681946163,77065.89681946163
HoldTypeName_3rd Party,-70203.38772073056,70203.38772073056
Complexity,63562.18489429241,63562.18489429241
ROCName_EOC,-55876.160623922915,55876.160623922915
Created_on_Weekend,-55312.43770946348,55312.43770946348
CountryProcessed_southamerica,54758.68296883598,54758.68296883598
SubReason_Basic Enterprise Commitment,54491.601869319165,54491.601869319165
HoldTypeName_Internal,48287.717062360854,48287.717062360854
Source_Web,32303.032303121396,32303.032303121396
SubReason_Zero Usage Order,30306.902470917008,30306.902470917008
Source_Soft Copy,25288.631229010443,25288.631229010443
CountryProcessed_northamerica,-24138.42640856497,24138.42640856497
IsGovernment,22401.41598931122,22401.41598931122
IsSignature,20413.547043258954,20413.547043258954
Queue_EOC,15514.796702802929,15514.796702802929
HoldTypeName_Customer,-12012.220381999949,12012.220381999949
SubReason_Meteaop,9151.123622986148,9151.123622986148
HoldDuration,6967.144073502612,6967.144073502612
StageName,-1205.1750521933723,1205.1750521933723
Cases_created_within_past_8_hours,5.8485200353487,5.8485200353487
Concurrent_open_cases,-4.956160265221428,4.956160265221428
Cases_resolved_within_past_8_hours,4.4276689549050445,4.4276689549050445
Rolling_Std,-1.8348401816978521,1.8348401816978521
Rolling_Mean,-1.6442342141221165,1.6442342141221165
Seconds_left_Month,-1.386322023380349,1.386322023380349
Seconds_left_Qtr,-1.228670402815884,1.228670402815884
Rolling_Median,-1.1042970509176948,1.1042970509176948
Seconds_left_Day,-0.8803526686000882,0.8803526686000882
AmountinUSD,-0.1237401674047875,0.1237401674047875
sourcesystem_Current Revenue,-0.006203526466421193,0.006203526466421193
sourcesystem_Web,-0.006203526466421193,0.006203526466421193
