Columns,Importances,Absolute_Importances
StatusReason_Ready for Archiving,-617014024.238599,617014024.238599
StatusReason_New Mail,-289973965.4876384,289973965.4876384
Source_Fax,52223156.74236527,52223156.74236527
Revenutype_Revenue Impacting Case / Pending Revenue,28204706.792708725,28204706.792708725
SubReason_P&H Electronic Order,-28199718.780577186,28199718.780577186
Queue_Broken,-23855992.37614004,23855992.37614004
sourcesystem_NMEC,-22937441.164973915,22937441.164973915
CountryProcessed_other,-22126086.549238294,22126086.549238294
StatusReason_Information Provided,13481097.489948524,13481097.489948524
Source_eAgreement (Ele),12447041.889403166,12447041.889403166
SalesLocation_other,9501588.0423156,9501588.0423156
Queue_E&E,9464312.01238128,9464312.01238128
Revenutype_Future OTRRR without OLS,7773683.5608850075,7773683.5608850075
CountryProcessed_australia,7527943.542202096,7527943.542202096
StatusReason_Customer Hold,-7115883.527131931,7115883.527131931
Revenutype_Future OTRRR with OLS,-3738694.9409869383,3738694.9409869383
Revenutype_Disputed Revenue,-2824278.391795486,2824278.391795486
SubReason_Tax Exemption Order,-2750671.492665502,2750671.492665502
CountryProcessed_southamerica,2290082.312893212,2290082.312893212
Source_E-mail,2057129.4797655297,2057129.4797655297
SalesLocation_australia,-1489312.028008959,1489312.028008959
sourcesystem_Aplquest,1442535.4225688996,1442535.4225688996
Source_Manual,-1277825.0057488752,1277825.0057488752
SubReason_Electronic Order Pend / Reject,982814.8100022817,982814.8100022817
Revenutype_Credit / Rebill,-929259.811108689,929259.811108689
CountrySource_asia,-891800.7263243237,891800.7263243237
Source_Hard Copy,-871876.2635299495,871876.2635299495
Queue_AOC,-848821.1470825063,848821.1470825063
CountrySource_southamerica,-826846.0036950142,826846.0036950142
SalesLocation_northamerica,-784874.7734255118,784874.7734255118
SubReason_True Up,-743735.4456859275,743735.4456859275
SalesLocation_africa,-727608.8077732375,727608.8077732375
CountrySource_northamerica,717527.6986009803,717527.6986009803
Queue_APOC,-683892.6355838922,683892.6355838922
Created_on_Weekend,640052.4438904831,640052.4438904831
Revenutype_Revenue Unknown,630346.5013895233,630346.5013895233
ROCName_APOC,597612.7746757708,597612.7746757708
CountryProcessed_asia,515705.0063073421,515705.0063073421
SubReason_Future Pricing Only CPS,505772.5328813445,505772.5328813445
IsSignature,376263.31260718236,376263.31260718236
SubReason_Manual Order Entry,-346980.5655119495,346980.5655119495
Source_eAgreement (Phy),326552.1495802421,326552.1495802421
SubReason_Basic Enterprise Commitment,-320201.9050997818,320201.9050997818
Priority,303951.91736643447,303951.91736643447
SubReason_Zero Usage Order,274870.0066361241,274870.0066361241
Revenutype_Future Billing,-247194.9672428706,247194.9672428706
CountryProcessed_europe,-152336.9148315894,152336.9148315894
Complexity,117578.22677802792,117578.22677802792
