Columns,Importances
Concurrent_open_cases,0.5036350901931133
Rolling_Median,0.12477267665633276
Rolling_Std,0.10724444237204171
Cases_resolved_within_past_8_hours,0.09746300311246488
Rolling_Mean,0.0650331774145121
Cases_created_within_past_8_hours,0.06177607935702989
SubReason_Basic Enterprise Commitment,0.011147062638586556
StatusReason_Ready for Archiving,0.01109739432953064
Source_Soft Copy,0.005641521125281291
SubReason_Zero Usage Order,0.0020258933880758674
CountryProcessed_australia,0.0017076575157214747
Complexity,0.0014526067235763789
AmountinUSD,0.0013749690148455642
StatusReason_Customer Hold,0.001258020444094783
SubReason_Meteaop,0.000938413078551647
Created_on_Weekend,0.0007757543720902882
Queue_AOC,0.0007706919811264142
SalesLocation_asia,0.000736474095369893
Revenutype_Current Revenue,0.0005808549038977877
ROCName_APOC,0.000522380282763295
StatusReason_Completed,4.486970927986834e-05
SalesLocation_northamerica,9.672917136201663e-07
Source_Manual,0.0
Source_Fax,0.0
Source_E-mail,0.0
Source_Web,0.0
Source_eAgreement (Ele),0.0
SalesLocation_southamerica,0.0
SalesLocation_other,0.0
Source_eAgreement (Phy),0.0
StageName,0.0
SalesLocation_europe,0.0
StatusReason_3rd Party Hold,0.0
Source_Hard Copy,0.0
StatusReason_Problem Solved,0.0
StatusReason_Final Routing,0.0
SubReason_Tax Exemption Order,0.0
sourcesystem_clt,0.0
sourcesystem_NMEC,0.0
sourcesystem_NEMEC,0.0
sourcesystem_Current Revenue,0.0
sourcesystem_CLT,0.0
sourcesystem_Aplquest,0.0
sourcesystem_AplQuest,0.0
SubReason_True Up,0.0
SubReason_P&H Electronic Order,0.0
StatusReason_Information Provided,0.0
SubReason_Manual Order Entry,0.0
SubReason_Future Pricing Only CPS,0.0
SubReason_Electronic Order Pend / Reject,0.0
SubReason_Additional Product Order,0.0
StatusReason_Ready for Audit,0.0
StatusReason_Reactivated,0.0
StatusReason_New Mail,0.0
StatusReason_New,0.0
SalesLocation_australia,0.0
Revenutype_Revenue Impacting Case / Pending Revenue,0.0
SalesLocation_africa,0.0
CountrySource_asia,0.0
HoldTypeName_Customer,0.0
HoldTypeName_3rd Party,0.0
HoldDuration,0.0
CountrySource_southamerica,0.0
CountrySource_other,0.0
CountrySource_northamerica,0.0
CountrySource_europe,0.0
CountrySource_australia,0.0
CountrySource_africa,0.0
IsGovernment,0.0
CountryProcessed_southamerica,0.0
CountryProcessed_other,0.0
CountryProcessed_northamerica,0.0
CountryProcessed_europe,0.0
CountryProcessed_asia,0.0
CountryProcessed_africa,0.0
AuditDuration,0.0
AssignedToGroup_CRMT,0.0
HoldTypeName_Internal,0.0
IsMagnumCase,0.0
Revenutype_Revenue Unknown,0.0
Revenutype_Advanced Billing,0.0
AssignedToGroup_BPO,0.0
Revenutype_Non-revenue,0.0
Revenutype_New Work Sold,0.0
Revenutype_Future OTRRR without OLS,0.0
Revenutype_Future OTRRR with OLS,0.0
Revenutype_Future Billing,0.0
Revenutype_Disputed Revenue,0.0
Revenutype_Credit / Rebill,0.0
ROCName_EOC,0.0
IsSignature,0.0
ROCName_AOC,0.0
Queue_NAOC,0.0
Queue_LOC,0.0
Queue_EOC,0.0
Queue_E&E,0.0
Queue_Broken,0.0
Queue_APOC,0.0
Priority,0.0
sourcesystem_web,0.0
