Columns,Importances,Absolute_Importances
StatusReason_Ready for Archiving,-655139024.0386746,655139024.0386746
StatusReason_New Mail,-313233795.5898805,313233795.5898805
sourcesystem_Current Revenue,-225354893.1824649,225354893.1824649
StatusReason_Ready for Audit,203638551.60332087,203638551.60332087
sourcesystem_NEMEC,192449759.64174694,192449759.64174694
StatusReason_3rd Party Hold,178286184.2818186,178286184.2818186
StatusReason_Reactivated,134571469.23657435,134571469.23657435
StatusReason_New,106608966.33339557,106608966.33339557
Revenutype_New Work Sold,85910212.22824484,85910212.22824484
Source_Fax,80011019.80773276,80011019.80773276
StatusReason_Final Routing,74038057.72187614,74038057.72187614
sourcesystem_AplQuest,66965241.04448769,66965241.04448769
sourcesystem_clt,64790540.960647814,64790540.960647814
SalesLocation_other,62860023.06205293,62860023.06205293
StatusReason_Information Provided,61231769.61717398,61231769.61717398
sourcesystem_web,56902971.476139314,56902971.476139314
CountryProcessed_other,-49716886.653883465,49716886.653883465
Queue_Broken,-36879716.52896738,36879716.52896738
SubReason_P&H Electronic Order,-29639942.629928708,29639942.629928708
Revenutype_Revenue Impacting Case / Pending Revenue,24750917.92614844,24750917.92614844
sourcesystem_Aplquest,21115808.37789951,21115808.37789951
StatusReason_Customer Hold,21048679.100999005,21048679.100999005
Revenutype_Future OTRRR with OLS,-20451922.439405207,20451922.439405207
Revenutype_Disputed Revenue,-20214421.003511276,20214421.003511276
sourcesystem_NMEC,-19559971.814719673,19559971.814719673
Revenutype_Future OTRRR without OLS,16009683.86121757,16009683.86121757
Queue_E&E,10840294.949511582,10840294.949511582
CountrySource_other,9364048.403562225,9364048.403562225
Source_eAgreement (Ele),8818295.476525446,8818295.476525446
CountryProcessed_australia,5997807.149822156,5997807.149822156
SalesLocation_australia,-5108505.700015306,5108505.700015306
CountryProcessed_southamerica,4890464.317675932,4890464.317675932
Revenutype_Advanced Billing,4609477.462818808,4609477.462818808
sourcesystem_CLT,3390463.5140255517,3390463.5140255517
CountrySource_southamerica,-3232632.5462851995,3232632.5462851995
CountrySource_australia,3182836.391728486,3182836.391728486
Source_Manual,-2673370.953094658,2673370.953094658
Source_Hard Copy,-2458155.682304347,2458155.682304347
SalesLocation_southamerica,2212698.6988357953,2212698.6988357953
SubReason_Electronic Order Pend / Reject,1870229.1961577977,1870229.1961577977
Revenutype_Credit / Rebill,-1802354.2065639081,1802354.2065639081
CountryProcessed_africa,-1761044.3504122368,1761044.3504122368
StatusReason_Problem Solved,1596067.9866835226,1596067.9866835226
StatusReason_Completed,1530755.7445358667,1530755.7445358667
ROCName_APOC,1461383.7282335027,1461383.7282335027
SubReason_Tax Exemption Order,-1458709.7429501521,1458709.7429501521
SalesLocation_africa,-1418671.441062535,1418671.441062535
SubReason_Future Pricing Only CPS,1288185.310514954,1288185.310514954
Queue_APOC,-1240701.8804948726,1240701.8804948726
ROCName_AOC,-1132277.5493942902,1132277.5493942902
Revenutype_Revenue Unknown,-1086341.8164008532,1086341.8164008532
Revenutype_Future Billing,-1011657.5951437646,1011657.5951437646
CountrySource_asia,-992040.5976886018,992040.5976886018
CountrySource_africa,885842.4462790518,885842.4462790518
CountryProcessed_northamerica,815501.3316795372,815501.3316795372
Queue_LOC,796634.0929330928,796634.0929330928
SubReason_Additional Product Order,699313.889151458,699313.889151458
CountryProcessed_europe,-654535.463902264,654535.463902264
Source_Soft Copy,-643842.6765970434,643842.6765970434
Created_on_Weekend,640851.4905690708,640851.4905690708
SubReason_Zero Usage Order,539664.6531423491,539664.6531423491
Source_eAgreement (Phy),-536874.8715979484,536874.8715979484
Queue_AOC,-517046.25237677246,517046.25237677246
Source_Web,-511429.78265908576,511429.78265908576
Revenutype_Non-revenue,-455269.8712427291,455269.8712427291
Revenutype_Current Revenue,-388756.0671979855,388756.0671979855
IsSignature,383116.01363780344,383116.01363780344
Priority,318665.96481184545,318665.96481184545
SubReason_True Up,-293087.8087574929,293087.8087574929
Source_E-mail,280149.4246680552,280149.4246680552
SubReason_Meteaop,278379.72118717537,278379.72118717537
Queue_EOC,252424.337388474,252424.337388474
Queue_NAOC,217139.1242014591,217139.1242014591
SalesLocation_northamerica,-186933.3340022458,186933.3340022458
CountryProcessed_asia,175469.3694477339,175469.3694477339
Complexity,128962.83186969132,128962.83186969132
SalesLocation_asia,-89750.97383910754,89750.97383910754
IsMagnumCase,75566.98419649618,75566.98419649618
SubReason_Basic Enterprise Commitment,-69962.36793011622,69962.36793011622
CountrySource_northamerica,35079.51070202493,35079.51070202493
CountrySource_europe,34060.64952144277,34060.64952144277
SalesLocation_europe,-26125.669063335146,26125.669063335146
StageName,24483.0856699938,24483.0856699938
IsGovernment,-21244.98109714369,21244.98109714369
SubReason_Manual Order Entry,17010.4424671088,17010.4424671088
ROCName_EOC,-2244.12183537934,2244.12183537934
Cases_resolved_within_past_8_hours,75.4228380940159,75.4228380940159
Cases_created_within_past_8_hours,18.51679335124706,18.51679335124706
Rolling_Std,-0.9109992867364454,0.9109992867364454
AssignedToGroup_CRMT,-0.8816577465093718,0.8816577465093718
Concurrent_open_cases,-0.676693781642811,0.676693781642811
Rolling_Mean,0.5308388044809359,0.5308388044809359
Rolling_Median,0.4153677461603853,0.4153677461603853
AuditDuration,0.3140080526914133,0.3140080526914133
AssignedToGroup_BPO,-0.18296695557019937,0.18296695557019937
AmountinUSD,-0.12257654293489263,0.12257654293489263
HoldTypeName_Customer,6.6356733441352844e-09,6.6356733441352844e-09
HoldDuration,6.28642737865448e-09,6.28642737865448e-09
HoldTypeName_Internal,6.28642737865448e-09,6.28642737865448e-09
HoldTypeName_3rd Party,2.9103830456733704e-09,2.9103830456733704e-09
