Columns,importances
Concurrent_open_cases,0.7935147354175776
Seconds_left_Year,0.10646311592724297
Seconds_left_Qtr,0.027245751441071903
Rolling_Mean,0.021298639356841176
Rolling_Std,0.01595406998443749
Seconds_left_Month,0.013995707618417945
Rolling_Median,0.009739289571907955
Seconds_left_Day,0.0036819909261980215
Created_on_Weekend,0.001445540128208468
Cases_resolved_within_past_4_hours,0.0014098958511631321
Cases_created_within_past_4_hours,0.0011402225628459387
AmountinUSD,0.0006142700467981304
SubReason_Basic Enterprise Commitment,0.0003474899264858872
Numberofreactivations,0.000267950437154458
Queue_AOC,0.00022697978387509982
StageName,0.00017432986034334095
Complexity,0.00012898245373105683
Queue_NAOC,0.00011961347215645172
IsSOXCase,0.00010590883726696094
SubReason_Zero Usage Order,0.00010326550955233894
Source_Web,9.758781577323329e-05
SubReason_Meteaop,8.8541852281128e-05
Revenutype_Current Revenue,8.521115776731617e-05
ROCName_AOC,8.077448060007189e-05
Source_Soft Copy,8.010916597453056e-05
StatusReason_Completed,7.912950170151244e-05
Revenutype_Non-revenue,6.665080579946701e-05
Queue_LOC,6.615770725121764e-05
SubReason_True Up,6.467858117789329e-05
CountryProcessed_northamerica,6.46104709127198e-05
Queue_EOC,6.404395833704383e-05
StatusReason_Problem Solved,6.30406351429089e-05
ROCName_APOC,5.839344657778652e-05
CountrySource_northamerica,5.783934154752781e-05
Revenutype_Future Billing,5.7203154108955544e-05
CountryProcessed_asia,5.25905345286616e-05
SubReason_Manual Order Entry,5.030007592908924e-05
SalesLocation_northamerica,4.935762146563939e-05
CountrySource_asia,4.9179220184183364e-05
Queue_APOC,4.907073305593554e-05
Source_eAgreement (Phy),4.6534226396914716e-05
SalesLocation_asia,4.337145852955253e-05
SalesLocation_europe,4.134626258045442e-05
ROCName_EOC,4.085733436242636e-05
CountryProcessed_europe,3.8532432514955894e-05
SalesLocation_southamerica,3.8021865054532246e-05
Revenutype_Credit / Rebill,3.632251639995871e-05
Priority,3.5320205434954794e-05
CountrySource_southamerica,3.225278528598435e-05
SubReason_Electronic Order Pend / Reject,3.096526070688025e-05
CountrySource_europe,2.9555838208326527e-05
SubReason_Additional Product Order,2.6598483280955377e-05
CountrySource_australia,2.5822438537351026e-05
CountryProcessed_southamerica,2.5118986002670047e-05
Source_Hard Copy,2.229922685408967e-05
SalesLocation_australia,1.9877968432187852e-05
Revenutype_Revenue Unknown,1.949848442763943e-05
Source_E-mail,1.8174244785342735e-05
SubReason_Tax Exemption Order,1.8007101400261996e-05
SubReason_Future Pricing Only CPS,1.6911548082304593e-05
SalesLocation_africa,1.4794716735280981e-05
CountryProcessed_africa,1.4317254124873695e-05
Source_Manual,1.3801974505274196e-05
CountrySource_africa,1.0395113313590767e-05
Revenutype_Future OTRRR without OLS,6.752483331715554e-06
Queue_Broken,6.516804182191931e-06
sourcesystem_NMEC,5.217188928818274e-06
sourcesystem_CLT,4.5510672395689035e-06
StatusReason_Information Provided,2.8592950410159573e-06
Revenutype_Revenue Impacting Case / Pending Revenue,2.778411652462251e-06
sourcesystem_Web,2.3492075801997925e-06
CountryProcessed_australia,2.0895688209732144e-06
Revenutype_New Work Sold,1.4966113137092845e-06
Revenutype_Future OTRRR with OLS,1.2753340331632035e-06
CountrySource_other,1.1865512752599599e-06
CountryProcessed_other,6.268662068494166e-07
Source_eAgreement (Ele),5.125628886905805e-07
Queue_E&E,4.1506865196439286e-07
SubReason_P&H Electronic Order,3.373911591895409e-07
sourcesystem_Aplquest,3.7856911553470744e-08
sourcesystem_NEMEC,3.64087925497386e-08
Source_Fax,2.1619308078983713e-08
Revenutype_Disputed Revenue,1.762676623745595e-08
sourcesystem_clt,3.9010629061186036e-09
sourcesystem_web,4.5525802410898093e-10
sourcesystem_AplQuest,2.498075269638829e-10
sourcesystem_Current Revenue,2.0207293737403165e-10
SalesLocation_other,1.3856604074535635e-10
Revenutype_Advanced Billing,2.979834062656703e-11
sourcesystem_Moritz Jürgensen,0.0
