Columns,Importances,Absolute_Importances
sourcesystem_`,59491448.4631983,59491448.4631983
StatusReason_Ready for Audit,40550539.13851699,40550539.13851699
StatusReason_New Mail,-32064344.841900002,32064344.841900002
sourcesystem_NEMEC,-28147283.602279734,28147283.602279734
Queue_Broken,28111715.695022713,28111715.695022713
StatusReason_New,-28089714.459523607,28089714.459523607
Revenutype_New Work Sold,16652916.289514119,16652916.289514119
StatusReason_Reactivated,-14490990.261422766,14490990.261422766
sourcesystem_web,-9331504.547962734,9331504.547962734
sourcesystem_clt,8620377.739117932,8620377.739117932
sourcesystem_AplQuest,8070007.618304937,8070007.618304937
Revenutype_Advanced Billing,-7247640.556305559,7247640.556305559
StatusReason_Final Routing,6820720.102028865,6820720.102028865
sourcesystem_Moritz Jürgensen,-6502792.897733781,6502792.897733781
StatusReason_Information Provided,6237951.168152033,6237951.168152033
Queue_E&E,-5745118.720512773,5745118.720512773
SalesLocation_other,-5069584.549206773,5069584.549206773
StatusReason_3rd Party Hold,-5002379.085264197,5002379.085264197
StatusReason_Ready for Archiving,-3899991.271128839,3899991.271128839
sourcesystem_NMEC,-3885216.7579225097,3885216.7579225097
Revenutype_Future OTRRR with OLS,-2976560.262866613,2976560.262866613
StatusReason_Customer Hold,-2856505.2394375647,2856505.2394375647
Source_Fax,-2822513.119490455,2822513.119490455
CountrySource_other,-2029150.2129822436,2029150.2129822436
Revenutype_Disputed Revenue,1972960.8328847645,1972960.8328847645
sourcesystem_Aplquest,-1751507.2146441308,1751507.2146441308
Queue_LOC,-1750202.3685131287,1750202.3685131287
SubReason_Tax Exemption Order,1459660.2614795112,1459660.2614795112
Revenutype_Future OTRRR without OLS,-1280284.3829881356,1280284.3829881356
CountrySource_africa,-1219618.0137790623,1219618.0137790623
SalesLocation_africa,1046323.1784264456,1046323.1784264456
CountrySource_australia,985042.6442815801,985042.6442815801
CountryProcessed_australia,-712180.7239460598,712180.7239460598
SalesLocation_australia,-644425.6371313881,644425.6371313881
Queue_AOC,-580600.1993484311,580600.1993484311
Source_Manual,579251.3405337061,579251.3405337061
Source_eAgreement (Ele),-551304.9396158733,551304.9396158733
ROCName_APOC,-523618.2909941113,523618.2909941113
SubReason_P&H Electronic Order,-505229.0086720967,505229.0086720967
Queue_NAOC,-469423.76081636274,469423.76081636274
CountryProcessed_southamerica,426251.6164058452,426251.6164058452
Revenutype_Revenue Impacting Case / Pending Revenue,405498.4631576999,405498.4631576999
CountryProcessed_other,-354910.21581669303,354910.21581669303
Queue_APOC,345107.28332550905,345107.28332550905
Queue_EOC,-328790.87082545325,328790.87082545325
SubReason_Future Pricing Only CPS,286103.8494976622,286103.8494976622
Source_E-mail,-246190.21660840668,246190.21660840668
SalesLocation_asia,232242.63280073757,232242.63280073757
IsMagnumCase,221665.64973667986,221665.64973667986
ROCName_EOC,221184.1145956895,221184.1145956895
sourcesystem_CLT,211238.50985909242,211238.50985909242
IsSOXCase,-205737.28857250998,205737.28857250998
SubReason_Electronic Order Pend / Reject,-204722.9189736637,204722.9189736637
ROCName_AOC,191625.40284291288,191625.40284291288
CountrySource_southamerica,186750.74845987727,186750.74845987727
StatusReason_Problem Solved,183008.8025024538,183008.8025024538
Revenutype_Credit / Rebill,160933.32169485398,160933.32169485398
Revenutype_Future Billing,-159183.82335148245,159183.82335148245
SalesLocation_northamerica,-155888.0014595219,155888.0014595219
CountrySource_northamerica,151003.52447606812,151003.52447606812
SubReason_Manual Order Entry,-145062.3733133536,145062.3733133536
StatusReason_Completed,142996.33464979133,142996.33464979133
SubReason_Additional Product Order,-135610.09500618483,135610.09500618483
CountryProcessed_africa,123946.3949490836,123946.3949490836
SalesLocation_europe,111294.03740189347,111294.03740189347
CountryProcessed_asia,-101278.59132500934,101278.59132500934
SalesLocation_southamerica,-99060.11975392979,99060.11975392979
CountrySource_asia,-98894.83248974352,98894.83248974352
Priority,97747.82137995375,97747.82137995375
Revenutype_Revenue Unknown,-91745.45346037147,91745.45346037147
CountryProcessed_northamerica,79055.00407992266,79055.00407992266
Created_on_Weekend,-75532.65107709222,75532.65107709222
Source_Hard Copy,-71746.33014488751,71746.33014488751
CountryProcessed_europe,-69463.82260823007,69463.82260823007
CountrySource_europe,-63018.59254710295,63018.59254710295
Complexity,46204.04647690777,46204.04647690777
Source_Soft Copy,-45778.98186273562,45778.98186273562
Source_eAgreement (Phy),41589.05787216948,41589.05787216948
Revenutype_Non-revenue,-40420.630703182724,40420.630703182724
IsSignature,37966.90672357326,37966.90672357326
Revenutype_Current Revenue,-36025.10499665493,36025.10499665493
SubReason_Meteaop,-34595.38852154168,34595.38852154168
SubReason_True Up,26748.471256457055,26748.471256457055
IsGovernment,14881.275554684384,14881.275554684384
SubReason_Zero Usage Order,-14438.761154306387,14438.761154306387
Source_Web,-7194.564593868372,7194.564593868372
SubReason_Basic Enterprise Commitment,2148.2181946161745,2148.2181946161745
StageName,-133.39537399159704,133.39537399159704
Concurrent_open_cases,-5.079197554500038,5.079197554500038
Cases_created_within_past_8_hours,2.349942310896425,2.349942310896425
Cases_resolved_within_past_8_hours,2.1173013155441756,2.1173013155441756
Rolling_Std,-1.8348401922558675,1.8348401922558675
Rolling_Mean,-1.6442344237050794,1.6442344237050794
Seconds_left_Month,-1.386322030783461,1.386322030783461
Seconds_left_Qtr,-1.2286703991848862,1.2286703991848862
Rolling_Median,-1.1042969852576165,1.1042969852576165
Seconds_left_Day,-0.8803519272907309,0.8803519272907309
Seconds_left_Year,-0.8255602551338175,0.8255602551338175
AssignedToGroup_BPO,0.12556229547052652,0.12556229547052652
AmountinUSD,-0.12374016759590996,0.12374016759590996
AuditDuration,0.07208064713120077,0.07208064713120077
AssignedToGroup_CRMT,-0.06848539234722867,0.06848539234722867
sourcesystem_Current Revenue,-0.006203526466421193,0.006203526466421193
sourcesystem_Web,-0.006203526466421193,0.006203526466421193
HoldTypeName_3rd Party,-2.371962182223797e-09,2.371962182223797e-09
HoldDuration,-2.2992026060819626e-09,2.2992026060819626e-09
HoldTypeName_Internal,1.4260876923799515e-09,1.4260876923799515e-09
HoldTypeName_Customer,-1.2441887520253658e-09,1.2441887520253658e-09
