Columns,Importances
Concurrent_open_cases,0.8241939441430229
Seconds_left_Year,0.06044984826075703
Seconds_left_Qtr,0.032793756466195895
Rolling_Std,0.028812866008739668
Seconds_left_Month,0.024307054565957564
Rolling_Mean,0.010258060395319273
Rolling_Median,0.008603880306538282
Seconds_left_Day,0.0029937476089713895
Cases_resolved_within_past_8_hours,0.0022069137713327126
Created_on_Weekend,0.0013326718632075524
Cases_created_within_past_8_hours,0.001156467887377951
AmountinUSD,0.0004959132037589643
StageName,0.00013965178485347412
Queue_NAOC,9.677996932962734e-05
SubReason_Meteaop,8.715013568366357e-05
Source_Soft Copy,8.323024644431775e-05
ROCName_AOC,7.745241276080723e-05
SubReason_Basic Enterprise Commitment,7.739977979720826e-05
Queue_AOC,7.558705989233043e-05
Revenutype_Current Revenue,7.071227827312184e-05
SubReason_Zero Usage Order,7.027884430005465e-05
IsGovernment,6.220514539842804e-05
Source_Web,6.082538515206902e-05
IsMagnumCase,6.030166462039582e-05
Revenutype_Non-revenue,5.9901493585397816e-05
StatusReason_Completed,5.9641813195541036e-05
Queue_EOC,5.572904005594395e-05
Source_eAgreement (Phy),5.5407576130292196e-05
StatusReason_Problem Solved,5.3659746626368996e-05
IsSignature,5.3381288656399655e-05
ROCName_EOC,5.216128396321554e-05
CountrySource_northamerica,5.187226479373202e-05
SubReason_Manual Order Entry,5.0989028174660565e-05
SubReason_True Up,5.082445427193393e-05
CountryProcessed_northamerica,4.925809339120617e-05
Revenutype_Future Billing,4.807409693932993e-05
SalesLocation_northamerica,4.6819687263252574e-05
Revenutype_Credit / Rebill,4.3709671723046514e-05
IsSOXCase,4.282967165140503e-05
CountryProcessed_asia,3.62368664850098e-05
ROCName_APOC,3.524648854932797e-05
Queue_APOC,3.2067331816080786e-05
Queue_LOC,3.077544388336342e-05
CountryProcessed_europe,3.071775692085225e-05
CountrySource_asia,3.037839447563953e-05
CountrySource_europe,2.959077734599078e-05
SalesLocation_europe,2.951183945958347e-05
SalesLocation_southamerica,2.9032367375863196e-05
Complexity,2.8609759741413037e-05
CountrySource_southamerica,2.835397430313255e-05
SubReason_Future Pricing Only CPS,2.766261766558859e-05
SalesLocation_asia,2.729354423877704e-05
Priority,2.5868105395601386e-05
SalesLocation_australia,2.547438361314807e-05
CountrySource_australia,2.4139683899506024e-05
Source_Manual,2.291970926127157e-05
SubReason_Tax Exemption Order,1.937158759171952e-05
SubReason_Electronic Order Pend / Reject,1.8804834867894454e-05
CountryProcessed_southamerica,1.5057680364783441e-05
Source_Hard Copy,1.4646481689113665e-05
SubReason_Additional Product Order,1.3713715751840576e-05
Revenutype_Revenue Unknown,1.3444358706172959e-05
StatusReason_Information Provided,1.1582069889614844e-05
Source_E-mail,1.1270668320918601e-05
SalesLocation_africa,1.1196164507427523e-05
CountrySource_africa,1.0289182219754313e-05
CountryProcessed_africa,8.832543641306195e-06
sourcesystem_NMEC,2.9593394362350255e-06
Revenutype_Future OTRRR without OLS,2.1270605470346526e-06
Revenutype_Future OTRRR with OLS,2.083257945751109e-06
Revenutype_Revenue Impacting Case / Pending Revenue,1.5622601290415342e-06
Queue_Broken,1.561891113625039e-06
sourcesystem_CLT,1.4603101932241601e-06
Queue_E&E,1.0067480124597751e-06
CountrySource_other,8.767598093163311e-07
CountryProcessed_australia,8.142435908289352e-07
Source_eAgreement (Ele),6.934172389224778e-07
CountryProcessed_other,5.633101292640114e-07
StatusReason_Customer Hold,3.6660807690048717e-07
SubReason_P&H Electronic Order,2.8529417730273947e-07
sourcesystem_Aplquest,2.8109674980349784e-07
Revenutype_Disputed Revenue,1.895027848703835e-07
sourcesystem_`,5.8762052674878216e-08
sourcesystem_Moritz Jürgensen,2.4364386117906334e-08
StatusReason_Ready for Archiving,1.3856298662356242e-08
Source_Fax,8.123874498073927e-09
sourcesystem_NEMEC,8.047970026259437e-09
StatusReason_New Mail,2.6184905775390788e-09
Revenutype_New Work Sold,1.756812513398213e-09
sourcesystem_clt,9.618802337478598e-10
SalesLocation_other,9.562153628463523e-10
StatusReason_3rd Party Hold,8.821248313352871e-10
sourcesystem_AplQuest,7.951293142361653e-10
StatusReason_Ready for Audit,7.485567575968874e-10
sourcesystem_web,1.3640359278236275e-10
StatusReason_Reactivated,9.181352302288624e-11
StatusReason_Final Routing,3.614098273523426e-11
Revenutype_Advanced Billing,1.823568552052686e-11
StatusReason_New,1.3592727034288354e-11
HoldDuration,0.0
HoldTypeName_Customer,0.0
sourcesystem_Current Revenue,0.0
AssignedToGroup_CRMT,0.0
AuditDuration,0.0
AssignedToGroup_BPO,0.0
sourcesystem_Web,0.0
HoldTypeName_Internal,0.0
HoldTypeName_3rd Party,0.0
