Columns,Importances,Absolute_Importances
Queue_Broken,31891054.42082821,31891054.42082821
SalesLocation_other,-18628643.12243942,18628643.12243942
CountrySource_other,3496837.7571298983,3496837.7571298983
CountrySource_australia,1874104.0076004085,1874104.0076004085
Queue_E&E,1750293.2580132268,1750293.2580132268
SalesLocation_australia,-1413028.587817868,1413028.587817868
CountrySource_southamerica,947924.2308963774,947924.2308963774
Queue_LOC,-819223.6971065992,819223.6971065992
CountryProcessed_other,-785186.3307238267,785186.3307238267
SalesLocation_southamerica,-782719.9037857008,782719.9037857008
CountryProcessed_australia,-707345.6042263422,707345.6042263422
ROCName_APOC,-599815.8433954163,599815.8433954163
Queue_APOC,559097.2969320319,559097.2969320319
CountrySource_northamerica,496451.8332965388,496451.8332965388
SalesLocation_northamerica,-468100.91315579944,468100.91315579944
CountryProcessed_southamerica,422825.5047097393,422825.5047097393
CountrySource_asia,355390.86036691035,355390.86036691035
CountrySource_europe,341369.9522685966,341369.9522685966
SalesLocation_europe,-247011.9182673509,247011.9182673509
Queue_NAOC,-202771.49824712658,202771.49824712658
SalesLocation_asia,-161636.96697512097,161636.96697512097
CountryProcessed_asia,-129741.99596228356,129741.99596228356
Queue_EOC,-112120.01986678908,112120.01986678908
CountryProcessed_europe,-92686.21736293918,92686.21736293918
ROCName_EOC,80683.56731022352,80683.56731022352
Created_on_Weekend,-75162.85976914526,75162.85976914526
CountryProcessed_northamerica,71019.80731616823,71019.80731616823
Concurrent_open_cases,-5.1019371288307305,5.1019371288307305
Cases_resolved_within_past_8_hours,2.2073407646654024,2.2073407646654024
Cases_created_within_past_8_hours,2.0810875898808847,2.0810875898808847
Rolling_Std,-1.8348401441247522,1.8348401441247522
Rolling_Mean,-1.6442344569213443,1.6442344569213443
Seconds_left_Month,-1.38632202832948,1.38632202832948
Seconds_left_Qtr,-1.2286703994600745,1.2286703994600745
Rolling_Median,-1.1042969578663948,1.1042969578663948
Seconds_left_Day,-0.8803518359440669,0.8803518359440669
Seconds_left_Year,-0.8255602551355601,0.8255602551355601
