Columns,Importances,Absolute_Importances
Created_on_Weekend,-75873.52844880584,75873.52844880584
Concurrent_open_cases,-5.21557605730683,5.21557605730683
Cases_resolved_within_past_8_hours,3.182316502719181,3.182316502719181
Rolling_Std,-1.8348399213042708,1.8348399213042708
Rolling_Mean,-1.6442347039990133,1.6442347039990133
Seconds_left_Month,-1.3863220355179764,1.3863220355179764
Seconds_left_Qtr,-1.2286703997127817,1.2286703997127817
Rolling_Median,-1.1042968499760066,1.1042968499760066
Seconds_left_Day,-0.8803518321511504,0.8803518321511504
Seconds_left_Year,-0.8255602551965213,0.8255602551965213
Cases_created_within_past_8_hours,0.43045449154429033,0.43045449154429033
