Columns,Importances,Absolute_Importances
Queue_Broken,27982465.119688828,27982465.119688828
sourcesystem_NMEC,-1732900.9288635287,1732900.9288635287
SubReason_Tax Exemption Order,898432.4340753196,898432.4340753196
sourcesystem_CLT,615316.6252707011,615316.6252707011
Source_Manual,540002.8783002207,540002.8783002207
Queue_LOC,-427057.79385904205,427057.79385904205
SubReason_Future Pricing Only CPS,313433.3368353985,313433.3368353985
Revenutype_Credit / Rebill,217358.08726983293,217358.08726983293
CountryProcessed_southamerica,196358.81045404784,196358.81045404784
SalesLocation_southamerica,129250.54766534582,129250.54766534582
Queue_NAOC,-120717.74565188288,120717.74565188288
SubReason_Manual Order Entry,-101494.64932680025,101494.64932680025
CountrySource_australia,97568.42270039041,97568.42270039041
Revenutype_Future Billing,-86983.0233108678,86983.0233108678
Priority,86209.04263756628,86209.04263756628
SubReason_True Up,74865.91211667728,74865.91211667728
Created_on_Weekend,-73697.41532389347,73697.41532389347
Source_eAgreement (Phy),61132.33775071369,61132.33775071369
StatusReason_Problem Solved,42077.25219811945,42077.25219811945
Complexity,41774.490841172876,41774.490841172876
SubReason_Electronic Order Pend / Reject,-39978.587917014265,39978.587917014265
IsSignature,38598.50998417238,38598.50998417238
SubReason_Basic Enterprise Commitment,29886.88734980199,29886.88734980199
ROCName_APOC,-26371.634183369646,26371.634183369646
Source_Soft Copy,-22059.04884444386,22059.04884444386
CountrySource_northamerica,20683.159986721857,20683.159986721857
CountrySource_asia,17382.40746335079,17382.40746335079
CountryProcessed_europe,-15718.141256591689,15718.141256591689
CountryProcessed_northamerica,14852.542153820961,14852.542153820961
IsGovernment,14359.887502118936,14359.887502118936
SubReason_Meteaop,-8784.024588449283,8784.024588449283
Source_Web,7622.761054306434,7622.761054306434
IsMagnumCase,3848.6473981101008,3848.6473981101008
SubReason_Zero Usage Order,1989.3909674325757,1989.3909674325757
Revenutype_Non-revenue,-1022.332243672178,1022.332243672178
CountryProcessed_asia,493.57819645154774,493.57819645154774
Concurrent_open_cases,-5.083153455208236,5.083153455208236
Cases_created_within_past_8_hours,2.3658128250748263,2.3658128250748263
Cases_resolved_within_past_8_hours,2.101720982321128,2.101720982321128
Rolling_Std,-1.8348401911884247,1.8348401911884247
StageName,-1.783641898870434,1.783641898870434
Rolling_Mean,-1.6442344069666648,1.6442344069666648
IsSOXCase,-1.4187563445558193,1.4187563445558193
Seconds_left_Month,-1.3863220307360549,1.3863220307360549
Seconds_left_Qtr,-1.2286703991468255,1.2286703991468255
Revenutype_Current Revenue,-1.1358348193107195,1.1358348193107195
StatusReason_Completed,-1.1226049181298257,1.1226049181298257
Rolling_Median,-1.1042969933512017,1.1042969933512017
SalesLocation_northamerica,-0.8854476693600054,0.8854476693600054
Seconds_left_Day,-0.8803519035634274,0.8803519035634274
Seconds_left_Year,-0.8255602551408632,0.8255602551408632
ROCName_EOC,-0.7056990743156325,0.7056990743156325
Queue_EOC,-0.705209654550488,0.705209654550488
SalesLocation_europe,-0.6032837567869893,0.6032837567869893
CountrySource_europe,-0.6023937842963624,0.6023937842963624
SalesLocation_asia,-0.46824764092850985,0.46824764092850985
Queue_APOC,-0.46414974519889,0.46414974519889
CountrySource_southamerica,-0.2327144559571659,0.2327144559571659
SalesLocation_australia,-0.2080366979769554,0.2080366979769554
AmountinUSD,-0.1237401676245358,0.1237401676245358
Source_Hard Copy,-0.12067691274048466,0.12067691274048466
Revenutype_Revenue Unknown,-0.11306430603116316,0.11306430603116316
CountryProcessed_australia,-0.054159305875980036,0.054159305875980036
CountrySource_other,-0.03284304396118157,0.03284304396118157
Revenutype_Revenue Impacting Case / Pending Revenue,-0.03103196635636187,0.03103196635636187
Source_eAgreement (Ele),-0.02843907613505346,0.02843907613505346
Revenutype_Future OTRRR with OLS,-0.027753162045847945,0.027753162045847945
CountryProcessed_other,-0.02704991542109735,0.02704991542109735
SubReason_P&H Electronic Order,-0.024032629622845844,0.024032629622845844
sourcesystem_Aplquest,-0.021494196007305365,0.021494196007305365
Revenutype_Disputed Revenue,-0.020578729779690597,0.020578729779690597
StatusReason_Customer Hold,-0.020578729779690597,0.020578729779690597
StatusReason_Information Provided,-0.01962067129900481,0.01962067129900481
Queue_E&E,-0.01861344487976854,0.01861344487976854
Revenutype_Future OTRRR without OLS,-0.01754858635927319,0.01754858635927319
SalesLocation_other,-0.012407769199573766,0.012407769199573766
sourcesystem_web,-0.012407769199573766,0.012407769199573766
sourcesystem_clt,-0.008773280079294957,0.008773280079294957
Revenutype_New Work Sold,-0.008773280079294957,0.008773280079294957
Source_Fax,-0.008773280079294956,0.008773280079294956
StatusReason_Ready for Audit,-0.008773280079294956,0.008773280079294956
StatusReason_New Mail,-0.008773280079294956,0.008773280079294956
StatusReason_Ready for Archiving,-0.008773280079294956,0.008773280079294956
sourcesystem_Current Revenue,-0.006203526466421193,0.006203526466421193
sourcesystem_`,-0.006203526466421193,0.006203526466421193
sourcesystem_Web,-0.006203526466421193,0.006203526466421193
sourcesystem_NEMEC,-0.006203526466421193,0.006203526466421193
sourcesystem_Moritz Jürgensen,-0.006203526466421193,0.006203526466421193
StatusReason_Reactivated,-0.006203526466421193,0.006203526466421193
StatusReason_Final Routing,-0.006203526466421193,0.006203526466421193
StatusReason_New,-0.006203526466421193,0.006203526466421193
AuditDuration,0.0,0.0
HoldTypeName_Internal,0.0,0.0
AssignedToGroup_CRMT,0.0,0.0
HoldDuration,0.0,0.0
HoldTypeName_3rd Party,0.0,0.0
HoldTypeName_Customer,0.0,0.0
AssignedToGroup_BPO,0.0,0.0
