Columns,Importances
Concurrent_open_cases,0.3817473857162057
Seconds_left_Qtr,0.1808021322124018
Seconds_left_Year,0.16103991686984082
Seconds_left_Month,0.12246108251408339
Rolling_Std,0.03965803002519683
Rolling_Mean,0.03544305524495927
Created_on_Weekend,0.020040819827047564
Rolling_Median,0.01795746670543716
Seconds_left_Day,0.011858256849866878
Cases_resolved_within_past_8_hours,0.008867295284648491
Source_Soft Copy,0.0043827474866156655
SubReason_Future Pricing Only CPS,0.003340498871745764
CountryProcessed_northamerica,0.0029367083216830514
SubReason_Zero Usage Order,0.002801053171501275
Cases_created_within_past_8_hours,0.002106593014397644
SubReason_Basic Enterprise Commitment,0.0014565106277410736
StatusReason_Completed,0.0009828074474612558
Revenutype_Non-revenue,0.0009698392444112214
CountrySource_australia,0.0006540573156052116
AmountinUSD,0.0004937432491498941
CountrySource_southamerica,0.0
CountryProcessed_asia,0.0
StatusReason_Reactivated,0.0
StatusReason_Problem Solved,0.0
StatusReason_New Mail,0.0
StatusReason_New,0.0
StatusReason_Information Provided,0.0
StatusReason_Final Routing,0.0
StatusReason_Customer Hold,0.0
StageName,0.0
StatusReason_Ready for Audit,0.0
Source_eAgreement (Phy),0.0
Source_eAgreement (Ele),0.0
Source_Web,0.0
CountryProcessed_australia,0.0
Source_Manual,0.0
Source_Hard Copy,0.0
Source_Fax,0.0
StatusReason_Ready for Archiving,0.0
Complexity,0.0
HoldDuration,0.0
sourcesystem_CLT,0.0
sourcesystem_clt,0.0
sourcesystem_`,0.0
sourcesystem_Web,0.0
sourcesystem_NMEC,0.0
sourcesystem_NEMEC,0.0
sourcesystem_Moritz Jürgensen,0.0
sourcesystem_Current Revenue,0.0
sourcesystem_Aplquest,0.0
SubReason_Electronic Order Pend / Reject,0.0
AssignedToGroup_CRMT,0.0
SubReason_True Up,0.0
SubReason_Tax Exemption Order,0.0
SubReason_P&H Electronic Order,0.0
SubReason_Meteaop,0.0
SubReason_Manual Order Entry,0.0
AuditDuration,0.0
CountryProcessed_europe,0.0
CountryProcessed_other,0.0
CountryProcessed_southamerica,0.0
Queue_APOC,0.0
ROCName_EOC,0.0
ROCName_APOC,0.0
Queue_NAOC,0.0
Queue_LOC,0.0
Queue_EOC,0.0
Queue_E&E,0.0
Queue_Broken,0.0
Priority,0.0
CountrySource_asia,0.0
IsSignature,0.0
IsSOXCase,0.0
IsMagnumCase,0.0
IsGovernment,0.0
HoldTypeName_Internal,0.0
HoldTypeName_Customer,0.0
HoldTypeName_3rd Party,0.0
Revenutype_Credit / Rebill,0.0
Revenutype_Current Revenue,0.0
Revenutype_Disputed Revenue,0.0
Revenutype_Future Billing,0.0
SalesLocation_southamerica,0.0
SalesLocation_other,0.0
SalesLocation_northamerica,0.0
SalesLocation_europe,0.0
SalesLocation_australia,0.0
SalesLocation_asia,0.0
CountrySource_europe,0.0
AssignedToGroup_BPO,0.0
CountrySource_northamerica,0.0
Revenutype_Revenue Unknown,0.0
Revenutype_Revenue Impacting Case / Pending Revenue,0.0
CountrySource_other,0.0
Revenutype_New Work Sold,0.0
Revenutype_Future OTRRR without OLS,0.0
Revenutype_Future OTRRR with OLS,0.0
sourcesystem_web,0.0
