Columns,Importances,Absolute_Importances
Queue_Broken,65075917.62084501,65075917.62084501
sourcesystem_NMEC,-3464194.710104073,3464194.710104073
sourcesystem_CLT,2036875.3677766912,2036875.3677766912
SubReason_Tax Exemption Order,879146.8948334018,879146.8948334018
Source_Manual,670710.5465494827,670710.5465494827
Queue_LOC,-428093.01593420375,428093.01593420375
SubReason_Future Pricing Only CPS,291246.11759485444,291246.11759485444
Revenutype_Credit / Rebill,163549.74324733735,163549.74324733735
SalesLocation_southamerica,162672.6209326471,162672.6209326471
SubReason_Electronic Order Pend / Reject,-138491.53734441957,138491.53734441957
Created_on_Weekend,-128946.6682057967,128946.6682057967
Revenutype_Revenue Unknown,-126386.38689887861,126386.38689887861
Queue_NAOC,-106003.40113665159,106003.40113665159
Source_eAgreement (Phy),95945.26519529684,95945.26519529684
Source_Hard Copy,-91996.7049503449,91996.7049503449
SubReason_True Up,85873.22426360303,85873.22426360303
SubReason_Manual Order Entry,-85565.62191754796,85565.62191754796
Revenutype_Future Billing,-78403.83237537481,78403.83237537481
SalesLocation_europe,-62466.90314112878,62466.90314112878
IsSignature,59168.802689248965,59168.802689248965
Priority,52034.45133928087,52034.45133928087
IsSOXCase,-51412.500546867916,51412.500546867916
SubReason_Basic Enterprise Commitment,38458.23067097646,38458.23067097646
Complexity,37195.704461840876,37195.704461840876
StatusReason_Completed,-36013.539430436234,36013.539430436234
CountrySource_australia,32030.840288374904,32030.840288374904
CountryProcessed_europe,30974.284514857183,30974.284514857183
IsGovernment,27416.025745284387,27416.025745284387
Source_Soft Copy,-26635.97673123631,26635.97673123631
SubReason_Meteaop,-25416.03192494405,25416.03192494405
SubReason_Zero Usage Order,24049.597004247455,24049.597004247455
CountryProcessed_northamerica,15827.129225004583,15827.129225004583
ROCName_APOC,-13363.382942355773,13363.382942355773
Source_Web,7688.0639518109665,7688.0639518109665
CountryProcessed_asia,-7525.157128237187,7525.157128237187
Revenutype_Current Revenue,6437.469637424731,6437.469637424731
StageName,5126.853419776552,5126.853419776552
Cases_resolved_within_past_8_hours,-9.170199984220849,9.170199984220849
Concurrent_open_cases,-4.949363856919403,4.949363856919403
Rolling_Std,-1.968047594850123,1.968047594850123
Rolling_Mean,-1.9436159479499988,1.9436159479499988
IsMagnumCase,-1.5337102285867268,1.5337102285867268
Rolling_Median,-1.22259543348933,1.22259543348933
Seconds_left_Month,-1.1955761349684288,1.1955761349684288
Cases_created_within_past_8_hours,0.9701571286464191,0.9701571286464191
Seconds_left_Day,-0.8783272258782897,0.8783272258782897
SalesLocation_northamerica,-0.8706520627504251,0.8706520627504251
CountrySource_northamerica,-0.8693337261078988,0.8693337261078988
StatusReason_Problem Solved,-0.8614537349999207,0.8614537349999207
Seconds_left_Qtr,-0.7942695101420424,0.7942695101420424
ROCName_EOC,-0.7161913607496972,0.7161913607496972
Queue_EOC,-0.7154789391446477,0.7154789391446477
Seconds_left_Year,-0.6816926854784625,0.6816926854784625
CountrySource_europe,-0.6137700956424079,0.6137700956424079
Revenutype_Non-revenue,-0.5977227985256587,0.5977227985256587
SalesLocation_asia,-0.4526268442899955,0.4526268442899955
CountrySource_asia,-0.4509573671096372,0.4509573671096372
Queue_APOC,-0.4507187075792901,0.4507187075792901
CountrySource_southamerica,-0.2563929939316607,0.2563929939316607
SalesLocation_australia,-0.205259228005799,0.205259228005799
CountryProcessed_southamerica,-0.15707499988667814,0.15707499988667814
AmountinUSD,-0.12660525562980227,0.12660525562980227
CountryProcessed_australia,-0.05595584960053478,0.05595584960053478
CountrySource_other,-0.04399959385177742,0.04399959385177742
Revenutype_Revenue Impacting Case / Pending Revenue,-0.04227029505402979,0.04227029505402979
StatusReason_Customer Hold,-0.03659897597497813,0.03659897597497813
Revenutype_Future OTRRR with OLS,-0.03450327796711771,0.03450327796711771
CountryProcessed_other,-0.03450327796711771,0.03450327796711771
SubReason_P&H Electronic Order,-0.03450327796711771,0.03450327796711771
Source_eAgreement (Ele),-0.024390243902439022,0.024390243902439022
Revenutype_Future OTRRR without OLS,-0.021121000314262894,0.021121000314262894
Revenutype_Disputed Revenue,-0.02112100031426289,0.02112100031426289
sourcesystem_Aplquest,-0.01724394251251618,0.01724394251251618
StatusReason_New Mail,-0.01724394251251618,0.01724394251251618
SalesLocation_other,-0.01724394251251618,0.01724394251251618
sourcesystem_web,-0.01219240235513636,0.01219240235513636
StatusReason_Ready for Audit,-0.01219240235513636,0.01219240235513636
Queue_E&E,-0.01219240235513636,0.01219240235513636
StatusReason_Reactivated,-0.01219240235513636,0.01219240235513636
StatusReason_New,-0.01219240235513636,0.01219240235513636
StatusReason_Information Provided,-0.01219240235513636,0.01219240235513636
StatusReason_Ready for Archiving,-0.012192402355136358,0.012192402355136358
StatusReason_Final Routing,-0.012192402355136358,0.012192402355136358
sourcesystem_`,-0.012192402355136358,0.012192402355136358
sourcesystem_Current Revenue,0.0,0.0
sourcesystem_Web,0.0,0.0
AssignedToGroup_CRMT,0.0,0.0
sourcesystem_NEMEC,-0.0,0.0
sourcesystem_clt,0.0,0.0
sourcesystem_Moritz Jürgensen,-0.0,0.0
Source_Fax,-0.0,0.0
AuditDuration,0.0,0.0
HoldDuration,0.0,0.0
HoldTypeName_3rd Party,0.0,0.0
HoldTypeName_Customer,0.0,0.0
Revenutype_New Work Sold,0.0,0.0
AssignedToGroup_BPO,0.0,0.0
HoldTypeName_Internal,0.0,0.0
