Columns,Importances,Absolute_Importances
Queue_Broken,25960761.496632922,25960761.496632922
sourcesystem_CLT,972057.3768357557,972057.3768357557
sourcesystem_NMEC,-905278.2542469203,905278.2542469203
SubReason_Tax Exemption Order,671223.7081679546,671223.7081679546
Source_Manual,632085.3913259655,632085.3913259655
Queue_LOC,-482565.9597014165,482565.9597014165
SubReason_Future Pricing Only CPS,305477.12664349435,305477.12664349435
SalesLocation_southamerica,183481.43880269962,183481.43880269962
Revenutype_Credit / Rebill,169474.7510106378,169474.7510106378
SubReason_Electronic Order Pend / Reject,-142345.31039327412,142345.31039327412
Created_on_Weekend,-110809.06148893102,110809.06148893102
Queue_NAOC,-104852.9248492963,104852.9248492963
SubReason_Manual Order Entry,-92633.13334744885,92633.13334744885
Source_eAgreement (Phy),90095.03604432671,90095.03604432671
SubReason_True Up,85709.47798628679,85709.47798628679
Source_Hard Copy,-84656.29350937012,84656.29350937012
IsSignature,69762.7148749259,69762.7148749259
SalesLocation_europe,-63231.24712231947,63231.24712231947
Revenutype_Future Billing,-62771.62259804283,62771.62259804283
Revenutype_Revenue Unknown,-57700.70713212682,57700.70713212682
IsSOXCase,-49554.15840134927,49554.15840134927
Priority,49271.705901780224,49271.705901780224
SubReason_Basic Enterprise Commitment,42703.63887924838,42703.63887924838
Complexity,37703.67125761229,37703.67125761229
StatusReason_Completed,-35847.0496386933,35847.0496386933
CountryProcessed_europe,31705.72057175025,31705.72057175025
CountrySource_australia,31467.031405269456,31467.031405269456
Source_Soft Copy,-29105.104517328393,29105.104517328393
IsGovernment,27735.83892482746,27735.83892482746
SubReason_Meteaop,-23759.93207984842,23759.93207984842
SubReason_Zero Usage Order,22284.427504229505,22284.427504229505
CountryProcessed_northamerica,15828.710516019175,15828.710516019175
ROCName_APOC,-13022.352455863347,13022.352455863347
Source_Web,7913.258430377781,7913.258430377781
CountryProcessed_asia,-7267.419761987253,7267.419761987253
Revenutype_Current Revenue,6313.799625125963,6313.799625125963
StageName,4897.350981441475,4897.350981441475
Cases_resolved_within_past_8_hours,-14.423882794487277,14.423882794487277
Concurrent_open_cases,-6.231983793528447,6.231983793528447
Cases_created_within_past_8_hours,2.2094352673247895,2.2094352673247895
Seconds_left_Year,-1.9815979933812677,1.9815979933812677
Rolling_Std,-1.9061166356214996,1.9061166356214996
Rolling_Mean,-1.7104205032246473,1.7104205032246473
Seconds_left_Month,-1.4811716870210545,1.4811716870210545
Seconds_left_Qtr,-1.477629225087963,1.477629225087963
IsMagnumCase,-1.3829617428161793,1.3829617428161793
Rolling_Median,-1.1285927952424264,1.1285927952424264
StatusReason_Problem Solved,-0.8981848871840434,0.8981848871840434
SalesLocation_northamerica,-0.8906609014766094,0.8906609014766094
CountrySource_northamerica,-0.8896301818537388,0.8896301818537388
Seconds_left_Day,-0.882194166386745,0.882194166386745
ROCName_EOC,-0.7020457371526897,0.7020457371526897
Queue_EOC,-0.7016336723327239,0.7016336723327239
Revenutype_Non-revenue,-0.6315475659289633,0.6315475659289633
CountrySource_europe,-0.5984229391528807,0.5984229391528807
SalesLocation_asia,-0.4736693385191435,0.4736693385191435
CountrySource_asia,-0.4713671228710205,0.4713671228710205
Queue_APOC,-0.46881465435373587,0.46881465435373587
CountrySource_southamerica,-0.22398448133458215,0.22398448133458215
SalesLocation_australia,-0.208999765069875,0.208999765069875
CountryProcessed_southamerica,-0.1513031862416915,0.1513031862416915
AmountinUSD,-0.12313699228322493,0.12313699228322493
CountryProcessed_australia,-0.05351762151023429,0.05351762151023429
Source_eAgreement (Ele),-0.029724231900255794,0.029724231900255794
CountrySource_other,-0.027919603064985452,0.027919603064985452
Revenutype_Revenue Impacting Case / Pending Revenue,-0.02599038533580968,0.02599038533580968
Revenutype_Future OTRRR with OLS,-0.02497010578878237,0.02497010578878237
CountryProcessed_other,-0.023906435098370243,0.023906435098370243
sourcesystem_Aplquest,-0.02279329939018498,0.02279329939018498
StatusReason_Information Provided,-0.021623060749929156,0.021623060749929156
Revenutype_Disputed Revenue,-0.02038588765750502,0.02038588765750502
Queue_E&E,-0.02038588765750502,0.02038588765750502
SubReason_P&H Electronic Order,-0.019068756498967453,0.019068756498967453
Revenutype_Future OTRRR without OLS,-0.016115203599277754,0.016115203599277754
sourcesystem_web,-0.012482134727438816,0.012482134727438816
StatusReason_Customer Hold,-0.0101913556892697,0.0101913556892697
Revenutype_New Work Sold,-0.0101913556892697,0.0101913556892697
sourcesystem_clt,-0.0101913556892697,0.0101913556892697
SalesLocation_other,-0.010191355689269698,0.010191355689269698
Source_Fax,-0.010191355689269698,0.010191355689269698
sourcesystem_Moritz Jürgensen,-0.007206189604361692,0.007206189604361692
StatusReason_Ready for Archiving,-0.007206189604361691,0.007206189604361691
StatusReason_Ready for Audit,-0.00720618960436169,0.00720618960436169
sourcesystem_Current Revenue,-0.00720618960436169,0.00720618960436169
sourcesystem_Web,-0.00720618960436169,0.00720618960436169
sourcesystem_NEMEC,-0.00720618960436169,0.00720618960436169
AssignedToGroup_BPO,0.0,0.0
sourcesystem_`,0.0,0.0
AssignedToGroup_CRMT,0.0,0.0
AuditDuration,0.0,0.0
HoldTypeName_Customer,0.0,0.0
StatusReason_Final Routing,0.0,0.0
StatusReason_New,0.0,0.0
StatusReason_New Mail,0.0,0.0
StatusReason_Reactivated,0.0,0.0
HoldDuration,0.0,0.0
HoldTypeName_3rd Party,0.0,0.0
HoldTypeName_Internal,0.0,0.0
