Columns,Importances,Absolute_Importances
AssignedToGroup_BPO,341647432950.4277,341647432950.4277
AssignedToGroup_CRMT,145054359934.53757,145054359934.53757
AuditDuration,52059706610.21398,52059706610.21398
Queue_Broken,76967235.1840634,76967235.1840634
StatusReason_Ready for Audit,66753256.711326525,66753256.711326525
sourcesystem_web,-16717643.831248578,16717643.831248578
sourcesystem_NMEC,-16090193.448930882,16090193.448930882
StatusReason_Customer Hold,-11612034.52251175,11612034.52251175
StatusReason_Information Provided,10385975.149889378,10385975.149889378
StatusReason_Ready for Archiving,-9861276.592496593,9861276.592496593
sourcesystem_Aplquest,-6011004.512096856,6011004.512096856
Revenutype_Future OTRRR with OLS,-3771607.6431300123,3771607.6431300123
Revenutype_Disputed Revenue,3692435.313221527,3692435.313221527
Queue_E&E,-3085640.418898398,3085640.418898398
SalesLocation_other,-2640260.1385471425,2640260.1385471425
SubReason_Tax Exemption Order,1963016.7976729558,1963016.7976729558
CountrySource_australia,1889881.70077741,1889881.70077741
sourcesystem_CLT,-1800455.2675990781,1800455.2675990781
Revenutype_Future OTRRR without OLS,-1753681.573382123,1753681.573382123
SalesLocation_australia,-1676526.574336038,1676526.574336038
SubReason_P&H Electronic Order,1344944.4186194877,1344944.4186194877
CountryProcessed_other,1188161.2024206638,1188161.2024206638
Source_eAgreement (Ele),983065.5177637989,983065.5177637989
Source_Manual,844211.3023110083,844211.3023110083
ROCName_APOC,-760568.220461098,760568.220461098
Revenutype_Revenue Unknown,-601399.3520675127,601399.3520675127
SalesLocation_southamerica,-525578.7650956056,525578.7650956056
Queue_LOC,-524226.8702760601,524226.8702760601
Queue_APOC,512998.8950934641,512998.8950934641
CountryProcessed_southamerica,506076.2318837236,506076.2318837236
SalesLocation_northamerica,-433774.993021173,433774.993021173
CountrySource_other,427681.7757944566,427681.7757944566
SubReason_Future Pricing Only CPS,412145.6548341955,412145.6548341955
SalesLocation_europe,-379409.0496352393,379409.0496352393
IsSOXCase,-348371.7465510163,348371.7465510163
IsMagnumCase,305783.0375337377,305783.0375337377
CountrySource_asia,242121.52928297166,242121.52928297166
CountrySource_europe,234726.87060233697,234726.87060233697
sourcesystem_NEMEC,-221220.38551307717,221220.38551307717
ROCName_EOC,-215084.97952187783,215084.97952187783
sourcesystem_Moritz Jürgensen,-183077.20106156802,183077.20106156802
Revenutype_Revenue Impacting Case / Pending Revenue,179896.07591886012,179896.07591886012
Revenutype_Future Billing,-179587.47322432385,179587.47322432385
CountryProcessed_northamerica,176415.54185648248,176415.54185648248
Source_eAgreement (Phy),166295.15801379184,166295.15801379184
SubReason_Electronic Order Pend / Reject,-156144.2771218851,156144.2771218851
SalesLocation_asia,-151409.7587102164,151409.7587102164
StatusReason_Problem Solved,147306.26936640166,147306.26936640166
Revenutype_New Work Sold,146243.47014680368,146243.47014680368
CountryProcessed_australia,-138777.8593649529,138777.8593649529
SubReason_True Up,133150.63672215893,133150.63672215893
Created_on_Weekend,-130645.0538116365,130645.0538116365
CountryProcessed_europe,126363.47792143648,126363.47792143648
CountrySource_northamerica,118241.54410194365,118241.54410194365
StatusReason_Completed,112321.59713720417,112321.59713720417
Queue_NAOC,-110196.92498135548,110196.92498135548
Revenutype_Credit / Rebill,96578.32462320245,96578.32462320245
CountryProcessed_asia,-69709.44147272325,69709.44147272325
SubReason_Basic Enterprise Commitment,64666.40365822167,64666.40365822167
Priority,63569.739286132826,63569.739286132826
SubReason_Zero Usage Order,58748.52665207909,58748.52665207909
CountrySource_southamerica,58142.50012570794,58142.50012570794
SubReason_Manual Order Entry,-57215.30704311556,57215.30704311556
IsSignature,57003.0952200262,57003.0952200262
Source_Hard Copy,-54888.390309554066,54888.390309554066
Revenutype_Non-revenue,-47102.88402411073,47102.88402411073
Complexity,40538.79275208723,40538.79275208723
sourcesystem_clt,39748.97233774635,39748.97233774635
Queue_EOC,39105.68765525473,39105.68765525473
Revenutype_Current Revenue,-37657.852007048794,37657.852007048794
Source_Web,32866.30630395087,32866.30630395087
IsGovernment,27248.957673950463,27248.957673950463
HoldTypeName_Internal,-21879.63078011004,21879.63078011004
HoldDuration,8103.792857049855,8103.792857049855
Source_Soft Copy,-7079.297614654814,7079.297614654814
StageName,5307.369313782212,5307.369313782212
Source_Fax,4916.386159717556,4916.386159717556
HoldTypeName_Customer,-4636.281189906298,4636.281189906298
SubReason_Meteaop,-2340.0710836107446,2340.0710836107446
HoldTypeName_3rd Party,-1993.347463496129,1993.347463496129
StatusReason_Final Routing,166.06537983714603,166.06537983714603
StatusReason_New,149.2124684212811,149.2124684212811
StatusReason_New Mail,20.020172446175557,20.020172446175557
Cases_resolved_within_past_8_hours,-9.153018622270155,9.153018622270155
Concurrent_open_cases,-4.945049132562422,4.945049132562422
StatusReason_Reactivated,2.782856298531459,2.782856298531459
Rolling_Std,-1.9680476017701434,1.9680476017701434
Rolling_Mean,-1.9436159721947928,1.9436159721947928
Rolling_Median,-1.2225954265501848,1.2225954265501848
Seconds_left_Month,-1.1955761346442266,1.1955761346442266
Cases_created_within_past_8_hours,1.0033123139656663,1.0033123139656663
Seconds_left_Day,-0.8783272351172567,0.8783272351172567
Seconds_left_Qtr,-0.794269510115906,0.794269510115906
Seconds_left_Year,-0.6816926854696583,0.6816926854696583
AmountinUSD,-0.12660525563161198,0.12660525563161198
sourcesystem_`,-0.012192402355136358,0.012192402355136358
sourcesystem_Current Revenue,0.0,0.0
sourcesystem_Web,0.0,0.0
