Columns,Importances,Absolute_Importances
AssignedToGroup_BPO,341647432950.4277,341647432950.4277
AssignedToGroup_CRMT,145054359934.53757,145054359934.53757
AuditDuration,52059706610.21398,52059706610.21398
StatusReason_Ready for Audit,112931229.62541036,112931229.62541036
StatusReason_Customer Hold,-41649429.353313915,41649429.353313915
Queue_Broken,30704569.50935972,30704569.50935972
sourcesystem_NEMEC,-30700257.070921574,30700257.070921574
sourcesystem_Moritz Jürgensen,-25406868.01378688,25406868.01378688
StatusReason_Ready for Archiving,-16683022.59850262,16683022.59850262
sourcesystem_web,-16329714.54261829,16329714.54261829
Revenutype_New Work Sold,14351246.673624162,14351246.673624162
StatusReason_Information Provided,5858114.426466946,5858114.426466946
Revenutype_Future OTRRR with OLS,-5208593.577793325,5208593.577793325
sourcesystem_Aplquest,-4548549.01277315,4548549.01277315
SalesLocation_other,-4466499.704269139,4466499.704269139
sourcesystem_NMEC,-4204758.365170891,4204758.365170891
sourcesystem_clt,3900668.5589729603,3900668.5589729603
Revenutype_Disputed Revenue,3825467.4128713557,3825467.4128713557
SubReason_P&H Electronic Order,2431551.6959721637,2431551.6959721637
Revenutype_Future OTRRR without OLS,-2297991.935262516,2297991.935262516
CountrySource_australia,1856616.3253722358,1856616.3253722358
Queue_E&E,-1845953.9844126576,1845953.9844126576
CountryProcessed_other,1713769.2161170836,1713769.2161170836
SalesLocation_australia,-1648969.459638487,1648969.459638487
SubReason_Tax Exemption Order,1498752.3097428796,1498752.3097428796
sourcesystem_CLT,-859230.6050344105,859230.6050344105
Source_eAgreement (Ele),806887.9408524652,806887.9408524652
Source_Manual,795594.5185787232,795594.5185787232
ROCName_APOC,-741157.0286136571,741157.0286136571
CountrySource_other,673222.5214919829,673222.5214919829
SalesLocation_southamerica,-592809.6749388755,592809.6749388755
Queue_LOC,-590932.4302820697,590932.4302820697
CountryProcessed_southamerica,524469.0927919802,524469.0927919802
Queue_APOC,500018.47874975775,500018.47874975775
Source_Fax,482457.5689414188,482457.5689414188
SalesLocation_northamerica,-432530.36214764963,432530.36214764963
SubReason_Future Pricing Only CPS,432284.10946740676,432284.10946740676
SalesLocation_europe,-384051.6118071299,384051.6118071299
IsSOXCase,-335780.1411461396,335780.1411461396
IsMagnumCase,294636.40382187534,294636.40382187534
Revenutype_Revenue Impacting Case / Pending Revenue,292255.2261746746,292255.2261746746
Revenutype_Revenue Unknown,-274563.74691348063,274563.74691348063
CountrySource_europe,237493.457268921,237493.457268921
CountrySource_asia,235261.4136120473,235261.4136120473
ROCName_EOC,-216509.18966286653,216509.18966286653
CountryProcessed_northamerica,176433.1520075336,176433.1520075336
SubReason_Electronic Order Pend / Reject,-160489.26995664684,160489.26995664684
Source_eAgreement (Phy),156155.389372056,156155.389372056
SalesLocation_asia,-147024.0898050761,147024.0898050761
StatusReason_Problem Solved,146523.85292858936,146523.85292858936
CountryProcessed_australia,-145061.87404439095,145061.87404439095
Revenutype_Future Billing,-143781.04896381756,143781.04896381756
SubReason_True Up,132896.74065362677,132896.74065362677
CountryProcessed_europe,129347.31705698978,129347.31705698978
CountrySource_northamerica,117893.33792505349,117893.33792505349
Created_on_Weekend,-112268.55061440858,112268.55061440858
StatusReason_Completed,111802.48920125599,111802.48920125599
Queue_NAOC,-109000.93384609588,109000.93384609588
Revenutype_Credit / Rebill,100077.1299145006,100077.1299145006
SubReason_Basic Enterprise Commitment,71804.79641043018,71804.79641043018
CountryProcessed_asia,-67321.49048931002,67321.49048931002
IsSignature,67209.25384922793,67209.25384922793
CountrySource_southamerica,65583.0151214061,65583.0151214061
SubReason_Manual Order Entry,-61941.13032128825,61941.13032128825
Priority,60194.53523479587,60194.53523479587
SubReason_Zero Usage Order,54436.70700121121,54436.70700121121
Source_Hard Copy,-50508.85672970725,50508.85672970725
Revenutype_Non-revenue,-45945.8741928856,45945.8741928856
Complexity,41092.41539149166,41092.41539149166
Queue_EOC,39359.879853377075,39359.879853377075
Revenutype_Current Revenue,-36933.57516808044,36933.57516808044
Source_Web,33829.19060425246,33829.19060425246
IsGovernment,27566.822039019087,27566.822039019087
HoldTypeName_Internal,-21879.63078011004,21879.63078011004
HoldDuration,8103.792857049855,8103.792857049855
Source_Soft Copy,-7735.461219752601,7735.461219752601
StageName,5069.782658180442,5069.782658180442
HoldTypeName_Customer,-4636.281189906298,4636.281189906298
SubReason_Meteaop,-2187.7250230407226,2187.7250230407226
HoldTypeName_3rd Party,-1993.347463496129,1993.347463496129
Cases_resolved_within_past_8_hours,-14.394503328585328,14.394503328585328
Concurrent_open_cases,-6.226368730872362,6.226368730872362
Cases_created_within_past_8_hours,2.260546228753445,2.260546228753445
StatusReason_Final Routing,2.0245836190879345,2.0245836190879345
Seconds_left_Year,-1.981597993334813,1.981597993334813
Rolling_Std,-1.9061166403676495,1.9061166403676495
StatusReason_New,1.8191366828978062,1.8191366828978062
Rolling_Mean,-1.7104205170822795,1.7104205170822795
Seconds_left_Month,-1.4811716867353932,1.4811716867353932
Seconds_left_Qtr,-1.4776292250522176,1.4776292250522176
Rolling_Median,-1.1285927910706115,1.1285927910706115
Seconds_left_Day,-0.8821941763262778,0.8821941763262778
StatusReason_New Mail,0.34542134404182434,0.34542134404182434
AmountinUSD,-0.12313699228480444,0.12313699228480444
StatusReason_Reactivated,0.03407329320907593,0.03407329320907593
sourcesystem_Current Revenue,-0.00720618960436169,0.00720618960436169
sourcesystem_Web,-0.00720618960436169,0.00720618960436169
sourcesystem_`,0.0,0.0
