Columns,Importances,Absolute_Importances
Queue_Broken,28438907.47400123,28438907.47400123
sourcesystem_NMEC,-1756605.816957818,1756605.816957818
SubReason_Tax Exemption Order,844769.7817246238,844769.7817246238
sourcesystem_CLT,596623.8827647539,596623.8827647539
Source_Manual,517389.6989567642,517389.6989567642
Queue_LOC,-353354.4880924389,353354.4880924389
SubReason_Future Pricing Only CPS,287508.50049596094,287508.50049596094
Revenutype_Credit / Rebill,212952.81726819192,212952.81726819192
CountryProcessed_southamerica,145443.77688908932,145443.77688908932
CountrySource_africa,-131080.38526117426,131080.38526117426
SubReason_Manual Order Entry,-112059.86789873512,112059.86789873512
Queue_NAOC,-101019.84433012131,101019.84433012131
Source_E-mail,-96762.49615498786,96762.49615498786
Revenutype_Future Billing,-87644.0906748067,87644.0906748067
Priority,86016.32936147513,86016.32936147513
SalesLocation_southamerica,80151.79729105407,80151.79729105407
Created_on_Weekend,-73780.65150051887,73780.65150051887
CountrySource_australia,65930.93717752748,65930.93717752748
SubReason_True Up,60968.84708654845,60968.84708654845
SubReason_Electronic Order Pend / Reject,-58524.56266223702,58524.56266223702
SubReason_Additional Product Order,-50753.978280726136,50753.978280726136
Queue_AOC,49462.358821901726,49462.358821901726
Source_eAgreement (Phy),42045.95569790438,42045.95569790438
Complexity,41198.64930460112,41198.64930460112
StatusReason_Problem Solved,40695.61845619927,40695.61845619927
IsSignature,35520.60172466242,35520.60172466242
ROCName_APOC,-28167.12217470682,28167.12217470682
Source_Soft Copy,-26285.29791402552,26285.29791402552
CountryProcessed_europe,-18766.309404721116,18766.309404721116
SubReason_Basic Enterprise Commitment,18704.391506442345,18704.391506442345
SubReason_Meteaop,-15827.536098746803,15827.536098746803
SalesLocation_europe,-15341.582297922578,15341.582297922578
IsGovernment,13480.256617035498,13480.256617035498
IsMagnumCase,5953.400602596852,5953.400602596852
Revenutype_Non-revenue,-2511.5119052799687,2511.5119052799687
Concurrent_open_cases,-5.082527239069754,5.082527239069754
Cases_created_within_past_8_hours,2.321636269496249,2.321636269496249
Cases_resolved_within_past_8_hours,2.126134668387074,2.126134668387074
Rolling_Std,-1.8348401910227168,1.8348401910227168
StageName,-1.783641898870434,1.783641898870434
Source_Web,-1.679054491638271,1.679054491638271
Rolling_Mean,-1.644234408965618,1.644234408965618
IsSOXCase,-1.4187563445558193,1.4187563445558193
Seconds_left_Month,-1.3863220308807078,1.3863220308807078
Seconds_left_Qtr,-1.2286703991776617,1.2286703991776617
Revenutype_Current Revenue,-1.1358348193107195,1.1358348193107195
StatusReason_Completed,-1.1226049181298257,1.1226049181298257
Rolling_Median,-1.104296991955218,1.104296991955218
ROCName_AOC,-0.9806384118131074,0.9806384118131074
CountryProcessed_northamerica,-0.9366588843471004,0.9366588843471004
SalesLocation_northamerica,-0.8854476693600054,0.8854476693600054
CountrySource_northamerica,-0.8843416048473093,0.8843416048473093
Seconds_left_Day,-0.880351909874625,0.880351909874625
Seconds_left_Year,-0.8255602551391672,0.8255602551391672
ROCName_EOC,-0.7056990743156325,0.7056990743156325
Queue_EOC,-0.705209654550488,0.705209654550488
CountrySource_europe,-0.6023937842963624,0.6023937842963624
SubReason_Zero Usage Order,-0.532994942969084,0.532994942969084
CountryProcessed_asia,-0.521789595416529,0.521789595416529
SalesLocation_asia,-0.46824764092850985,0.46824764092850985
CountrySource_asia,-0.46610823409477536,0.46610823409477536
Queue_APOC,-0.46414974519889,0.46414974519889
CountrySource_southamerica,-0.2327144559571659,0.2327144559571659
SalesLocation_australia,-0.2080366979769554,0.2080366979769554
SalesLocation_africa,-0.14854257556391787,0.14854257556391787
CountryProcessed_africa,-0.14331645574687196,0.14331645574687196
AmountinUSD,-0.12374016763141787,0.12374016763141787
Source_Hard Copy,-0.12067691274048466,0.12067691274048466
Revenutype_Revenue Unknown,-0.11306430603116316,0.11306430603116316
CountryProcessed_australia,-0.054159305875980036,0.054159305875980036
CountrySource_other,-0.03284304396118157,0.03284304396118157
Revenutype_Revenue Impacting Case / Pending Revenue,-0.03103196635636187,0.03103196635636187
Source_eAgreement (Ele),-0.02843907613505346,0.02843907613505346
Revenutype_Future OTRRR with OLS,-0.027753162045847945,0.027753162045847945
CountryProcessed_other,-0.02704991542109735,0.02704991542109735
SubReason_P&H Electronic Order,-0.024032629622845844,0.024032629622845844
sourcesystem_Aplquest,-0.021494196007305365,0.021494196007305365
Revenutype_Disputed Revenue,-0.020578729779690597,0.020578729779690597
StatusReason_Customer Hold,-0.020578729779690597,0.020578729779690597
StatusReason_Information Provided,-0.01962067129900481,0.01962067129900481
Queue_E&E,-0.01861344487976854,0.01861344487976854
Revenutype_Future OTRRR without OLS,-0.01754858635927319,0.01754858635927319
SalesLocation_other,-0.012407769199573766,0.012407769199573766
sourcesystem_web,-0.012407769199573766,0.012407769199573766
Revenutype_New Work Sold,-0.008773280079294957,0.008773280079294957
sourcesystem_clt,-0.008773280079294957,0.008773280079294957
sourcesystem_AplQuest,-0.008773280079294956,0.008773280079294956
StatusReason_Ready for Audit,-0.008773280079294956,0.008773280079294956
