Columns,Importances,Absolute_Importances
Queue_Broken,61361637.71641618,61361637.71641618
Queue_LOC,-743253.5104652015,743253.5104652015
SalesLocation_southamerica,256613.7168762545,256613.7168762545
Queue_NAOC,-205810.7541788894,205810.7541788894
Created_on_Weekend,-128350.22295709678,128350.22295709678
SalesLocation_europe,-79642.79010241313,79642.79010241313
CountrySource_australia,50969.344796168974,50969.344796168974
CountrySource_northamerica,39400.65628204233,39400.65628204233
ROCName_APOC,-26656.141264998827,26656.141264998827
CountryProcessed_asia,-26041.28458963394,26041.28458963394
CountryProcessed_europe,25695.33892879431,25695.33892879431
Queue_EOC,-23570.77705673202,23570.77705673202
CountryProcessed_northamerica,19145.819018914826,19145.819018914826
Cases_resolved_within_past_8_hours,-9.518293167423657,9.518293167423657
Concurrent_open_cases,-4.942755914764419,4.942755914764419
Rolling_Std,-1.9680474931913563,1.9680474931913563
Rolling_Mean,-1.9436160633669897,1.9436160633669897
Rolling_Median,-1.2225953633544515,1.2225953633544515
Seconds_left_Month,-1.1955761316103592,1.1955761316103592
Seconds_left_Day,-0.878327227619625,0.878327227619625
SalesLocation_northamerica,-0.8706520627504251,0.8706520627504251
Seconds_left_Qtr,-0.7942695104175657,0.7942695104175657
Cases_created_within_past_8_hours,0.7206421227796406,0.7206421227796406
ROCName_EOC,-0.7161913607496972,0.7161913607496972
Seconds_left_Year,-0.6816926854889666,0.6816926854889666
CountrySource_europe,-0.6137700956424079,0.6137700956424079
SalesLocation_asia,-0.4526268442899955,0.4526268442899955
CountrySource_asia,-0.4509573671096372,0.4509573671096372
Queue_APOC,-0.4507187075792901,0.4507187075792901
CountrySource_southamerica,-0.2563929939316607,0.2563929939316607
SalesLocation_australia,-0.205259228005799,0.205259228005799
CountryProcessed_southamerica,-0.15707499988667814,0.15707499988667814
CountryProcessed_australia,-0.05595584960053478,0.05595584960053478
CountrySource_other,-0.04399959385177742,0.04399959385177742
CountryProcessed_other,-0.03450327796711771,0.03450327796711771
SalesLocation_other,-0.01724394251251618,0.01724394251251618
Queue_E&E,-0.01219240235513636,0.01219240235513636
