Columns,Importances,Absolute_Importances
Queue_Broken,24479022.347168077,24479022.347168077
Queue_LOC,-837829.2609868146,837829.2609868146
SalesLocation_southamerica,289439.2900712673,289439.2900712673
Queue_NAOC,-203577.00838796725,203577.00838796725
Created_on_Weekend,-110296.51277712664,110296.51277712664
SalesLocation_europe,-80617.30441907825,80617.30441907825
CountrySource_australia,50072.18366280426,50072.18366280426
CountrySource_northamerica,39284.61116430323,39284.61116430323
CountryProcessed_europe,26302.124458038536,26302.124458038536
ROCName_APOC,-25975.853009530118,25975.853009530118
CountryProcessed_asia,-25149.250193657135,25149.250193657135
Queue_EOC,-23723.960615173975,23723.960615173975
CountryProcessed_northamerica,19147.731559322445,19147.731559322445
Cases_resolved_within_past_8_hours,-15.0191087047472,15.0191087047472
Concurrent_open_cases,-6.223384400807567,6.223384400807567
Seconds_left_Year,-1.9815979934366919,1.9815979934366919
Rolling_Std,-1.9061165658980426,1.9061165658980426
Cases_created_within_past_8_hours,1.8247910037524084,1.8247910037524084
Rolling_Mean,-1.7104205691937056,1.7104205691937056
Seconds_left_Month,-1.4811716840621918,1.4811716840621918
Seconds_left_Qtr,-1.4776292254647811,1.4776292254647811
Rolling_Median,-1.1285927530773279,1.1285927530773279
SalesLocation_northamerica,-0.8906609014766094,0.8906609014766094
Seconds_left_Day,-0.882194168260121,0.882194168260121
ROCName_EOC,-0.7020457371526897,0.7020457371526897
CountrySource_europe,-0.5984229391528807,0.5984229391528807
SalesLocation_asia,-0.4736693385191435,0.4736693385191435
CountrySource_asia,-0.4713671228710205,0.4713671228710205
Queue_APOC,-0.46881465435373587,0.46881465435373587
CountrySource_southamerica,-0.22398448133458215,0.22398448133458215
SalesLocation_australia,-0.208999765069875,0.208999765069875
CountryProcessed_southamerica,-0.1513031862416915,0.1513031862416915
CountryProcessed_australia,-0.05351762151023429,0.05351762151023429
CountrySource_other,-0.027919603064985452,0.027919603064985452
CountryProcessed_other,-0.023906435098370243,0.023906435098370243
Queue_E&E,-0.02038588765750502,0.02038588765750502
SalesLocation_other,-0.010191355689269698,0.010191355689269698
