Columns,Importances
Concurrent_open_cases,0.46536162857774904
Seconds_left_Qtr,0.16713768014103916
Seconds_left_Year,0.1364983085740329
Seconds_left_Month,0.10724293173121309
Created_on_Weekend,0.025600194422950452
Rolling_Median,0.02553189072824666
Rolling_Std,0.021553220030763775
Seconds_left_Day,0.017482768872141938
Rolling_Mean,0.01710532723281548
Cases_resolved_within_past_8_hours,0.011334593247061018
Cases_created_within_past_8_hours,0.0017885527694061747
Queue_NAOC,0.0012735360094100674
SalesLocation_australia,0.0007960366294584721
CountrySource_australia,0.0007880178215708291
Queue_Broken,0.0005053132121408253
CountrySource_europe,0.0
CountryProcessed_northamerica,0.0
CountryProcessed_asia,0.0
CountryProcessed_australia,0.0
CountryProcessed_europe,0.0
SalesLocation_southamerica,0.0
SalesLocation_other,0.0
SalesLocation_northamerica,0.0
SalesLocation_europe,0.0
SalesLocation_asia,0.0
CountryProcessed_southamerica,0.0
CountryProcessed_other,0.0
CountrySource_northamerica,0.0
ROCName_EOC,0.0
ROCName_APOC,0.0
Queue_LOC,0.0
Queue_EOC,0.0
CountrySource_asia,0.0
Queue_APOC,0.0
CountrySource_southamerica,0.0
CountrySource_other,0.0
Queue_E&E,0.0
