Columns,Importances,Absolute_Importances
Queue_Broken,70084579.30528477,70084579.30528477
Queue_E&E,-5483241.923519489,5483241.923519489
CountrySource_australia,1831000.1805383014,1831000.1805383014
SalesLocation_australia,-1659272.6744726154,1659272.6744726154
CountryProcessed_other,1546340.2136792908,1546340.2136792908
Queue_LOC,-834622.0246319977,834622.0246319977
SalesLocation_other,-788268.8960148026,788268.8960148026
CountryProcessed_southamerica,712343.7414998233,712343.7414998233
CountrySource_other,573588.745135403,573588.745135403
SalesLocation_europe,-368193.2014319809,368193.2014319809
CountryProcessed_australia,296977.3771497769,296977.3771497769
Queue_APOC,251529.4808943547,251529.4808943547
CountryProcessed_northamerica,233721.99246181245,233721.99246181245
Queue_NAOC,-214234.24280935831,214234.24280935831
CountrySource_asia,200155.4537563326,200155.4537563326
ROCName_EOC,192172.42450345212,192172.42450345212
CountrySource_europe,185283.08109961377,185283.08109961377
CountryProcessed_europe,150422.98148420212,150422.98148420212
SalesLocation_asia,-141160.2784230453,141160.2784230453
ROCName_APOC,-137944.84175664684,137944.84175664684
SalesLocation_southamerica,137160.758369222,137160.758369222
Created_on_Weekend,-130128.59841937378,130128.59841937378
SalesLocation_northamerica,-118084.70710246768,118084.70710246768
Queue_EOC,-96639.48337762072,96639.48337762072
CountrySource_northamerica,84119.8246572713,84119.8246572713
CountryProcessed_asia,-48982.63270145756,48982.63270145756
CountrySource_southamerica,-15255.706664855097,15255.706664855097
Cases_resolved_within_past_8_hours,-9.43678808081506,9.43678808081506
Concurrent_open_cases,-4.937264967933931,4.937264967933931
Rolling_Std,-1.9680474965052521,1.9680474965052521
Rolling_Mean,-1.9436160634038724,1.9436160634038724
Rolling_Median,-1.2225953623434598,1.2225953623434598
Seconds_left_Month,-1.1955761317044247,1.1955761317044247
Seconds_left_Day,-0.8783272751775335,0.8783272751775335
Seconds_left_Qtr,-0.7942695104424357,0.7942695104424357
Seconds_left_Year,-0.6816926854811821,0.6816926854811821
Cases_created_within_past_8_hours,0.6152404430504974,0.6152404430504974
