Columns,Importances,Absolute_Importances
Queue_Broken,27958868.880895928,27958868.880895928
Queue_E&E,-3280295.455957159,3280295.455957159
CountryProcessed_other,2230396.2132292325,2230396.2132292325
CountrySource_australia,1798771.227373453,1798771.227373453
SalesLocation_australia,-1631999.1626881026,1631999.1626881026
SalesLocation_other,-1333506.0073744133,1333506.0073744133
Queue_LOC,-940824.0225121842,940824.0225121842
CountrySource_other,902897.6148217192,902897.6148217192
CountryProcessed_southamerica,738233.1948326541,738233.1948326541
SalesLocation_europe,-372698.5224480102,372698.5224480102
CountryProcessed_australia,310424.85625467997,310424.85625467997
Queue_APOC,245165.0128040317,245165.0128040317
CountryProcessed_northamerica,233745.3225590346,233745.3225590346
Queue_NAOC,-211909.07180707756,211909.07180707756
CountrySource_asia,194484.37212339343,194484.37212339343
ROCName_EOC,193444.95226757106,193444.95226757106
CountrySource_europe,187466.90784642202,187466.90784642202
SalesLocation_southamerica,154706.15028890313,154706.15028890313
CountryProcessed_europe,153974.9321422507,153974.9321422507
SalesLocation_asia,-137071.49379686188,137071.49379686188
ROCName_APOC,-134424.2433620287,134424.2433620287
SalesLocation_northamerica,-117745.9029545587,117745.9029545587
Created_on_Weekend,-111824.7403123135,111824.7403123135
Queue_EOC,-97267.58873733897,97267.58873733897
CountrySource_northamerica,83872.09597049294,83872.09597049294
CountryProcessed_asia,-47304.70886960396,47304.70886960396
CountrySource_southamerica,-17207.902167500237,17207.902167500237
Cases_resolved_within_past_8_hours,-14.879738151951425,14.879738151951425
Concurrent_open_cases,-6.216238634834234,6.216238634834234
Seconds_left_Year,-1.981597993395617,1.981597993395617
Rolling_Std,-1.906116568170904,1.906116568170904
Rolling_Mean,-1.7104205692147865,1.7104205692147865
Cases_created_within_past_8_hours,1.6623071830384168,1.6623071830384168
Seconds_left_Month,-1.481171684145075,1.481171684145075
Seconds_left_Qtr,-1.4776292254987944,1.4776292254987944
Rolling_Median,-1.1285927524695196,1.1285927524695196
Seconds_left_Day,-0.8821942194242165,0.8821942194242165
