Columns,Importances
Concurrent_open_cases,0.8943563542727375
Seconds_left_Qtr,0.03864628125070095
Seconds_left_Month,0.02178685426962006
Seconds_left_Year,0.015632585698578304
Rolling_Std,0.009086763823668631
Rolling_Median,0.007410069942695901
Rolling_Mean,0.0048109669147627645
Seconds_left_Day,0.0029634724388486523
Created_on_Weekend,0.0014687280256468272
Cases_created_within_past_8_hours,0.0014536388539309502
Cases_resolved_within_past_8_hours,0.0013503686697194978
Queue_NAOC,0.0001510825958941641
CountryProcessed_northamerica,8.907232092610874e-05
ROCName_EOC,8.729988342466658e-05
Queue_EOC,6.859505988415675e-05
SalesLocation_northamerica,6.095130468189029e-05
CountrySource_northamerica,5.6683941582993336e-05
ROCName_APOC,5.57173453311108e-05
Queue_APOC,4.397610612116752e-05
CountryProcessed_europe,4.37268715335785e-05
CountrySource_europe,4.148463693994256e-05
SalesLocation_europe,4.034015300213082e-05
CountryProcessed_asia,4.001069913652159e-05
SalesLocation_asia,3.822897447082178e-05
CountrySource_asia,3.800191902347954e-05
Queue_LOC,3.383269502743636e-05
CountrySource_southamerica,3.293904522677674e-05
CountrySource_australia,3.072338522368957e-05
SalesLocation_southamerica,2.70305806255523e-05
SalesLocation_australia,2.543620267542305e-05
CountryProcessed_southamerica,1.634936908994273e-05
Queue_Broken,7.370376657710294e-06
CountryProcessed_other,2.1699999791944453e-06
CountrySource_other,1.150219853895707e-06
CountryProcessed_australia,9.263973051618355e-07
Queue_E&E,7.929014816624727e-07
SalesLocation_other,2.285399069864196e-08
