Columns,Importances,Absolute_Importances
Queue_Broken,77967521.34683749,77967521.34683749
Queue_E&E,6728498.071235628,6728498.071235628
SalesLocation_other,-3178506.3701542993,3178506.3701542993
CountryProcessed_other,2711789.3923289035,2711789.3923289035
CountrySource_australia,1474319.9459100354,1474319.9459100354
SalesLocation_australia,-1366945.0294397431,1366945.0294397431
CountryProcessed_southamerica,1151016.2289298233,1151016.2289298233
Queue_LOC,-726816.2348764897,726816.2348764897
CountrySource_other,-392085.56552955497,392085.56552955497
CountryProcessed_northamerica,326842.04080748797,326842.04080748797
SalesLocation_europe,-299150.3570155663,299150.3570155663
Created_on_Weekend,-238212.75366573062,238212.75366573062
Queue_APOC,228591.94301095937,228591.94301095937
Queue_NAOC,-203704.10973478938,203704.10973478938
CountrySource_southamerica,-197454.71414219966,197454.71414219966
CountrySource_europe,173292.18232834197,173292.18232834197
CountrySource_asia,159413.65737629993,159413.65737629993
SalesLocation_southamerica,144509.55191090904,144509.55191090904
SalesLocation_asia,-116444.74339419071,116444.74339419071
CountrySource_northamerica,-102709.0473044918,102709.0473044918
ROCName_EOC,93164.31533732323,93164.31533732323
CountryProcessed_europe,88758.35689447878,88758.35689447878
CountryProcessed_australia,81043.89313506961,81043.89313506961
ROCName_APOC,-80333.07128710956,80333.07128710956
CountryProcessed_asia,-62111.02507978107,62111.02507978107
Queue_EOC,24580.876941479037,24580.876941479037
SalesLocation_northamerica,12629.45591825992,12629.45591825992
Cases_resolved_within_past_8_hours,-16.749623612751837,16.749623612751837
Concurrent_open_cases,-5.265812055753971,5.265812055753971
Cases_created_within_past_8_hours,3.4604889735518722,3.4604889735518722
Seconds_left_Month,-1.1955760903518615,1.1955760903518615
Seconds_left_Day,-0.8783250888250148,0.8783250888250148
Seconds_left_Qtr,-0.7942695105694604,0.7942695105694604
