Columns,Importances,Absolute_Importances
Queue_Broken,31103614.063401822,31103614.063401822
SalesLocation_other,-5377045.074179609,5377045.074179609
Queue_E&E,4025257.6480245776,4025257.6480245776
CountryProcessed_other,3911406.2404131405,3911406.2404131405
CountrySource_australia,1448369.2159695926,1448369.2159695926
SalesLocation_australia,-1344476.5166612014,1344476.5166612014
CountryProcessed_southamerica,1192848.8080232616,1192848.8080232616
Queue_LOC,-819300.413332626,819300.413332626
CountrySource_other,-617189.7287090397,617189.7287090397
CountryProcessed_northamerica,326874.66552439705,326874.66552439705
SalesLocation_europe,-302810.84493471886,302810.84493471886
Queue_APOC,222807.862359685,222807.862359685
CountrySource_southamerica,-222722.7725950581,222722.7725950581
Created_on_Weekend,-204705.67893784115,204705.67893784115
Queue_NAOC,-201493.22862879865,201493.22862879865
CountrySource_europe,175334.68060343992,175334.68060343992
SalesLocation_southamerica,162994.98666314466,162994.98666314466
CountrySource_asia,154896.92201130686,154896.92201130686
SalesLocation_asia,-113071.86373006273,113071.86373006273
CountrySource_northamerica,-102406.62504809807,102406.62504809807
ROCName_EOC,93781.24072745873,93781.24072745873
CountryProcessed_europe,90854.2349586612,90854.2349586612
CountryProcessed_australia,84713.6579622389,84713.6579622389
ROCName_APOC,-78282.8404596934,78282.8404596934
CountryProcessed_asia,-59983.36896411054,59983.36896411054
Queue_EOC,24740.662797752528,24740.662797752528
SalesLocation_northamerica,12593.195049721186,12593.195049721186
Cases_resolved_within_past_8_hours,-27.384404707119643,27.384404707119643
Concurrent_open_cases,-6.643800706232713,6.643800706232713
Cases_created_within_past_8_hours,6.048450300536643,6.048450300536643
Seconds_left_Month,-1.4811716477085022,1.4811716477085022
Seconds_left_Qtr,-1.477629225672519,1.477629225672519
Seconds_left_Day,-0.8821918672865298,0.8821918672865298
