Columns,Importances,Absolute_Importances
Queue_Broken,39921670.54776442,39921670.54776442
SalesLocation_other,-9756087.167385923,9756087.167385923
CountrySource_australia,2517138.2614639727,2517138.2614639727
CountrySource_other,2321260.1683451897,2321260.1683451897
SalesLocation_australia,-1960007.923857919,1960007.923857919
CountrySource_southamerica,835813.5260955052,835813.5260955052
Queue_E&E,-740605.520269133,740605.520269133
Queue_LOC,-711037.5695862129,711037.5695862129
SalesLocation_southamerica,-703681.7200416578,703681.7200416578
ROCName_APOC,-626355.2257453732,626355.2257453732
Queue_APOC,563483.5877021337,563483.5877021337
CountryProcessed_australia,-531107.0345820962,531107.0345820962
CountrySource_northamerica,497679.2711252197,497679.2711252197
SalesLocation_northamerica,-492854.15140462585,492854.15140462585
CountrySource_asia,386482.1491468025,386482.1491468025
CountrySource_europe,296272.26528658613,296272.26528658613
SalesLocation_europe,-255740.03265943602,255740.03265943602
CountryProcessed_southamerica,248715.81740350803,248715.81740350803
SalesLocation_asia,-183106.3203196498,183106.3203196498
Queue_NAOC,-181208.22719197712,181208.22719197712
CountryProcessed_asia,-153323.9516656755,153323.9516656755
Queue_EOC,-144333.6117741578,144333.6117741578
CountryProcessed_other,128221.15652201042,128221.15652201042
ROCName_EOC,69343.88176528816,69343.88176528816
Created_on_Weekend,-68120.93711776387,68120.93711776387
CountryProcessed_europe,-45266.11516794816,45266.11516794816
CountryProcessed_northamerica,37197.14879793067,37197.14879793067
Cases_created_within_past_8_hours,22.588136413862525,22.588136413862525
Cases_resolved_within_past_8_hours,7.929559819788916,7.929559819788916
Concurrent_open_cases,-6.083305148473102,6.083305148473102
Seconds_left_Month,-3.1424340964700765,3.1424340964700765
Rolling_Std,-1.9149600341794404,1.9149600341794404
Rolling_Mean,-1.729098907180977,1.729098907180977
Rolling_Median,-0.9878247530805521,0.9878247530805521
Seconds_left_Day,-0.8981605860553926,0.8981605860553926
