Columns,Importances,Absolute_Importances
Queue_Broken,97753269.00424464,97753269.00424464
Queue_E&E,3097344.453167035,3097344.453167035
CountryProcessed_australia,2831218.1215289137,2831218.1215289137
CountryProcessed_other,2652799.881619527,2652799.881619527
SalesLocation_australia,-1760310.2146916937,1760310.2146916937
Queue_LOC,-1069749.0235883591,1069749.0235883591
CountrySource_other,-943753.3361409713,943753.3361409713
CountrySource_australia,927978.7424936772,927978.7424936772
CountrySource_europe,736941.1912020276,736941.1912020276
SalesLocation_europe,-641405.2389680598,641405.2389680598
SalesLocation_asia,-321764.85328204674,321764.85328204674
CountryProcessed_asia,313198.8920997015,313198.8920997015
Queue_NAOC,-269181.19621297385,269181.19621297385
Created_on_Weekend,-245562.90050063084,245562.90050063084
SalesLocation_southamerica,218781.1583574484,218781.1583574484
CountryProcessed_southamerica,203452.43842832797,203452.43842832797
Queue_APOC,-179199.118874501,179199.118874501
CountryProcessed_europe,-163883.14142305183,163883.14142305183
Queue_EOC,-117242.5700911662,117242.5700911662
CountrySource_northamerica,81028.65794950178,81028.65794950178
CountrySource_asia,-64971.59218302112,64971.59218302112
CountrySource_southamerica,-59340.32720689755,59340.32720689755
SalesLocation_northamerica,-44698.18061183763,44698.18061183763
ROCName_APOC,-42289.401838650105,42289.401838650105
ROCName_EOC,-22565.471507874823,22565.471507874823
CountryProcessed_northamerica,-2907.190069574206,2907.190069574206
Cases_resolved_within_past_8_hours,-22.941865729844334,22.941865729844334
Concurrent_open_cases,-5.823648372207185,5.823648372207185
Seconds_left_Month,-1.5315670486632353,1.5315670486632353
Cases_created_within_past_8_hours,1.2639648194376751,1.2639648194376751
Seconds_left_Qtr,-0.8902156841976151,0.8902156841976151
Seconds_left_Day,-0.8758030712920345,0.8758030712920345
SalesLocation_other,-0.01937642490082473,0.01937642490082473
