Columns,Importances,Absolute_Importances
Queue_Broken,35166980.64999663,35166980.64999663
Queue_LOC,-622636.3015277779,622636.3015277779
SalesLocation_southamerica,174451.6695423882,174451.6695423882
Queue_NAOC,-168506.86428011302,168506.86428011302
CountrySource_australia,121933.2419824412,121933.2419824412
CountryProcessed_southamerica,117551.97994595898,117551.97994595898
Created_on_Weekend,-79796.2895163066,79796.2895163066
Queue_EOC,-66529.79375133004,66529.79375133004
ROCName_APOC,-43291.8743239943,43291.8743239943
CountrySource_northamerica,30538.49098302922,30538.49098302922
SalesLocation_europe,-22966.83370438508,22966.83370438508
CountrySource_asia,5734.663122467454,5734.663122467454
Cases_created_within_past_8_hours,16.712987725660817,16.712987725660817
Seconds_left_Qtr,-12.932110927115636,12.932110927115636
Concurrent_open_cases,-6.11204984344916,6.11204984344916
Cases_resolved_within_past_8_hours,4.935905914886755,4.935905914886755
Seconds_left_Month,-3.1424340899651666,3.1424340899651666
Rolling_Std,-1.9149598670651498,1.9149598670651498
Rolling_Mean,-1.7290990178224026,1.7290990178224026
CountryProcessed_northamerica,-1.0631753760983556,1.0631753760983556
Rolling_Median,-0.9878247567143829,0.9878247567143829
SalesLocation_northamerica,-0.9781719747410434,0.9781719747410434
Seconds_left_Day,-0.8981604522645286,0.8981604522645286
ROCName_EOC,-0.650591341399991,0.650591341399991
CountryProcessed_europe,-0.5846856720733458,0.5846856720733458
CountrySource_europe,-0.5607462773903357,0.5607462773903357
CountryProcessed_asia,-0.4557991630578271,0.4557991630578271
Queue_APOC,-0.42576944565466485,0.42576944565466485
SalesLocation_asia,-0.4249473202471082,0.4249473202471082
CountrySource_southamerica,-0.2519259150358824,0.2519259150358824
SalesLocation_australia,-0.17913988195956979,0.17913988195956979
CountryProcessed_australia,-0.07447919697233567,0.07447919697233567
CountrySource_other,-0.03881727079928952,0.03881727079928952
SalesLocation_other,-0.022399913984495454,0.022399913984495454
CountryProcessed_other,-0.022399913984495454,0.022399913984495454
Queue_E&E,-0.022399913984495447,0.022399913984495447
