Columns,Importances,Absolute_Importances
Queue_Broken,41119381.045873195,41119381.045873195
SalesLocation_other,-9749964.292047149,9749964.292047149
CountrySource_australia,2507931.218579392,2507931.218579392
CountrySource_other,2140137.078952985,2140137.078952985
SalesLocation_australia,-1956943.9638718262,1956943.9638718262
Queue_E&E,-1512854.3898491934,1512854.3898491934
CountrySource_southamerica,781968.9631180575,781968.9631180575
Queue_LOC,-709392.9145534594,709392.9145534594
SalesLocation_southamerica,-668888.1159701706,668888.1159701706
ROCName_APOC,-593308.1968260048,593308.1968260048
Queue_APOC,534153.2695929403,534153.2695929403
CountryProcessed_australia,-510612.18128641904,510612.18128641904
CountryProcessed_other,494068.9763754104,494068.9763754104
SalesLocation_northamerica,-474536.92998972756,474536.92998972756
CountrySource_northamerica,469388.7476572195,469388.7476572195
CountrySource_asia,377039.2293560751,377039.2293560751
CountryProcessed_southamerica,358443.23742196284,358443.23742196284
CountrySource_europe,302649.9625492081,302649.9625492081
SalesLocation_europe,-250490.13491751315,250490.13491751315
SalesLocation_asia,-179829.76493247124,179829.76493247124
Queue_NAOC,-176237.20921668736,176237.20921668736
Queue_EOC,-151324.57274361618,151324.57274361618
CountryProcessed_asia,-147587.1244832086,147587.1244832086
ROCName_EOC,85849.01328432398,85849.01328432398
Created_on_Weekend,-81504.16247306768,81504.16247306768
CountryProcessed_northamerica,60949.926743818025,60949.926743818025
CountryProcessed_europe,-54505.65853690689,54505.65853690689
Cases_created_within_past_8_hours,16.223182857421854,16.223182857421854
Seconds_left_Qtr,-12.932110927325782,12.932110927325782
Concurrent_open_cases,-6.103499495122325,6.103499495122325
Cases_resolved_within_past_8_hours,4.970760418418119,4.970760418418119
Seconds_left_Month,-3.142434089956373,3.142434089956373
Rolling_Std,-1.9149598689530056,1.9149598689530056
Rolling_Mean,-1.729099020726736,1.729099020726736
Rolling_Median,-0.9878247529601234,0.9878247529601234
Seconds_left_Day,-0.8981604889112664,0.8981604889112664
