Columns,Importances,Absolute_Importances
Queue_Broken,33621167.19199265,33621167.19199265
SalesLocation_other,-19537635.2058177,19537635.2058177
CountrySource_other,2377560.549360003,2377560.549360003
CountrySource_australia,2118499.188195347,2118499.188195347
Queue_E&E,-1739873.986326047,1739873.986326047
SalesLocation_australia,-1688751.5446651722,1688751.5446651722
CountrySource_southamerica,807094.345633501,807094.345633501
Queue_LOC,-729636.5948605065,729636.5948605065
SalesLocation_southamerica,-701615.6906002987,701615.6906002987
CountryProcessed_australia,-652756.8962044952,652756.8962044952
ROCName_APOC,-531409.9599573325,531409.9599573325
Queue_APOC,495176.8490454011,495176.8490454011
SalesLocation_northamerica,-471201.4756921468,471201.4756921468
CountrySource_northamerica,463474.53407606785,463474.53407606785
CountryProcessed_other,445715.8066467822,445715.8066467822
CountryProcessed_southamerica,396312.3539495676,396312.3539495676
CountrySource_asia,346967.1840601975,346967.1840601975
CountrySource_europe,291042.71158367756,291042.71158367756
SalesLocation_europe,-231978.7133970893,231978.7133970893
Queue_NAOC,-179239.5838383847,179239.5838383847
SalesLocation_asia,-168346.33911702532,168346.33911702532
Queue_EOC,-142619.80891092855,142619.80891092855
CountryProcessed_asia,-131852.67173213136,131852.67173213136
ROCName_EOC,100084.42238997851,100084.42238997851
Created_on_Weekend,-97878.93304145138,97878.93304145138
CountryProcessed_northamerica,79590.33171279237,79590.33171279237
CountryProcessed_europe,-65976.16767913297,65976.16767913297
Concurrent_open_cases,-5.209074678158366,5.209074678158366
Rolling_Std,-1.8568327839791288,1.8568327839791288
Cases_created_within_past_8_hours,1.8150230482411902,1.8150230482411902
Rolling_Mean,-1.6704459053388796,1.6704459053388796
Seconds_left_Year,-1.4127425470303276,1.4127425470303276
Seconds_left_Month,-1.3302311249414274,1.3302311249414274
Seconds_left_Qtr,-1.190129103844025,1.190129103844025
Rolling_Median,-1.1225457619133012,1.1225457619133012
Cases_resolved_within_past_8_hours,0.926582987194071,0.926582987194071
Seconds_left_Day,-0.8793100098569843,0.8793100098569843
