Columns,Importances
Concurrent_open_cases,0.8976670430430467
Seconds_left_Qtr,0.033968235594447775
Seconds_left_Month,0.026026261653379623
Seconds_left_Year,0.014210666219998516
Rolling_Std,0.008632557570662797
Rolling_Median,0.007953797346796625
Seconds_left_Day,0.003143099482072134
Rolling_Mean,0.0029777320225023514
Cases_resolved_within_past_8_hours,0.0019456722219049721
Created_on_Weekend,0.0013349092602766945
Cases_created_within_past_8_hours,0.0011561742810235855
Queue_NAOC,0.00013901755308762034
CountryProcessed_northamerica,9.382904777853356e-05
Queue_EOC,6.834812911167539e-05
ROCName_EOC,6.620491299094282e-05
CountrySource_northamerica,5.9431130034652494e-05
SalesLocation_northamerica,5.5429277986269556e-05
CountryProcessed_asia,5.212880340322316e-05
Queue_APOC,4.418758539800745e-05
ROCName_APOC,4.2268257989491155e-05
CountrySource_europe,4.146324090843313e-05
Queue_LOC,4.054712628816991e-05
SalesLocation_asia,3.808993391646056e-05
CountrySource_asia,3.7535818813267554e-05
CountryProcessed_europe,3.6693343209088844e-05
SalesLocation_europe,3.490330787605257e-05
SalesLocation_australia,3.074370255321844e-05
SalesLocation_southamerica,3.0217794616724493e-05
CountrySource_southamerica,2.785637775093307e-05
CountrySource_australia,2.393674942573016e-05
CountryProcessed_southamerica,1.536970034400833e-05
Queue_Broken,2.8157563135292995e-06
CountrySource_other,1.0461451647834555e-06
Queue_E&E,9.743943118784034e-07
CountryProcessed_other,5.019965833162824e-07
CountryProcessed_australia,3.1099883738531146e-07
SalesLocation_other,2.1919470962217746e-10
