Columns,Importances,Absolute_Importances
Queue_Broken,28755672.410304066,28755672.410304066
Queue_LOC,-648455.0935829792,648455.0935829792
SalesLocation_southamerica,188988.45128122755,188988.45128122755
Queue_NAOC,-173008.86147419762,173008.86147419762
CountryProcessed_southamerica,105435.83824336722,105435.83824336722
CountrySource_australia,104123.3351224546,104123.3351224546
Created_on_Weekend,-88911.39618542706,88911.39618542706
Queue_EOC,-64431.11290330241,64431.11290330241
ROCName_APOC,-40675.91026321619,40675.91026321619
CountrySource_northamerica,30796.03663965058,30796.03663965058
SalesLocation_europe,-22108.549243075515,22108.549243075515
CountrySource_asia,5365.782715014706,5365.782715014706
Concurrent_open_cases,-5.209790610418003,5.209790610418003
Cases_created_within_past_8_hours,3.029403874384745,3.029403874384745
Cases_resolved_within_past_8_hours,2.475177394872181,2.475177394872181
Rolling_Std,-1.8568327902480375,1.8568327902480375
Rolling_Mean,-1.6704459819060915,1.6704459819060915
Seconds_left_Month,-1.3302311188893683,1.3302311188893683
Seconds_left_Qtr,-1.1901291039715824,1.1901291039715824
Rolling_Median,-1.1225457414137645,1.1225457414137645
CountryProcessed_northamerica,-0.9268119114638984,0.9268119114638984
Seconds_left_Day,-0.8793100459022108,0.8793100459022108
SalesLocation_northamerica,-0.8780771115866618,0.8780771115866618
ROCName_EOC,-0.7103365051742859,0.7103365051742859
CountryProcessed_europe,-0.6135774913758825,0.6135774913758825
CountrySource_europe,-0.6058593294367323,0.6058593294367323
CountryProcessed_asia,-0.5271978501849061,0.5271978501849061
SalesLocation_asia,-0.4717887136182835,0.4717887136182835
Queue_APOC,-0.46729304180411846,0.46729304180411846
CountrySource_southamerica,-0.23106175114368807,0.23106175114368807
SalesLocation_australia,-0.2102856526496908,0.2102856526496908
CountryProcessed_australia,-0.05212097767490334,0.05212097767490334
CountrySource_other,-0.032297073094106066,0.032297073094106066
CountryProcessed_other,-0.02740097409149767,0.02740097409149767
Queue_E&E,-0.018263507434294623,0.018263507434294623
SalesLocation_other,-0.01118290292980262,0.01118290292980262
