Columns,Importances
Concurrent_open_cases,0.4427943139893321
Seconds_left_Qtr,0.26882215512881813
Seconds_left_Month,0.14174180843388415
Cases_resolved_within_past_8_hours,0.03021620020659712
Rolling_Std,0.025592470232153667
Rolling_Mean,0.022932776101138676
Rolling_Median,0.021428268049242902
Created_on_Weekend,0.021355141022689393
Seconds_left_Day,0.013833414492724863
Cases_created_within_past_8_hours,0.009387344745350811
CountrySource_northamerica,0.0009564847018941817
SalesLocation_australia,0.0005007513039258837
CountryProcessed_southamerica,0.0004388715922479594
CountrySource_australia,0.0
CountryProcessed_other,0.0
CountryProcessed_asia,0.0
CountryProcessed_australia,0.0
SalesLocation_southamerica,0.0
SalesLocation_other,0.0
SalesLocation_northamerica,0.0
SalesLocation_europe,0.0
SalesLocation_asia,0.0
CountryProcessed_europe,0.0
CountryProcessed_northamerica,0.0
ROCName_EOC,0.0
CountrySource_europe,0.0
ROCName_APOC,0.0
Queue_NAOC,0.0
Queue_LOC,0.0
Queue_EOC,0.0
Queue_Broken,0.0
Queue_APOC,0.0
CountrySource_asia,0.0
CountrySource_southamerica,0.0
CountrySource_other,0.0
Queue_E&E,0.0
