Columns,Importances,Absolute_Importances
Queue_Broken,33622887.98381062,33622887.98381062
SalesLocation_other,-19522313.06483714,19522313.06483714
CountrySource_other,2571001.3680905793,2571001.3680905793
CountrySource_australia,2141616.995148428,2141616.995148428
Queue_E&E,-1855180.9432921372,1855180.9432921372
SalesLocation_australia,-1686689.120802242,1686689.120802242
CountrySource_southamerica,844499.5801876256,844499.5801876256
Queue_LOC,-738809.2353328159,738809.2353328159
CountryProcessed_australia,-727594.3774060914,727594.3774060914
SalesLocation_southamerica,-724625.2996947705,724625.2996947705
ROCName_APOC,-557455.9726717328,557455.9726717328
Queue_APOC,501966.7200817859,501966.7200817859
SalesLocation_northamerica,-478437.0778543249,478437.0778543249
CountrySource_northamerica,473345.7374854861,473345.7374854861
CountryProcessed_other,403995.0275842205,403995.0275842205
CountrySource_asia,352790.9517680768,352790.9517680768
CountryProcessed_southamerica,321498.3755483549,321498.3755483549
CountrySource_europe,291329.7821166856,291329.7821166856
SalesLocation_europe,-241128.5110500551,241128.5110500551
Queue_NAOC,-180945.74488313645,180945.74488313645
SalesLocation_asia,-167738.49134987476,167738.49134987476
Queue_EOC,-146550.94087019877,146550.94087019877
CountryProcessed_asia,-135014.45792305417,135014.45792305417
Created_on_Weekend,-90814.36216672508,90814.36216672508
ROCName_EOC,83120.22435994656,83120.22435994656
CountryProcessed_northamerica,61011.67606718109,61011.67606718109
CountryProcessed_europe,-53279.198991442674,53279.198991442674
Concurrent_open_cases,-5.203492639587229,5.203492639587229
Cases_created_within_past_8_hours,2.906799988280913,2.906799988280913
Cases_resolved_within_past_8_hours,2.4980031021656823,2.4980031021656823
Rolling_Std,-1.8568327915585894,1.8568327915585894
Rolling_Mean,-1.6704459837340913,1.6704459837340913
Seconds_left_Month,-1.3302311188831557,1.3302311188831557
Seconds_left_Qtr,-1.1901291040216535,1.1901291040216535
Rolling_Median,-1.1225457387553788,1.1225457387553788
Seconds_left_Day,-0.8793100795912226,0.8793100795912226
