Columns,Importances,Absolute_Importances
Queue_LOC,-872285.9217292159,872285.9217292159
Queue_Broken,732989.5593824225,732989.5593824225
SalesLocation_southamerica,268384.98713656416,268384.98713656416
Queue_NAOC,-223060.59003534543,223060.59003534543
Created_on_Weekend,-146198.74006471384,146198.74006471384
CountrySource_northamerica,66136.38380998898,66136.38380998898
SalesLocation_europe,-48671.252538747445,48671.252538747445
CountrySource_asia,-27545.379457664334,27545.379457664334
CountryProcessed_northamerica,27038.631671304447,27038.631671304447
ROCName_APOC,-10696.892147012422,10696.892147012422
Queue_EOC,-6657.463801960824,6657.463801960824
Cases_resolved_within_past_8_hours,-7.9810924757815,7.9810924757815
Concurrent_open_cases,-5.879281296493207,5.879281296493207
Cases_created_within_past_8_hours,2.310893439680895,2.310893439680895
Rolling_Std,-1.982529713215937,1.982529713215937
Rolling_Mean,-1.8895441378818023,1.8895441378818023
Seconds_left_Month,-1.3866443185561552,1.3866443185561552
Seconds_left_Qtr,-1.3866442736668552,1.3866442736668552
Seconds_left_Year,-1.386644254912719,1.386644254912719
Rolling_Median,-1.2799283888415003,1.2799283888415003
Seconds_left_Day,-0.8723314054244408,0.8723314054244408
SalesLocation_northamerica,-0.8473635495629368,0.8473635495629368
ROCName_EOC,-0.7352146220938077,0.7352146220938077
CountryProcessed_europe,-0.6492249433527413,0.6492249433527413
CountrySource_europe,-0.6296970503676983,0.6296970503676983
CountryProcessed_asia,-0.5217726478412243,0.5217726478412243
SalesLocation_asia,-0.47190320338132685,0.47190320338132685
Queue_APOC,-0.46824281830947045,0.46824281830947045
CountrySource_southamerica,-0.23460904250504488,0.23460904250504488
CountrySource_australia,-0.2129948247418124,0.2129948247418124
SalesLocation_australia,-0.21240196773729073,0.21240196773729073
CountryProcessed_southamerica,-0.1423178029689955,0.1423178029689955
CountryProcessed_australia,-0.05270462766947298,0.05270462766947298
CountrySource_other,-0.04562770625476131,0.04562770625476131
CountryProcessed_other,-0.03724194613619294,0.03724194613619294
SalesLocation_other,-0.01861129564531997,0.01861129564531997
Queue_E&E,-0.010743996119441207,0.010743996119441207
