Columns,Importances,Absolute_Importances
Queue_E&E,-12570837.850945676,12570837.850945676
CountrySource_other,3181714.795033333,3181714.795033333
CountryProcessed_other,-2750313.0320328153,2750313.0320328153
SalesLocation_australia,-1876938.9553926692,1876938.9553926692
CountrySource_australia,1638533.0924378757,1638533.0924378757
CountryProcessed_australia,1476717.2191956888,1476717.2191956888
Queue_LOC,-972844.806954627,972844.806954627
Queue_Broken,823161.1465653586,823161.1465653586
CountrySource_europe,798047.4208042313,798047.4208042313
SalesLocation_europe,-703240.3626505622,703240.3626505622
SalesLocation_southamerica,245940.22736388355,245940.22736388355
CountrySource_southamerica,-242340.4534377651,242340.4534377651
SalesLocation_asia,-234384.20395908706,234384.20395908706
Queue_NAOC,-232413.80260928403,232413.80260928403
Queue_EOC,-226796.87992735105,226796.87992735105
Queue_APOC,-220400.79234176438,220400.79234176438
Created_on_Weekend,-147565.04391353196,147565.04391353196
CountryProcessed_europe,-142706.08706782802,142706.08706782802
SalesLocation_northamerica,-141972.6075588381,141972.6075588381
CountryProcessed_asia,125750.87568135907,125750.87568135907
CountryProcessed_southamerica,-106885.3531087707,106885.3531087707
CountrySource_asia,82660.77178257765,82660.77178257765
CountrySource_northamerica,77262.27205907069,77262.27205907069
ROCName_EOC,47836.68061221589,47836.68061221589
ROCName_APOC,-18323.531636034735,18323.531636034735
CountryProcessed_northamerica,-1777.3228718580172,1777.3228718580172
Cases_resolved_within_past_8_hours,-7.9514274836442524,7.9514274836442524
Concurrent_open_cases,-5.870372486753,5.870372486753
Cases_created_within_past_8_hours,2.1911191978017093,2.1911191978017093
Rolling_Std,-1.982529720887771,1.982529720887771
Rolling_Mean,-1.889544126862019,1.889544126862019
Seconds_left_Month,-1.386644318192415,1.386644318192415
Seconds_left_Qtr,-1.3866442739762157,1.3866442739762157
Seconds_left_Year,-1.386644255142011,1.386644255142011
Rolling_Median,-1.2799283901664629,1.2799283901664629
Seconds_left_Day,-0.8723314368084221,0.8723314368084221
SalesLocation_other,-0.018611292516691854,0.018611292516691854
