Columns,Importances,Absolute_Importances
Queue_Broken,75675625.89790188,75675625.89790188
Queue_LOC,-873285.8729711865,873285.8729711865
SalesLocation_southamerica,264789.0644662281,264789.0644662281
Queue_NAOC,-220528.9798091957,220528.9798091957
Created_on_Weekend,-141490.30079941213,141490.30079941213
CountrySource_northamerica,65857.10021523798,65857.10021523798
SalesLocation_europe,-49119.962737086025,49119.962737086025
CountrySource_asia,-27859.863624875306,27859.863624875306
CountryProcessed_northamerica,26966.77886728661,26966.77886728661
ROCName_APOC,-10814.202843055786,10814.202843055786
Queue_EOC,-6702.740440040022,6702.740440040022
Cases_resolved_within_past_8_hours,-7.316569778349388,7.316569778349388
Concurrent_open_cases,-5.641388524672902,5.641388524672902
Cases_created_within_past_8_hours,2.3695287529406412,2.3695287529406412
Rolling_Std,-1.9405678710605359,1.9405678710605359
Rolling_Mean,-1.8337861738351842,1.8337861738351842
Seconds_left_Month,-1.5315670970788582,1.5315670970788582
Rolling_Median,-1.2172186709701491,1.2172186709701491
Seconds_left_Qtr,-0.8902156772301044,0.8902156772301044
Seconds_left_Day,-0.8758073786937677,0.8758073786937677
SalesLocation_northamerica,-0.8707270651053414,0.8707270651053414
ROCName_EOC,-0.7191335237012887,0.7191335237012887
CountryProcessed_europe,-0.6370895768059769,0.6370895768059769
CountrySource_europe,-0.6167585759792127,0.6167585759792127
Seconds_left_Year,-0.5696579468141236,0.5696579468141236
CountryProcessed_asia,-0.5095703861975696,0.5095703861975696
SalesLocation_asia,-0.46323524756531054,0.46323524756531054
Queue_APOC,-0.46039407233604246,0.46039407233604246
CountrySource_southamerica,-0.23792333770099516,0.23792333770099516
CountrySource_australia,-0.20677309308578756,0.20677309308578756
SalesLocation_australia,-0.20652627231026308,0.20652627231026308
CountryProcessed_southamerica,-0.14142812329505614,0.14142812329505614
CountryProcessed_australia,-0.05739980690737435,0.05739980690737435
CountrySource_other,-0.04443243024396259,0.04443243024396259
CountryProcessed_other,-0.03494611029437233,0.03494611029437233
SalesLocation_other,-0.01937642490082473,0.01937642490082473
Queue_E&E,-0.013699915608779777,0.013699915608779777
