Columns,Importances,Absolute_Importances
Queue_Broken,21402249.952264447,21402249.952264447
Queue_LOC,-940594.3930150141,940594.3930150141
SalesLocation_southamerica,273638.764070402,273638.764070402
Queue_NAOC,-217926.1972346145,217926.1972346145
Created_on_Weekend,-138654.73269615136,138654.73269615136
CountrySource_northamerica,65622.91889178476,65622.91889178476
SalesLocation_europe,-50070.65390286877,50070.65390286877
CountrySource_asia,-27537.49007681795,27537.49007681795
CountryProcessed_northamerica,26948.627386598066,26948.627386598066
ROCName_APOC,-10715.674175804194,10715.674175804194
Queue_EOC,-6774.2714118035465,6774.2714118035465
Cases_resolved_within_past_8_hours,-10.53662399568946,10.53662399568946
Concurrent_open_cases,-6.983411974892331,6.983411974892331
Cases_created_within_past_8_hours,3.42280640823697,3.42280640823697
Seconds_left_Year,-2.7684462551062565,2.7684462551062565
Rolling_Std,-1.8413698451571494,1.8413698451571494
Rolling_Mean,-1.670235678474488,1.670235678474488
Seconds_left_Qtr,-1.575259810668058,1.575259810668058
Seconds_left_Month,-1.2999192690771404,1.2999192690771404
Rolling_Median,-1.1128520102229382,1.1128520102229382
SalesLocation_northamerica,-0.895793451532266,0.895793451532266
Seconds_left_Day,-0.8836031395581303,0.8836031395581303
ROCName_EOC,-0.6964075892202645,0.6964075892202645
CountryProcessed_europe,-0.5935248307748892,0.5935248307748892
CountrySource_europe,-0.5924193539988545,0.5924193539988545
CountryProcessed_asia,-0.5302611280540076,0.5302611280540076
SalesLocation_asia,-0.47172399607550247,0.47172399607550247
Queue_APOC,-0.46675594856968533,0.46675594856968533
CountrySource_southamerica,-0.22903736791673243,0.22903736791673243
CountrySource_australia,-0.2092514668298553,0.2092514668298553
SalesLocation_australia,-0.20908156977364437,0.20908156977364437
CountryProcessed_southamerica,-0.1602995055435795,0.1602995055435795
CountryProcessed_australia,-0.05178819750102887,0.05178819750102887
CountrySource_other,-0.02137496753202152,0.02137496753202152
Queue_E&E,-0.02137496753202152,0.02137496753202152
CountryProcessed_other,-0.019788728779583535,0.019788728779583535
SalesLocation_other,0.0,0.0
