Columns,Importances,Absolute_Importances
Queue_Broken,84985159.99945,84985159.99945
Queue_E&E,-9859242.540125495,9859242.540125495
CountrySource_other,3266955.066137842,3266955.066137842
CountryProcessed_other,-2930513.778340405,2930513.778340405
SalesLocation_australia,-1925791.6584261477,1925791.6584261477
CountrySource_australia,1683619.2140458408,1683619.2140458408
CountryProcessed_australia,1356623.974027029,1356623.974027029
Queue_LOC,-973960.0346369807,973960.0346369807
CountrySource_europe,805379.7010474915,805379.7010474915
SalesLocation_europe,-709723.9328526782,709723.9328526782
SalesLocation_southamerica,242645.02744389453,242645.02744389453
CountrySource_southamerica,-239319.35461145913,239319.35461145913
SalesLocation_asia,-237187.02974023085,237187.02974023085
Queue_NAOC,-229776.03714931506,229776.03714931506
Queue_EOC,-228339.99138108012,228339.99138108012
Queue_APOC,-222818.13869718832,222818.13869718832
CountryProcessed_europe,-143827.3997943279,143827.3997943279
Created_on_Weekend,-142812.60148817228,142812.60148817228
SalesLocation_northamerica,-141391.29887919952,141391.29887919952
CountryProcessed_asia,127488.46769343625,127488.46769343625
CountryProcessed_southamerica,-107531.12020829765,107531.12020829765
CountrySource_asia,83604.5597674526,83604.5597674526
CountrySource_northamerica,76936.01018553376,76936.01018553376
ROCName_EOC,48163.94852363189,48163.94852363189
ROCName_APOC,-18524.491433357096,18524.491433357096
CountryProcessed_northamerica,-1772.6323713482893,1772.6323713482893
Cases_resolved_within_past_8_hours,-7.2885478997544535,7.2885478997544535
Concurrent_open_cases,-5.632581410541451,5.632581410541451
Cases_created_within_past_8_hours,2.260793732908119,2.260793732908119
Rolling_Std,-1.9405678788716016,1.9405678788716016
Rolling_Mean,-1.8337861626734506,1.8337861626734506
Seconds_left_Month,-1.5315670967188493,1.5315670967188493
Rolling_Median,-1.2172186722890352,1.2172186722890352
Seconds_left_Qtr,-0.8902156773265129,0.8902156773265129
Seconds_left_Day,-0.8758074106368857,0.8758074106368857
Seconds_left_Year,-0.5696579468291475,0.5696579468291475
SalesLocation_other,-0.019376421895651433,0.019376421895651433
