Columns,Importances
Concurrent_open_cases,0.892578921702638
Seconds_left_Qtr,0.037955633496715824
Seconds_left_Year,0.01569035129966749
Seconds_left_Month,0.015351955470617304
Rolling_Std,0.011692978523057847
Rolling_Median,0.00905400818289606
Rolling_Mean,0.009045123934234811
Seconds_left_Day,0.0026877234302053405
Cases_resolved_within_past_8_hours,0.0017986145874282079
Created_on_Weekend,0.0016813846599526173
Cases_created_within_past_8_hours,0.001433038134556572
Queue_NAOC,0.00017232463812655915
CountryProcessed_northamerica,9.238154146405229e-05
Queue_EOC,6.808810722785805e-05
CountrySource_northamerica,6.71834973467231e-05
ROCName_EOC,6.38544857171349e-05
SalesLocation_northamerica,6.345533282767541e-05
CountryProcessed_asia,4.860306658348584e-05
Queue_APOC,4.8324745740902414e-05
ROCName_APOC,4.637444982357137e-05
SalesLocation_asia,4.2794791037826765e-05
Queue_LOC,4.2218965974649e-05
CountryProcessed_europe,3.639804758778677e-05
CountrySource_europe,3.6178834381107356e-05
SalesLocation_europe,3.456129322828733e-05
CountrySource_asia,3.368717030777189e-05
SalesLocation_southamerica,3.153959362715184e-05
CountrySource_southamerica,2.861572436443748e-05
CountrySource_australia,2.4306754136974392e-05
SalesLocation_australia,2.420888487309244e-05
CountryProcessed_southamerica,1.8070254316987924e-05
Queue_Broken,4.735556034420645e-06
Queue_E&E,1.6357966171712222e-06
CountryProcessed_australia,6.858013413823108e-07
CountrySource_other,3.4804664097715334e-08
CountryProcessed_other,4.4406789127303105e-09
SalesLocation_other,0.0
