Columns,Importances,Absolute_Importances
SalesLocation_other,-60431344.5416841,60431344.5416841
Queue_Broken,31892916.087541025,31892916.087541025
CountrySource_other,4004356.7171383933,4004356.7171383933
Queue_E&E,3912842.6842935085,3912842.6842935085
CountryProcessed_other,-2917251.2907974394,2917251.2907974394
CountrySource_australia,1963110.6053501884,1963110.6053501884
SalesLocation_southamerica,-1756336.922121954,1756336.922121954
SalesLocation_australia,-1597513.26298847,1597513.26298847
CountrySource_southamerica,1447507.2702851156,1447507.2702851156
ROCName_APOC,-1209984.6698894114,1209984.6698894114
SalesLocation_northamerica,-936762.5415174892,936762.5415174892
CountrySource_northamerica,792350.4225388179,792350.4225388179
Queue_LOC,-687898.9203199577,687898.9203199577
Queue_APOC,644774.7257628106,644774.7257628106
CountrySource_europe,490704.73034701595,490704.73034701595
ROCName_EOC,-473922.3070774272,473922.3070774272
SalesLocation_europe,-345107.27625104634,345107.27625104634
CountryProcessed_southamerica,-274929.76230037527,274929.76230037527
CountrySource_asia,261411.25283287748,261411.25283287748
Queue_NAOC,-198965.87941799694,198965.87941799694
CountryProcessed_australia,-195115.42458351102,195115.42458351102
CountryProcessed_northamerica,-166588.69033780787,166588.69033780787
CountryProcessed_europe,-148093.01604874837,148093.01604874837
SalesLocation_asia,-141885.8882582957,141885.8882582957
Created_on_Weekend,-78056.43543943283,78056.43543943283
CountryProcessed_asia,-74505.49722957156,74505.49722957156
Queue_EOC,14477.552759206228,14477.552759206228
Concurrent_open_cases,-5.161550309470073,5.161550309470073
Cases_resolved_within_past_8_hours,2.2041808237947396,2.2041808237947396
Cases_created_within_past_8_hours,1.949278360426447,1.949278360426447
Rolling_Std,-1.8367812217798294,1.8367812217798294
Rolling_Mean,-1.6410281430150468,1.6410281430150468
Seconds_left_Month,-1.3880990452852342,1.3880990452852342
Seconds_left_Qtr,-1.232649958846458,1.232649958846458
Rolling_Median,-1.101936747358945,1.101936747358945
Seconds_left_Day,-0.8821307486834888,0.8821307486834888
Seconds_left_Year,-0.8275649375661404,0.8275649375661404
