Columns,Importances,Absolute_Importances
Queue_Broken,69222020.4701183,69222020.4701183
Queue_LOC,-632992.1333927354,632992.1333927354
CountryProcessed_southamerica,393356.79823067674,393356.79823067674
Created_on_Weekend,-236356.0610032321,236356.0610032321
Queue_NAOC,-195742.72122285663,195742.72122285663
SalesLocation_southamerica,114764.01949686771,114764.01949686771
CountryProcessed_northamerica,98510.34119244346,98510.34119244346
SalesLocation_europe,-51933.327458685846,51933.327458685846
CountryProcessed_asia,-43715.12160156047,43715.12160156047
CountrySource_australia,14135.174788590683,14135.174788590683
Queue_EOC,-5612.542780046235,5612.542780046235
Cases_resolved_within_past_8_hours,-16.781126091271407,16.781126091271407
Concurrent_open_cases,-5.2720119901578295,5.2720119901578295
Cases_created_within_past_8_hours,3.5784782395268495,3.5784782395268495
Seconds_left_Month,-1.1955760900475825,1.1955760900475825
Seconds_left_Day,-0.8783250429690144,0.8783250429690144
SalesLocation_northamerica,-0.8706520627504251,0.8706520627504251
CountrySource_northamerica,-0.8693337261078988,0.8693337261078988
Seconds_left_Qtr,-0.7942695105408982,0.7942695105408982
ROCName_EOC,-0.7161913607496972,0.7161913607496972
CountryProcessed_europe,-0.6353847253574869,0.6353847253574869
CountrySource_europe,-0.6137700956424079,0.6137700956424079
SalesLocation_asia,-0.4526268442899955,0.4526268442899955
CountrySource_asia,-0.4509573671096372,0.4509573671096372
ROCName_APOC,-0.4507187075792901,0.4507187075792901
Queue_APOC,-0.4507187075792901,0.4507187075792901
CountrySource_southamerica,-0.2563929939316607,0.2563929939316607
SalesLocation_australia,-0.205259228005799,0.205259228005799
CountryProcessed_australia,-0.05595584960053478,0.05595584960053478
CountrySource_other,-0.04399959385177742,0.04399959385177742
CountryProcessed_other,-0.03450327796711771,0.03450327796711771
SalesLocation_other,-0.01724394251251618,0.01724394251251618
Queue_E&E,-0.01219240235513636,0.01219240235513636
