Columns,Importances
Concurrent_open_cases,0.49612700675782173
Seconds_left_Qtr,0.27722420620354876
Seconds_left_Month,0.1376495115057059
Created_on_Weekend,0.02625578067102481
Cases_created_within_past_8_hours,0.0218751708036132
Seconds_left_Day,0.021444719675047887
Cases_resolved_within_past_8_hours,0.019339435930526
Queue_Broken,8.416845271168204e-05
CountryProcessed_europe,0.0
Queue_LOC,0.0
CountryProcessed_asia,0.0
SalesLocation_southamerica,0.0
SalesLocation_other,0.0
SalesLocation_northamerica,0.0
SalesLocation_europe,0.0
SalesLocation_australia,0.0
SalesLocation_asia,0.0
ROCName_EOC,0.0
ROCName_APOC,0.0
Queue_NAOC,0.0
Queue_EOC,0.0
CountryProcessed_northamerica,0.0
Queue_E&E,0.0
CountryProcessed_australia,0.0
CountrySource_southamerica,0.0
CountrySource_other,0.0
CountrySource_northamerica,0.0
CountrySource_europe,0.0
CountrySource_australia,0.0
CountrySource_asia,0.0
CountryProcessed_southamerica,0.0
CountryProcessed_other,0.0
Queue_APOC,0.0
