Columns,Importances
Concurrent_open_cases,0.8965847531810445
Seconds_left_Qtr,0.0590230556542778
Seconds_left_Month,0.032104592535789955
Seconds_left_Day,0.0038546195081165403
Cases_created_within_past_8_hours,0.0027458118802562276
Cases_resolved_within_past_8_hours,0.0027258976131011607
Created_on_Weekend,0.0018405434489012732
Queue_NAOC,0.00015768568227971357
CountryProcessed_northamerica,8.386457820524384e-05
CountrySource_northamerica,7.764459050864741e-05
Queue_EOC,7.211715238635362e-05
ROCName_EOC,6.800499027753475e-05
SalesLocation_asia,6.198142003959478e-05
SalesLocation_northamerica,6.16629291033217e-05
CountrySource_asia,5.883798193269079e-05
ROCName_APOC,5.8130357762151895e-05
Queue_APOC,5.8010765401293264e-05
CountryProcessed_asia,4.7830803264870073e-05
CountryProcessed_europe,4.0446150568310545e-05
SalesLocation_europe,3.724578758277945e-05
SalesLocation_southamerica,3.708879813690448e-05
CountrySource_europe,3.523811452440409e-05
CountrySource_southamerica,3.401491572893271e-05
Queue_LOC,3.2344526239470444e-05
CountrySource_australia,2.997173983092392e-05
SalesLocation_australia,2.86023287010799e-05
CountryProcessed_southamerica,2.4974879008974297e-05
Queue_Broken,1.0630317631148815e-05
CountryProcessed_other,1.9986258993478504e-06
CountrySource_other,1.010174350160544e-06
Queue_E&E,7.166264132344776e-07
CountryProcessed_australia,6.686757186272093e-07
SalesLocation_other,3.267016475120027e-09
