Columns,Importances,Absolute_Importances
Created_on_Weekend,-93626.05224986932,93626.05224986932
Concurrent_open_cases,-5.79313180538155,5.79313180538155
Seconds_left_Year,-5.738242239713099,5.738242239713099
Seconds_left_Qtr,-5.265760337725293,5.265760337725293
Seconds_left_Month,-2.73614928593254,2.73614928593254
Cases_created_within_past_8_hours,2.451142576896421,2.451142576896421
Cases_resolved_within_past_8_hours,2.0487290360874915,2.0487290360874915
Rolling_Std,-1.9204544302849706,1.9204544302849706
Rolling_Mean,-1.7318630167890414,1.7318630167890414
Rolling_Median,-1.0017213706198569,1.0017213706198569
Seconds_left_Day,-0.9264766617652717,0.9264766617652717
