Columns,Importances,Absolute_Importances
Created_on_Weekend,-89633.29829404889,89633.29829404889
Seconds_left_Year,-56.58444012826876,56.58444012826876
Seconds_left_Qtr,-12.932110927543688,12.932110927543688
Concurrent_open_cases,-6.256558336017283,6.256558336017283
Cases_created_within_past_8_hours,4.9875259002223515,4.9875259002223515
Cases_resolved_within_past_8_hours,3.3863646978287223,3.3863646978287223
Seconds_left_Month,-3.1424341107127787,3.1424341107127787
Rolling_Std,-1.9149595763301497,1.9149595763301497
Rolling_Mean,-1.7290992094978475,1.7290992094978475
Rolling_Median,-0.9878246707487146,0.9878246707487146
Seconds_left_Day,-0.8981602662654317,0.8981602662654317
