Columns,Importances,Absolute_Importances
Created_on_Weekend,-131346.53197416416,131346.53197416416
Cases_resolved_within_past_8_hours,-9.360099222414238,9.360099222414238
Concurrent_open_cases,-5.047011006963623,5.047011006963623
Rolling_Std,-1.9680471658625411,1.9680471658625411
Rolling_Mean,-1.943616455516636,1.943616455516636
Rolling_Median,-1.2225952163666736,1.2225952163666736
Seconds_left_Month,-1.1955761399724696,1.1955761399724696
Seconds_left_Day,-0.87832720684296,0.87832720684296
Seconds_left_Qtr,-0.7942695106243987,0.7942695106243987
Seconds_left_Year,-0.6816926855374114,0.6816926855374114
Cases_created_within_past_8_hours,-0.523851246984519,0.523851246984519
