Columns,Importances,Absolute_Importances
Created_on_Weekend,-112871.35821384231,112871.35821384231
Cases_resolved_within_past_8_hours,-14.748603163531303,14.748603163531303
Concurrent_open_cases,-6.359059087411232,6.359059087411232
Seconds_left_Year,-1.9815979936923096,1.9815979936923096
Rolling_Std,-1.9061163413970266,1.9061163413970266
Rolling_Mean,-1.7104207933352518,1.7104207933352518
Seconds_left_Month,-1.4811716914302149,1.4811716914302149
Seconds_left_Qtr,-1.477629225747655,1.477629225747655
Rolling_Median,-1.1285926647082558,1.1285926647082558
Seconds_left_Day,-0.882194145908018,0.882194145908018
Cases_created_within_past_8_hours,-0.0936797273795993,0.0936797273795993
