Columns,Importances,Absolute_Importances
Created_on_Weekend,-133500.3215431564,133500.3215431564
Cases_resolved_within_past_8_hours,-9.392381041267752,9.392381041267752
Concurrent_open_cases,-5.047181246381607,5.047181246381607
Rolling_Std,-1.9680471659405292,1.9680471659405292
Rolling_Mean,-1.9436164562014744,1.9436164562014744
Rolling_Median,-1.2225952169034813,1.2225952169034813
Seconds_left_Month,-1.1955761399731895,1.1955761399731895
Seconds_left_Day,-0.8783272108236388,0.8783272108236388
Seconds_left_Qtr,-0.794269510628096,0.794269510628096
Seconds_left_Year,-0.6816926855379604,0.6816926855379604
Cases_created_within_past_8_hours,-0.5304227793263898,0.5304227793263898
