Columns,Importances,Absolute_Importances
Queue_Broken,26862578.185739066,26862578.185739066
Queue_LOC,-727901.4551065448,727901.4551065448
Queue_NAOC,-195022.50200211434,195022.50200211434
CountryProcessed_southamerica,182604.27646827511,182604.27646827511
SalesLocation_southamerica,142330.1062499954,142330.1062499954
CountrySource_australia,116342.73325142248,116342.73325142248
ROCName_APOC,-88085.55547828443,88085.55547828443
Queue_EOC,-84074.33810176034,84074.33810176034
Created_on_Weekend,-73385.42266644133,73385.42266644133
CountrySource_northamerica,23741.980799011897,23741.980799011897
CountrySource_asia,19630.268166792288,19630.268166792288
CountryProcessed_europe,-16447.633342213085,16447.633342213085
CountryProcessed_northamerica,2830.884089649351,2830.884089649351
Concurrent_open_cases,-5.10804539721924,5.10804539721924
Cases_created_within_past_8_hours,2.191461373606266,2.191461373606266
Cases_resolved_within_past_8_hours,2.1621579803186783,2.1621579803186783
Rolling_Std,-1.8348401422986729,1.8348401422986729
Rolling_Mean,-1.6442344531786133,1.6442344531786133
Seconds_left_Month,-1.3863220283945914,1.3863220283945914
Seconds_left_Qtr,-1.2286703994119215,1.2286703994119215
Rolling_Median,-1.1042969609237516,1.1042969609237516
SalesLocation_northamerica,-0.8854476693600054,0.8854476693600054
Seconds_left_Day,-0.8803518016881138,0.8803518016881138
Seconds_left_Year,-0.8255602551387076,0.8255602551387076
ROCName_EOC,-0.7056990743156325,0.7056990743156325
SalesLocation_europe,-0.6032837567869893,0.6032837567869893
CountrySource_europe,-0.6023937842963624,0.6023937842963624
CountryProcessed_asia,-0.521789595416529,0.521789595416529
SalesLocation_asia,-0.46824764092850985,0.46824764092850985
Queue_APOC,-0.46414974519889,0.46414974519889
CountrySource_southamerica,-0.2327144559571659,0.2327144559571659
SalesLocation_australia,-0.2080366979769554,0.2080366979769554
CountryProcessed_australia,-0.054159305875980036,0.054159305875980036
CountrySource_other,-0.03284304396118157,0.03284304396118157
CountryProcessed_other,-0.02704991542109735,0.02704991542109735
Queue_E&E,-0.01861344487976854,0.01861344487976854
SalesLocation_other,-0.012407769199573766,0.012407769199573766
